t0,t1,gap_hours,ph0,ec0,ph1_true,ec1_true,ph1_pred,ec1_pred,dph_true,dec_true,dph_pred,dec_pred,train_intervals,gap_bin,ph_abs_error,ec_abs_error,ph_signed_error,ec_signed_error
2025-08-06 10:00:00,2025-08-06 16:30:00,6.5,7.75,1.045,8.83,2.25,8.270317213804713,1.6080769941919186,1.08,1.205,0.5203172138047139,0.5630769941919186,21,"(4.0, 18.0]",0.5596827861952871,0.6419230058080814,-0.5596827861952871,-0.6419230058080814
2025-08-06 16:30:00,2025-08-07 10:00:00,17.5,8.83,2.25,8.05,2.36,8.52756781024531,1.750159287890813,-0.7799999999999994,0.10999999999999988,-0.3024321897546897,-0.49984071210918707,22,"(4.0, 18.0]",0.4775678102453096,0.6098407121091869,0.4775678102453096,-0.6098407121091869
2025-08-07 10:00:00,2025-08-07 13:00:00,3.0,8.05,2.36,8.11,2.3,8.437421501924003,2.3680014076839826,0.05999999999999872,-0.06000000000000005,0.38742150192400243,0.008001407683982694,23,"(2.0, 4.0]",0.3274215019240039,0.06800140768398277,0.3274215019240039,0.06800140768398277
2025-08-07 13:00:00,2025-08-10 08:20:00,67.33333333333333,8.11,2.3,7.48,2.18,8.149296639009139,2.480661448244348,-0.629999999999999,-0.11999999999999966,0.039296639009138976,0.1806614482443482,24,"(18.0, 90.0]",0.6692966390091382,0.3006614482443477,0.6692966390091382,0.3006614482443477
2025-08-10 08:20:00,2025-08-10 15:20:00,7.0,7.48,2.18,8.7,4.18,7.838746248196249,2.498201988484664,1.2199999999999989,1.9999999999999996,0.3587462481962487,0.3182019884846637,25,"(4.0, 18.0]",0.8612537518037504,1.681798011515336,-0.8612537518037504,-1.681798011515336
2025-08-10 15:20:00,2025-08-11 08:10:00,16.833333333333332,8.7,4.18,7.44,3.29,8.38962926998927,3.864308618145743,-1.259999999999999,-0.8899999999999997,-0.31037073001073007,-0.3156913818542569,26,"(4.0, 18.0]",0.949629269989269,0.5743086181457429,0.949629269989269,0.5743086181457429
2025-08-11 08:10:00,2025-08-12 08:30:00,24.333333333333332,7.44,3.29,7.81,1.473,7.274812346079846,3.3169717641895144,0.3699999999999992,-1.817,-0.16518765392015372,0.02697176418951422,27,"(18.0, 90.0]",0.5351876539201532,1.8439717641895144,-0.5351876539201532,1.8439717641895144
2025-08-12 08:30:00,2025-08-13 11:20:00,26.833333333333332,7.81,1.473,7.41,2.13,8.054351517556517,1.7289609341094092,-0.39999999999999947,0.6569999999999998,0.24435151755651746,0.2559609341094092,28,"(18.0, 90.0]",0.6443515175565171,0.4010390658905907,0.6443515175565171,-0.4010390658905907
2025-08-13 11:20:00,2025-08-14 12:30:00,25.166666666666668,7.41,2.13,8.12,2.39,7.527887534872535,2.568206312590188,0.7099999999999991,0.26000000000000023,0.11788753487253478,0.4382063125901879,29,"(18.0, 90.0]",0.5921124651274638,0.17820631259018782,-0.5921124651274638,0.17820631259018782
2025-08-14 12:30:00,2025-08-14 16:20:00,3.8333333333333335,8.12,2.39,8.63,2.52,8.387501776094275,2.525228137842713,0.5100000000000016,0.1299999999999999,0.2675017760942759,0.13522813784271281,30,"(2.0, 4.0]",0.2424982239057254,0.005228137842713032,-0.2424982239057254,0.005228137842713032
2025-08-14 16:20:00,2025-08-17 08:10:00,63.833333333333336,8.63,2.52,7.07,1.145,8.197774372294374,1.9684649322372074,-1.5600000000000005,-1.375,-0.4322256277056277,-0.5515350677627926,31,"(18.0, 90.0]",1.1277743722943736,0.8234649322372074,1.1277743722943736,0.8234649322372074
2025-08-17 08:10:00,2025-08-17 12:40:00,4.5,7.07,1.145,9.3,2.68,7.262583025493026,1.1111765533309284,2.2300000000000004,1.5350000000000001,0.1925830254930254,-0.03382344666907171,32,"(4.0, 18.0]",2.037416974506975,1.5688234466690718,-2.037416974506975,-1.5688234466690718
2025-08-17 12:40:00,2025-08-18 08:30:00,19.833333333333332,9.3,2.68,8.29,1.932,8.789684372294374,2.0653929720899478,-1.0100000000000016,-0.7480000000000002,-0.5103156277056273,-0.6146070279100525,33,"(18.0, 90.0]",0.4996843722943751,0.13339297208994783,0.4996843722943751,0.13339297208994783
2025-08-18 08:30:00,2025-08-18 14:40:00,6.166666666666667,8.29,1.932,9.19,2.93,8.831067467532467,2.6001404428932173,0.9000000000000004,0.9980000000000002,0.5410674675324678,0.6681404428932174,34,"(4.0, 18.0]",0.35893253246753254,0.32985955710678283,-0.35893253246753254,-0.32985955710678283
2025-08-18 14:40:00,2025-08-19 12:30:00,21.833333333333332,9.19,2.93,9.61,1.752,8.643809120971621,2.4872672017695265,0.41999999999999993,-1.1780000000000002,-0.5461908790283787,-0.4427327982304737,35,"(18.0, 90.0]",0.9661908790283782,0.7352672017695265,-0.9661908790283782,0.7352672017695265
2025-08-19 12:30:00,2025-08-19 17:30:00,5.0,9.61,1.752,9.08,1.354,9.794075549543049,1.8904344651755651,-0.5299999999999994,-0.3979999999999999,0.18407554954304942,0.13843446517556518,36,"(4.0, 18.0]",0.7140755495430486,0.536434465175565,0.7140755495430486,0.536434465175565
2025-08-19 17:30:00,2025-08-20 12:00:00,18.5,9.08,1.354,9.21,0.9119,8.9675403006253,1.1334185386844637,0.13000000000000078,-0.44210000000000005,-0.11245969937469946,-0.22058146131553638,37,"(18.0, 90.0]",0.24245969937470058,0.2215185386844637,-0.24245969937470058,0.2215185386844637
2025-08-20 12:00:00,2025-08-20 12:20:00,0.3333333333333333,9.21,0.9119,8.37,0.8451,9.3740518985644,1.0583185479982982,-0.8400000000000016,-0.06680000000000008,0.1640518985643987,0.1464185479982981,38,"(0.332, 2.0]",1.0040518985644002,0.2132185479982982,1.0040518985644002,0.2132185479982982
2025-08-20 12:20:00,2025-08-21 13:00:00,24.666666666666668,8.37,0.8451,8.14,0.738,8.32235508056758,1.008049641101491,-0.22999999999999865,-0.10709999999999997,-0.04764491943241949,0.16294964110149096,39,"(18.0, 90.0]",0.18235508056757865,0.270049641101491,0.18235508056757865,0.270049641101491
2025-08-21 13:00:00,2025-08-21 15:00:00,2.0,8.14,0.738,7.54,0.82782,8.078446591741592,0.6399261695498946,-0.6000000000000005,0.08982000000000001,-0.06155340825840835,-0.09807383045010544,40,"(0.332, 2.0]",0.5384465917415922,0.18789383045010544,0.5384465917415922,-0.18789383045010544
2025-08-21 15:00:00,2025-08-25 09:00:00,90.0,7.54,0.82782,9.07,0.32699999999999996,7.371800804473304,0.6158977599134198,1.5300000000000002,-0.50082,-0.16819919552669554,-0.21192224008658023,41,"(18.0, 90.0]",1.698199195526696,0.2888977599134198,-1.698199195526696,0.2888977599134198
2025-08-25 09:00:00,2025-08-25 16:00:00,7.0,9.07,0.327,9.86,0.327,9.656580756373257,0.9055770559041889,0.7899999999999991,0.0,0.5865807563732565,0.5785770559041888,42,"(4.0, 18.0]",0.20341924362674213,0.578577055904189,-0.20341924362674213,0.578577055904189
2025-08-25 16:00:00,2025-08-26 12:00:00,20.0,9.86,0.327,7.37,0.266,9.696733036315536,-0.025737321746031883,-2.4899999999999993,-0.061,-0.16326696368446367,-0.3527373217460319,43,"(18.0, 90.0]",2.3267330363155354,0.2917373217460319,2.3267330363155354,-0.2917373217460319
2025-08-26 12:00:00,2025-08-26 16:30:00,4.5,7.37,0.266,7.36,0.314,7.366175740740741,0.1903760025949977,-0.009999999999999787,0.04799999999999999,-0.0038242592592592304,-0.07562399740500232,44,"(4.0, 18.0]",0.006175740740740565,0.1236239974050023,0.006175740740740565,-0.1236239974050023
