target,feature,importance_gain,importance_share
internal_air_temp_c,station_pressure_hpa,15884.14352114126,0.005627264809040393
internal_air_temp_c,rel_humidity_ext,602.7870087400079,0.00021354894691770292
internal_air_temp_c,temp_c_ext,27785.87757196091,0.00984368410175169
internal_air_temp_c,temp_max_c_ext,71037.66219598055,0.025166464660804
internal_air_temp_c,temp_min_c_ext,27423.57734155655,0.009715332243551204
internal_air_temp_c,temp_ground_c_ext,1841973.4547052756,0.6525546931160453
internal_air_temp_c,wind_dir_deg,2506.487056042999,0.0008879714783496627
internal_air_temp_c,gust_dir_deg,1596.7990076206625,0.0005656969071536548
internal_air_temp_c,wind_speed_max_1m_ms,1406.53827464208,0.0004982933656402196
internal_air_temp_c,wind_speed_max_10m_ms,2035.972302492708,0.0007212825340409027
internal_air_temp_c,gust_speed_ms,1345.0157491862774,0.0004764978220529972
internal_air_temp_c,wind_dir_std_deg,855.8591558132321,0.00030320464572689676
internal_air_temp_c,vpd_ext,748.925119176507,0.0002653211967103618
internal_air_temp_c,abs_humidity_ext,4370.803536782041,0.0015484416202250287
internal_air_temp_c,dew_point_ext,6210.298322759569,0.002200118197043122
internal_air_temp_c,diffuse_rad_wm2,42000.726857271045,0.014879569168049016
internal_air_temp_c,global_rad_wm2,159900.38063434884,0.056647799970972884
internal_air_temp_c,direct_rad_wm2,3570.183166947216,0.0012648063819400048
internal_air_temp_c,hour_of_day,22597.73277626559,0.008005683545148516
internal_air_temp_c,day_of_year,26432.039875444025,0.00936406093436958
internal_air_temp_c,global_rad_wm2_med6,2574.283054433763,0.0009119895209611723
internal_air_temp_c,diffuse_rad_wm2_med6,476349.29325303435,0.16875594275299444
internal_air_temp_c,temp_c_ext_med6,14958.10986440815,0.005299199490215647
internal_air_temp_c,rel_humidity_ext_med6,1903.5208380967379,0.0006743590431073634
internal_air_temp_c,dewpoint_gradient,216.22115823812783,7.66005238560039e-05
internal_air_temp_c,vpd_ext_rolling_mean_30min,1393.6297888681293,0.000493720285093757
internal_air_temp_c,vpd_ext_min_1h,1919.476880747825,0.0006800117795726632
internal_air_temp_c,rad_integral_1h,11355.543172962964,0.004022920618899203
internal_air_temp_c,rad_peak_intensity,14361.989418309182,0.005088012301947207
internal_air_temp_c,rad_slope_30m,3290.073097318411,0.0011655719765481065
internal_air_temp_c,rad_slope_1h,9562.834352344275,0.003387818874464761
internal_air_temp_c,minutes_since_sunrise,5220.714025221765,0.001849538835574765
internal_air_temp_c,minutes_since_sunset,19320.26811640337,0.006844578351231766
ET0,station_pressure_hpa,0.21886774978786552,0.000804906582811489
ET0,rel_humidity_ext,0.033714657461615685,0.00012398880033440856
ET0,temp_c_ext,0.14859961803400548,0.0005464889682229247
ET0,temp_max_c_ext,0.34770419327224256,0.0012787146315857212
ET0,temp_min_c_ext,0.4801732292065319,0.0017658818782245985
ET0,temp_ground_c_ext,0.1828778565677586,0.0006725503905646918
ET0,wind_dir_deg,0.06548969385985205,0.00024084446312988317
ET0,gust_dir_deg,0.062410115731525606,0.0002295190270609568
ET0,wind_speed_max_1m_ms,0.11808987600245816,0.0004342865435857873
ET0,wind_speed_max_10m_ms,0.09866385392573385,0.0003628455338319437
ET0,gust_speed_ms,0.10402278066091958,0.0003825534871970978
ET0,wind_dir_std_deg,0.05871936057323864,0.00021594593040633338
ET0,vpd_ext,0.07852278199919849,0.00028877486150008606
ET0,abs_humidity_ext,0.12676138041899088,0.0004661768106283786
ET0,dew_point_ext,0.07994491526551074,0.00029400488935389006
ET0,diffuse_rad_wm2,27.226759948451523,0.10012895153524277
ET0,global_rad_wm2,211.76963631857504,0.7788026078653749
ET0,direct_rad_wm2,0.2577308102932,0.0009478291159816967
ET0,hour_of_day,5.131037373508217,0.018869868962382474
ET0,day_of_year,1.6417669151459051,0.006037751101858842
ET0,global_rad_wm2_med6,3.8084093717286396,0.014005781008469536
ET0,diffuse_rad_wm2_med6,0.7234295176616485,0.0026604795888402048
ET0,temp_c_ext_med6,0.7543780272786633,0.002774295622235185
ET0,rel_humidity_ext_med6,0.09912872108206609,0.000364555126198235
ET0,dewpoint_gradient,0.01072239218054527,3.94325982606955e-05
ET0,vpd_ext_rolling_mean_30min,0.21834525839703955,0.0008029850719431872
