t0,ph_abs_error,ec_abs_error,ph_signed_error,ec_signed_error
2025-08-31 08:20:00,1.9527689500982461,0.03072298344186694,-1.9527689500982461,0.03072298344186694
2025-08-31 12:30:00,0.17725598082607164,0.12490796275332089,-0.17725598082607164,-0.12490796275332089
2025-09-01 08:30:00,0.09111931590494038,0.012925489798567502,0.09111931590494038,-0.012925489798567502
2025-09-01 12:30:00,1.5855811110030622,0.14067661325552214,1.5855811110030622,0.14067661325552214
2025-09-02 08:30:00,1.4300768389639718,0.03423507964093486,-1.4300768389639718,-0.03423507964093486
2025-09-02 15:00:00,0.21445171012345554,0.03303804105235353,0.21445171012345554,-0.03303804105235353
2025-09-03 09:00:00,0.4532673015389612,0.14388909014994034,-0.4532673015389612,0.14388909014994034
2025-09-03 15:20:00,0.7457532311437571,0.05630805857425225,0.7457532311437571,-0.05630805857425225
2025-09-07 08:50:00,0.6513934184511072,0.3187084729586174,-0.6513934184511072,0.3187084729586174
2025-09-07 15:30:00,0.13280533417743534,0.19100210278872443,-0.13280533417743534,-0.19100210278872443
2025-09-08 09:30:00,0.652066456187633,0.13426732327036375,-0.652066456187633,0.13426732327036375
2025-09-08 13:50:00,0.6137211995076175,0.18891638761750112,0.6137211995076175,-0.18891638761750112
2025-09-09 08:30:00,0.8591250666233687,0.041923873426664704,-0.8591250666233687,0.041923873426664704
2025-09-09 14:10:00,0.5219854903130692,0.11926659267037876,0.5219854903130692,-0.11926659267037876
2025-09-09 15:40:00,0.6571162389956076,0.05852881475162208,0.6571162389956076,0.05852881475162208
2025-09-09 18:40:00,0.595017298525442,0.16692554478851077,0.595017298525442,-0.16692554478851077
2025-09-10 07:50:00,0.7738851961297222,0.02758038082608233,-0.7738851961297222,-0.02758038082608233
2025-09-10 11:30:00,0.05096708032776398,0.0560652527383923,0.05096708032776398,0.0560652527383923
2025-09-10 13:50:00,0.6145152150758086,0.03683903478814188,-0.6145152150758086,-0.03683903478814188
2025-09-10 15:50:00,1.4598019453628597,0.05067226786483198,1.4598019453628597,-0.05067226786483198
2025-09-11 07:50:00,0.6106408239359009,0.062368356317435286,-0.6106408239359009,0.062368356317435286
2025-09-11 11:20:00,0.5532546987450733,0.15297092529372353,0.5532546987450733,-0.15297092529372353
2025-09-11 13:30:00,0.2896076880601637,0.041203153877750476,-0.2896076880601637,-0.041203153877750476
2025-09-11 14:10:00,0.27515223034008507,0.09407901554231085,-0.27515223034008507,-0.09407901554231085
2025-09-11 17:20:00,0.18547696162235283,0.0018869800444723528,0.18547696162235283,0.0018869800444723528
2025-09-11 18:10:00,0.15870237609343363,0.13713620388481734,-0.15870237609343363,0.13713620388481734
2025-09-14 08:30:00,0.41866283795187975,0.03644360520181447,-0.41866283795187975,-0.03644360520181447
2025-09-14 11:30:00,0.2480248902066169,0.08191733366234472,0.2480248902066169,0.08191733366234472
2025-09-14 12:20:00,0.2105380867195379,0.15546583472261225,-0.2105380867195379,0.15546583472261225
2025-09-14 15:10:00,0.2871192968554439,0.09803906178634839,-0.2871192968554439,-0.09803906178634839
2025-09-14 18:00:00,0.277434791525474,0.08675372191742325,0.277434791525474,0.08675372191742325
2025-09-15 08:10:00,0.5054802883518423,0.04318146455258859,-0.5054802883518423,-0.04318146455258859
2025-09-15 12:00:00,0.4203371811185388,0.054270830897928835,-0.4203371811185388,-0.054270830897928835
2025-09-15 14:10:00,0.14748188358580983,0.023730632851549804,0.14748188358580983,-0.023730632851549804
2025-09-15 15:30:00,0.3703721842954444,0.006112602265811895,0.3703721842954444,-0.006112602265811895
2025-09-15 17:40:00,0.6233733524694518,0.046635742874120034,0.6233733524694518,-0.046635742874120034
2025-09-16 06:40:00,0.28654863254264384,0.026367231053669365,-0.28654863254264384,0.026367231053669365
2025-09-16 08:50:00,0.21145267450556293,0.19512894271211229,0.21145267450556293,-0.19512894271211229
2025-09-16 10:00:00,1.0207082412806496,0.20129776446958564,-1.0207082412806496,0.20129776446958564
2025-09-16 12:10:00,0.19066767334175516,0.02153064410050798,-0.19066767334175516,-0.02153064410050798
2025-09-16 13:50:00,0.28384862377071585,0.048640098823561045,0.28384862377071585,0.048640098823561045
2025-09-17 08:50:00,0.115442764846863,0.1559003339071512,-0.115442764846863,0.1559003339071512
2025-09-17 11:50:00,0.46280079666251517,0.1270531521815514,-0.46280079666251517,-0.1270531521815514
2025-09-17 13:30:00,0.14696592882106962,0.09352588710693424,0.14696592882106962,0.09352588710693424
2025-09-17 15:20:00,0.7619238678375435,0.26179491401716626,0.7619238678375435,-0.26179491401716626
2025-09-18 07:10:00,0.3950935633778201,0.10897108265307415,-0.3950935633778201,-0.10897108265307415
2025-09-18 09:40:00,0.5258950822743991,0.05407750342878809,-0.5258950822743991,0.05407750342878809
2025-09-18 10:30:00,2.1179327405899233,0.6493426209786729,2.1179327405899233,-0.6493426209786729
2025-09-18 12:00:00,0.22182201144873215,0.614400824825338,-0.22182201144873215,0.614400824825338
2025-09-18 13:10:00,0.3954095702559579,0.13896108112815098,0.3954095702559579,-0.13896108112815098
2025-09-18 14:10:00,0.4219371170579551,0.03207494873000549,-0.4219371170579551,-0.03207494873000549
