timestamp,ET0,internal_air_temp_c,internal_rh_%,internal_radiation,irrigation_ml_current,fertilization_flag,fertilization_type_a_flag,fertilization_type_b_flag,ph,ec_ms,soil_temp_pred,canopy_cover,days_after_planting,Ammonium Nitrate [mg] -NH4NO3,Monopotassium Phosphate[mg] -KH2PO4,Potassium Chloride[mg] - KCL,Phosphoric acid[mg]-H3PO4,Kortin [mg],Gypsum - CaSO4*2H2O [mg]
2025-08-10 07:40:00,0.02536776438731706,29.752094742703342,59.93628831101848,129.46466358839635,0.0,0.0,0.0,0.0,,,28.408089928603673,0.554138201,73,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-10 07:50:00,0.03374150068088821,30.93126513025513,59.220806487579814,181.42656298023678,0.0,0.0,0.0,0.0,,,28.74931733642835,0.554138201,73,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-10 08:00:00,0.04597379916883064,32.09401634961496,53.629612077507055,288.43704422537826,0.0,0.0,0.0,0.0,,,29.264902666631098,0.554138201,73,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-10 08:10:00,0.051952940888168674,32.705588694722564,46.5963312627268,311.11893913353975,0.0,0.0,0.0,0.0,,,29.89108559902763,0.554138201,73,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-10 08:20:00,0.05499268475127674,33.472923241420744,44.16056652257059,323.58669004179734,0.0,0.0,0.0,0.0,7.48,2.18,31.3934566992747,0.554138201,73,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-10 08:30:00,0.05619077635304926,33.59778821168913,44.180859726212496,359.27767088743815,100.0,1.0,0.0,1.0,,,31.796297255328636,0.554138201,73,142.85,87.8,94.9,0.016436875,0.0,0.0
2025-08-10 08:40:00,0.0685948279834294,34.10355921992456,38.33535573195404,393.5487961154909,0.0,0.0,0.0,0.0,,,32.17815929527875,0.554138201,73,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-10 08:50:00,0.072261471347257,34.64461858461852,37.19660547195675,404.015863001297,0.0,0.0,0.0,0.0,,,32.33182242333399,0.554138201,73,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-10 09:00:00,0.07915019534705826,34.89386011395881,39.346199773763466,406.01371560879886,0.0,0.0,0.0,0.0,,,33.300281513512616,0.554138201,73,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-10 09:10:00,0.07128191970110538,34.70693166765492,38.17000582662689,409.96020671402056,0.0,0.0,0.0,0.0,,,33.459317316015095,0.554138201,73,0.0,0.0,0.0,0.0,0.0,0.0
