experiment,prior_n,prior_weight,prior_level,mae,rmse,naive_mae,r2,mae_no_sep21,rmse_no_sep21,aug_mae,sep21_pred,sep21_err,runtime_s,sep_improvement,mae_penalty,score
high_n48_w0.6,48,0.6,high,0.21414205454768018,0.41093592992427375,0.24989794871794865,0.8779576104596127,0.20093131189556385,0.3890624795590135,0.4416642789872463,2.998630761239363,1.2313692387606374,14.236285209655762,2.3433786675573676,0.019253323278730583,-0.07448182342356412
high_n32_w0.6,32,0.6,high,0.2157505546362598,0.41882338095383603,0.24989794871794865,0.873227717829193,0.20094937590514786,0.3922130805413384,0.4365872886626303,2.8745586830681193,1.355441316931881,14.416820764541626,2.219306589386124,0.02086182336731021,-0.06791044020813475
high_n48_w0.3,48,0.3,high,0.21977638273307926,0.41647039291332316,0.24989794871794865,0.8746481530618356,0.20448190976294445,0.38773473217358295,0.4338281553674251,2.832549198566541,1.3974508014334592,15.151592493057251,2.1772971048845458,0.024887651464129662,-0.06220423273125217
high_n32_w0.3,32,0.3,high,0.22338945075054267,0.4231101566203401,0.24989794871794865,0.8706193367673483,0.2069590131206285,0.3906039450945159,0.43321759633901624,2.7414668517460714,1.488533148253929,14.572036027908325,2.086214758064076,0.02850071948159308,-0.054947870840969956
high_n16_w0.6,16,0.6,high,0.2227966169803106,0.44179533517102065,0.24989794871794865,0.8589397257549918,0.2044054865076921,0.40352738882511174,0.43044016907342586,2.5910863366280665,1.638913663371934,13.897713422775269,1.935834242946071,0.02790788571136102,-0.049525484006481824
high_n48_w0.15,48,0.15,high,0.2251973094486067,0.43353415563583014,0.24989794871794865,0.864165806230668,0.205803465631606,0.389920456833063,0.4261055318537191,2.5114767166423437,1.7185232833576567,14.037783145904541,1.8562246229603483,0.030308578179657097,-0.043940406738756835
high_n16_w0.3,16,0.3,high,0.21782607776664506,0.43780503040839464,0.24989794871794865,0.8614763371537721,0.19390014530040225,0.37288636916298157,0.3876484792715485,2.1698771223326556,2.060122877667345,14.460979461669922,1.5146250286506602,0.022937346497695466,-0.03764765464833094
mid_n32_w0.6,32,0.6,mid,0.21228750639167368,0.43633115840457265,0.24989794871794865,0.8624074479057755,0.1857079002573117,0.3557927640575388,0.3893902249643312,1.971082821262457,2.2589171787375433,13.230168342590332,1.3158307275804617,0.017398775122724086,-0.035234453980494386
high_n32_w0.15,32,0.15,high,0.2233944587111934,0.43824920151197505,0.24989794871794865,0.8611951187329494,0.20040845869955992,0.3780942261566188,0.40535815015970417,2.2366835403930327,1.9933164596069677,14.100767612457275,1.5814314467110373,0.028505727442243806,-0.03475153042619769
mid_n48_w0.3,48,0.3,mid,0.2144669335198532,0.43294682250959304,0.24989794871794865,0.864533601383435,0.18739074433397154,0.3481605772120844,0.3840786028636276,1.9306664991672586,2.299333500832742,14.834163904190063,1.2754144054852632,0.019578202250903592,-0.03143837396850693
mid_n48_w0.6,48,0.6,mid,0.22289895537392793,0.4441180734587289,0.24989794871794865,0.8574525783220447,0.19713304054589734,0.3695292323243654,0.4150962625964348,2.0231256028677196,2.206874397132281,14.996779680252075,1.3678735091857241,0.028010224104978332,-0.026704716262450634
mid_n16_w0.6,16,0.6,mid,0.21267992072350148,0.44389866892212615,0.24989794871794865,0.8575933869377946,0.1823219095230865,0.3393238416059399,0.3663909491433178,1.6797532168445435,2.550246783155457,14.23038935661316,1.024501123162548,0.01779118945455188,-0.023188855471950043
high_n8_w0.6,8,0.6,high,0.22213825241753526,0.449653583543303,0.24989794871794865,0.8538769966981548,0.19495030693516174,0.3676644609532494,0.4032877759423242,1.9143899454397075,2.3156100545602927,15.410845041275024,1.2591378517577123,0.02724952114858567,-0.023115992921722825
mid_n32_w0.15,32,0.15,mid,0.2103563451767299,0.43038692042419213,0.24989794871794865,0.8661308206547244,0.17894068058586712,0.3128133555090055,0.33449722577550717,1.6006374813268363,2.6293625186731644,13.632806539535522,0.9453853876448406,0.015467613907780314,-0.022347801598013313
mid_n32_w0.3,32,0.3,mid,0.2161611937131102,0.44107841803479686,0.24989794871794865,0.8593971614377968,0.1864346407244898,0.33996482607712947,0.3617545707854621,1.7248942261631168,2.505105773836884,13.812915086746216,1.0696421324811212,0.021272462444160617,-0.02151322285508423
high_n16_w0.15,16,0.15,high,0.21728242400683498,0.4406852503170276,0.24989794871794865,0.859647710351428,0.18729397528783373,0.3373928062972256,0.35351388989489047,1.703607024630073,2.5263929753699275,14.218204259872437,1.0483549309480775,0.022393692737885385,-0.01954050450003772
mid_n48_w0.15,48,0.15,mid,0.21591878317305394,0.43982469004722546,0.24989794871794865,0.8601953287450866,0.18527586277497787,0.33138752230583274,0.3628250421467001,1.6545763461750898,2.5754236538249105,13.524636507034302,0.9993242524930945,0.02103005190410434,-0.01894291819561944
soft_n48_w0.6,48,0.6,soft,0.20734397416230563,0.45342384294827365,0.24989794871794865,0.8514162965768464,0.17169349526806368,0.30831381018417514,0.34205612297009624,1.2775691509810674,2.952430849018933,14.15809416770935,0.6223170572990719,0.012455242893356033,-0.012437439398606843
mid_n16_w0.3,16,0.3,mid,0.2100866214982532,0.4499320163171079,0.24989794871794865,0.8536959772149137,0.1750933989364436,0.3090356064918477,0.3330629677376966,1.325435241242412,2.9045647587575885,13.332448720932007,0.6701831475604165,0.015197890229303596,-0.011609435673113067
high_n8_w0.3,8,0.3,high,0.21681427682176435,0.45402685875975857,0.24989794871794865,0.851020825967934,0.18354729705434808,0.3294939230981952,0.3583258671647119,1.4516282810871837,2.7783717189128168,13.415444135665894,0.7963761874051882,0.021925545552814757,-0.009929501943392774
mid_n16_w0.15,16,0.15,mid,0.20561905881662434,0.453619232268552,0.24989794871794865,0.8512882136609229,0.16824969894432223,0.2915439036198436,0.2953980642382064,1.146940231016114,3.0830597689838863,13.211623668670654,0.49168813733411865,0.01073032754767475,-0.008937197945689996
soft_n16_w0.6,16,0.6,soft,0.2038736023166159,0.46239817629392793,0.24989794871794865,0.8454764428515127,0.16524076648202501,0.29218903546090474,0.30674648113744624,1.0513980384198862,3.178601961580114,14.757177114486694,0.3961459447378908,0.008984871047666293,-0.0068609667418493385
soft_n48_w0.3,48,0.3,soft,0.20480461564999328,0.4602954819117805,0.24989794871794865,0.8468785982939666,0.16637464011948772,0.2908935365475111,0.3316416268891022,1.0660872685010798,3.163912731498921,13.936491250991821,0.41083517481908416,0.009915884381043683,-0.006517522611719683
soft_n8_w0.3,8,0.3,soft,0.19581350441715703,0.46774246765529803,0.24989794871794865,0.8418839060884573,0.15404396062857148,0.2653805072242006,0.275390836292965,0.8179316238617561,3.412068376138244,14.528894186019897,0.16267953017976078,0.0009247731482074362,-0.005582408058982995
high_n8_w0.15,8,0.15,high,0.213420922695525,0.45906022909619965,0.24989794871794865,0.8476993313068816,0.17743783806316565,0.31276870145300334,0.31530239386176157,1.2458815606128044,2.984118439387196,14.029109477996826,0.590629466930809,0.018532191426575417,-0.005092987250656943
soft_n32_w0.6,32,0.6,soft,0.21368114787521314,0.45670326627380553,0.24989794871794865,0.8492592376773571,0.17775466124051245,0.3097663811587073,0.3538928176751425,1.2499793812528355,2.980020618747165,14.61445665359497,0.5947272875708398,0.018792416606263546,-0.004996674896570047
soft_n48_w0.15,48,0.15,soft,0.20616338037975582,0.45979849021865615,0.24989794871794865,0.8472090772327141,0.1676300628000217,0.28877172920596345,0.2972794671845158,1.0567711659807197,3.1732288340192807,14.067216396331787,0.4015190722987243,0.011274649110806223,-0.004786113781142749
soft_n32_w0.15,32,0.15,soft,0.20370222471593025,0.4684144660499651,0.24989794871794865,0.8414292538163074,0.16375891999622508,0.2873997989643023,0.2802313545710414,0.9506633118667707,3.2793366881332298,14.9728364944458,0.2954112181847752,0.008813493446980653,-0.0030029552804103563
no_prior,0,0.0,soft,0.1948887312689496,0.4784184150961502,0.24989794871794865,0.8345837207196984,0.15099445626831257,0.2567059927944705,0.26260670739460956,0.6552520936819953,3.574747906318005,14.444474220275879,0.0,0.0,0.0
mid_n8_w0.6,8,0.6,mid,0.21566359093652934,0.4663361989416046,0.24989794871794865,0.8428332296068222,0.1786031359168876,0.3129644662161028,0.3501236648539228,1.1606813725510556,3.069318627448945,13.128279209136963,0.5054292788690602,0.020774859667579748,0.0005576885128173413
soft_n8_w0.15,8,0.15,soft,0.1999259625919693,0.48018664684644696,0.24989794871794865,0.8333587058103145,0.157444830095073,0.2776881396160127,0.26358991094917505,0.7590268351470194,3.470973164852981,14.427794694900513,0.10377474146502408,0.0050372313230196974,0.0008862416644187339
mid_n8_w0.3,8,0.3,mid,0.209999817992529,0.46696655105909163,0.24989794871794865,0.84240805410444,0.1708389187639641,0.2928891170387673,0.29471417782538856,1.0046109414079745,3.225389058592026,13.493860721588135,0.3493588477259788,0.015111086723579414,0.0011367328145402613
soft_n16_w0.15,16,0.15,soft,0.20161014291977716,0.47603166152050924,0.24989794871794865,0.8362300749010365,0.15947618140967246,0.27447420325472954,0.2676631539766771,0.7840748208021627,3.445925179197838,14.97347116470337,0.12882272712016718,0.006721411650827569,0.0015685025660208815
soft_n16_w0.3,16,0.3,soft,0.20412605996473218,0.4749223972363705,0.24989794871794865,0.8369924295240536,0.16283430712338112,0.2824823142404815,0.2974717538391799,0.8464089712512376,3.383591028748763,14.722082138061523,0.19115687756924205,0.009237328695782587,0.0015910535930129055
soft_n32_w0.3,32,0.3,soft,0.21216279685147624,0.4671655952666278,0.24989794871794865,0.8422736785301773,0.17350842648616624,0.29839748073521644,0.3284693940974166,1.041450685019655,3.1885493149803454,16.946547031402588,0.38619859133765955,0.017274065582526643,0.0018261219290202618
mid_n8_w0.15,8,0.15,mid,0.2088392226142378,0.47936307670979283,0.24989794871794865,0.8339298299896214,0.16876686746693761,0.30302367636135885,0.2805830832686634,0.9355894310436479,3.2944105689563523,13.932008981704712,0.28033733736165267,0.013950491345288196,0.0027369978508220896
soft_n8_w0.6,8,0.6,soft,0.211995132576128,0.48604482203702876,0.24989794871794865,0.8292679269309825,0.17015622125533478,0.2935925513814711,0.30132729501789524,0.7964086957227935,3.433591304277207,14.719107151031494,0.14115660204079816,0.017106401307178415,0.011460137225546488
