feature_set,feature_count,blend,wf_active,wf_ph_r2,wf_ec_r2,wf_min_r2,wf_ph_mae,wf_ec_mae,ho_active,ho_ph_r2,ho_ec_r2,ho_ph_mae,ho_ec_mae,sep2_morning_pred,sep2_morning_err,sep2_afternoon_pred,sep2_afternoon_err
current_union,44,1.0,2,0.9494931071755421,0.9602639440913019,0.9494931071755421,0.2654467537431321,0.13303107349232982,4,0.8983803676738967,0.6867997439660525,0.3814684396879822,0.3144688573124249,9.261104946136475,1.2611049461364754,9.501739144325256,0.8382608556747435
current_union,44,1.2,2,0.9490580109887868,0.9816823547966882,0.9490580109887868,0.2670199201860112,0.11601186285499263,4,0.8941146501966175,0.722733009601832,0.3857879790699199,0.28691324334890644,9.261104946136475,1.2611049461364754,9.501739144325256,0.8382608556747435
balanced_plus_overnight,45,1.2,2,0.9394648206906705,0.9665226452919675,0.9394648206906705,0.28888430113050867,0.129414113940766,4,0.9080319070880427,0.759416162238932,0.33244116641058563,0.28179768300293057,9.262604479789735,1.2626044797897347,9.184144258499146,1.1558557415008544
balanced_plus_overnight,45,1.0,2,0.9405470692689325,0.9394226055871369,0.9394226055871369,0.2811121824993777,0.1437133950899849,4,0.9116946829054691,0.7081693169232306,0.32876770733071004,0.3110697717470788,9.262604479789735,1.2626044797897347,9.184144258499146,1.1558557415008544
balanced_swap_dark_overnight,44,1.2,2,0.9342571389547043,0.9409184018140279,0.9342571389547043,0.30081903356369566,0.13390539033004698,4,0.9000317802018885,0.7774438304369258,0.34823407474532864,0.2854603643923281,9.389222149848939,1.3892221498489388,9.574858903884888,0.7651410961151122
baseline_union,44,1.2,2,0.928668500915297,0.9437343030368306,0.928668500915297,0.3320599559189107,0.13563845042212452,4,0.8523411807986059,0.6684949270290865,0.3839542271331733,0.32032128624487427,9.225160245895387,1.2251602458953865,9.530722975730896,0.8092770242691039
baseline_union,44,1.0,2,0.9275406502472058,0.9209807018620597,0.9209807018620597,0.3338130562328032,0.14531002424669726,4,0.8659610904676711,0.63535684140157,0.3754177555841811,0.34258979096552933,9.225160245895387,1.2251602458953865,9.530722975730896,0.8092770242691039
balanced_swap_dark_overnight,44,1.0,2,0.9332803245174749,0.9190248233261106,0.9190248233261106,0.30397537228004723,0.1427707794087558,4,0.9080465924696799,0.7203370974343619,0.3409245526898121,0.3155849592454224,9.389222149848939,1.3892221498489388,9.574858903884888,0.7651410961151122
balanced_plus_ph_chem_small,52,1.0,2,0.927927205086492,0.8999760845760213,0.8999760845760213,0.3092173175402663,0.17035883194294102,4,0.9063077559414532,0.600691357247528,0.33542292318855793,0.3552112445320067,9.295192723274232,1.2951927232742317,9.385303020477295,0.9546969795227049
balanced_plus_ph_chem_small,52,1.2,2,0.9273447425016809,0.4498804083457254,0.4498804083457254,0.31318824744433976,0.24990861797427008,4,0.8988342366819204,0.626250983432138,0.34258436430853123,0.34537742270174443,9.295192723274232,1.2951927232742317,9.385303020477295,0.9546969795227049
