timestamp,ec_true,blend1_pred,blend1_abs_err,blend1_specialist,bestofboth_pred,bestofboth_abs_err,bestofboth_specialist,bestofboth_error_improvement
2025-08-14 12:30:00,2.39,2.39,0.0,base,2.39,0.0,base,0.0
2025-08-14 16:20:00,2.52,2.2246278308351863,0.2953721691648137,base,2.2396643105266265,0.2803356894733735,base,0.015036479691440174
2025-08-17 08:10:00,1.145,1.975891031391478,0.8308910313914779,base,1.5341610749758106,0.38916107497581054,base,0.44172995641566737
2025-08-17 12:40:00,2.68,1.284904692258385,1.395095307741615,base,1.1937562497507437,1.4862437502492565,base,-0.09114844250764143
2025-08-18 08:30:00,1.932,2.135389225967891,0.2033892259678911,base,2.1064207742551786,0.17442077425517866,base,0.02896845171271245
2025-08-18 14:40:00,2.93,2.753051198314313,0.17694880168568705,base,3.252425932816103,0.322425932816103,base,-0.14547713113041594
2025-08-19 12:30:00,1.752,2.0250871292986385,0.27308712929863854,base,1.6983731764969932,0.05362682350300685,base,0.2194603057956317
2025-08-19 17:30:00,1.354,1.993268756329605,0.6392687563296049,base,1.764711212186908,0.41071121218690787,base,0.22855754414269702
2025-08-20 12:00:00,0.9119,1.615287317930755,0.7033873179307549,base,1.5738494350719443,0.6619494350719443,base,0.04143788285881067
2025-08-20 12:20:00,0.8451,1.081272860400344,0.23617286040034413,base,0.8628970453247876,0.017797045324787653,base,0.21837581507555648
2025-08-21 13:00:00,0.738,1.13068569386352,0.3926856938635199,base,1.273312929223311,0.535312929223311,base,-0.14262723535979105
2025-08-21 15:00:00,0.82782,0.7401734769487142,0.08764652305128584,base,0.6186340700111269,0.2091859299888731,base,-0.12153940693758725
2025-08-25 09:00:00,0.327,0.6808328944521314,0.35383289445213134,base,0.6665132522698134,0.3395132522698134,base,0.01431964218231796
2025-08-25 16:00:00,0.327,0.4243800491322193,0.09738004913221926,base,0.3962208080123646,0.06922080801236458,base,0.028159241119854683
2025-08-26 12:00:00,0.266,0.2818278692640866,0.01582786926408658,base,0.28889683375381,0.022896833753809964,base,-0.007068964489723384
2025-08-26 16:30:00,0.314,0.3257984547414602,0.011798454741460185,base,0.3213598767416514,0.007359876741651394,base,0.00443857799980879
2025-08-27 11:40:00,0.181,0.2855395811775886,0.1045395811775886,base,0.3144581653747164,0.1334581653747164,base,-0.028918584197127783
2025-08-27 14:10:00,0.294,0.1967434743314227,0.09725652566857729,base,0.2293218013643665,0.06467819863563348,base,0.032578327032943805
2025-08-28 13:30:00,0.358,0.2523349410550624,0.1056650589449376,base,0.2618399712099068,0.09616002879009317,base,0.00950503015484444
2025-08-28 15:00:00,0.174,0.5302062580907657,0.3562062580907657,base,0.5712153172901607,0.39721531729016074,base,-0.041009059199395015
2025-08-31 08:20:00,0.18,0.1486223768783968,0.03137762312160319,base,0.1530521322971403,0.0269478677028597,base,0.004429755418743492
2025-08-31 12:30:00,0.167,0.1857970436583795,0.018797043658379503,base,0.2123319133946336,0.04533191339463358,base,-0.026534869736254074
2025-09-01 08:30:00,0.292,0.1768788168918814,0.11512118310811859,base,0.1694342645291547,0.12256573547084529,base,-0.007444552362726703
2025-09-01 12:30:00,0.306,0.3091559361065433,0.0031559361065433,base,0.2778954261874506,0.028104573812549383,base,-0.024948637706006083
2025-09-02 08:30:00,0.168,0.3194991079971597,0.15149910799715968,base,0.3422089555765389,0.1742089555765389,base,-0.022709847579379216
