group,n,median_ec0,median_gap_h,median_salt_total,median_event_mass,median_event_conc,share_any_salt,share_salt_ge_300,share_salt_ge_700,share_no_flush_after_salt,share_ec0_lt_1,median_event_to_target_h,median_event_conc_x_logmass_fast,max_event_conc_x_logmass_fast
consecutive_delta_ge_0.5,10,1.095,6.333333333333334,325.54999999999995,325.54999999999995,3.223267326732673,0.7,0.6,0.1,0.5,0.4,6.333333333333334,2.1365494743020235e-06,16.007412886808016
consecutive_delta_ge_1.0,6,1.0005,6.333333333333334,325.54999999999995,325.54999999999995,3.223267326732673,0.8333333333333334,0.6666666666666666,0.16666666666666666,0.5,0.5,6.333333333333334,0.035295106366281796,16.007412886808016
skip26_delta_ge_1.0,15,0.9185,7.0,340.54999999999995,325.54999999999995,3.223267326732673,0.9333333333333333,0.8,0.4,0.6666666666666666,0.6666666666666666,6.5,0.07108969602369565,16.007412886808016
skip26_delta_ge_2.0,6,0.501,4.583333333333334,976.6499999999999,976.6499999999999,3.2446843853820595,1.0,1.0,1.0,1.0,1.0,4.25,1.414585727100659,16.007412886808016
