name,mask_mode,shock_weight,blend,feature_mode,features,wf_ph_r2,wf_ec_r2,wf_ph_mae,wf_ec_mae,sep21_ec_pred,sep21_ec_err,sep21_type,n_train,n_spec,n_shock,type,base_ec,spec_ec,pred_ec,base_raw_ec,spec_raw_ec,pred_raw_ec
chem_sw0.0,chem,0.0,1.0,shared,44,0.9463885801784775,0.9506722711107372,0.2758895954880829,0.13781282527230332,2.4868161383898943,1.743183861610106,huber,229,161,10,huber,0.5450441232694612,2.4868161383898943,2.4868161383898943,0.07690075039863586,1.5269302757625507,1.5269302757625507
chem_sw8.0,chem,8.0,1.0,shared,44,0.9494931071755421,0.9602639440913019,0.2654467537431321,0.13303107349232982,2.7593759898483836,1.4706240101516168,huber,229,161,10,huber,0.5450441232694612,2.7593759898483836,2.7593759898483836,0.07690075039863586,1.6289828608445864,1.6289828608445864
salt_only_sw0.0,salt_only,0.0,1.0,shared,44,0.8971126611440204,0.7982732355836473,0.32180809787570946,0.20664476585694685,1.9846363381546304,2.24536366184537,huber,229,64,10,huber,0.5450441232694612,1.9846363381546304,1.9846363381546304,0.07690075039863586,1.30633756914487,1.30633756914487
salt_only_sw8.0,salt_only,8.0,1.0,shared,44,0.6600243078342789,0.8121951909483092,0.4105057944759425,0.2013175278950631,2.2882889019820034,1.941711098017997,huber,229,64,10,huber,0.5450441232694612,2.2882889019820034,2.2882889019820034,0.07690075039863586,1.4454398932443486,1.4454398932443486
concentrated_salt_sw0.0,concentrated_salt,0.0,1.0,shared,44,0.8875448517997548,0.8135132744933061,0.33061456926334354,0.1829107955142665,0.30727621783755854,3.922723782162442,huber,229,16,10,huber,0.5450441232694612,0.30727621783755854,0.30727621783755854,0.07690075039863586,-0.4332256071069148,-0.4332256071069148
concentrated_salt_sw8.0,concentrated_salt,8.0,1.0,shared,44,0.8878900986252696,0.8118790495867158,0.3304537091717262,0.18324372896919,0.2882990109069195,3.9417009890930808,huber,229,16,10,huber,0.5450441232694612,0.2882990109069195,0.2882990109069195,0.07690075039863586,-0.48780465708640086,-0.48780465708640086
shock_only_sw0.0,shock_only,0.0,1.0,shared,44,0.8738230999541766,0.8027914156960068,0.3366192597724358,0.18506662963233744,0.1843936731075163,4.045606326892484,huber,229,10,10,huber,0.5450441232694612,0.1843936731075163,0.1843936731075163,0.07690075039863586,-0.8547327436764758,-0.8547327436764758
shock_only_sw8.0,shock_only,8.0,1.0,shared,44,0.8738498447408366,0.8027574549152844,0.33660820919291984,0.18507335407124592,0.18401038008973253,4.045989619910268,huber,229,10,10,huber,0.5450441232694612,0.18401038008973253,0.18401038008973253,0.07690075039863586,-0.856369335421229,-0.856369335421229
salt_only_blend0.85,salt_only,0.0,0.85,shared,44,0.9071522922266542,0.8580917798636389,0.31302817984568504,0.1905195824599395,1.6419836136002484,2.588016386399752,huber,229,64,10,huber,0.5450441232694612,1.9846363381546304,1.6419836136002484,0.07690075039863586,1.30633756914487,1.1219220463329347
salt_only_blend1.15,salt_only,0.0,1.15,shared,44,0.8852785068352726,0.6466918253737164,0.3305880159057339,0.23075535249971751,2.396681513499189,1.8333184865008114,huber,229,64,10,huber,0.5450441232694612,1.9846363381546304,2.396681513499189,0.07690075039863586,1.30633756914487,1.490753091956805
salt_only_blend1.3,salt_only,0.0,1.3,shared,44,0.8716498293004108,0.3037448948848974,0.3393679339357583,0.26643066382226027,2.892172178998867,1.3378278210011336,huber,229,64,10,huber,0.5450441232694612,1.9846363381546304,2.892172178998867,0.07690075039863586,1.30633756914487,1.6751686147687403
salt_only_shared_plus_ecspec,salt_only,0.0,1.0,shared_plus_ecspec,49,0.8918689671553373,-95.61390474883127,0.3336896324410558,1.7926342984098753,98.13047561521795,93.90047561521794,huber,229,64,10,huber,0.5045239327932812,98.13047561521795,98.13047561521795,0.006375157739967108,5.1828278427661765,5.1828278427661765
salt_only_ecspec_only,salt_only,0.0,1.0,ecspec_only,26,0.6524509888966858,0.9762191076752271,0.5749436399711474,0.12864234285615292,4.866886757714355,0.6368867577143549,huber,229,64,10,huber,0.6414174891569268,4.866886757714355,4.866886757714355,0.22700901329517365,2.188696027225937,2.188696027225937
