timestamp,gap_hours,ph_true,ph_pred,ph_naive,ec_true,ec_pred,ec_naive,n_train,specialist_active,specialist_type
2025-08-14 12:30:00,0.0,8.12,8.12,8.12,2.39,2.39,2.39,36,False,base
2025-08-14 16:20:00,3.8333333333333335,8.63,8.359524647593497,8.12,2.52,2.2396643105266265,2.39,36,False,base
2025-08-17 08:10:00,63.833333333333336,7.07,8.128854517936707,8.63,1.145,1.5341610749758106,2.52,37,False,base
2025-08-17 12:40:00,4.5,9.3,7.467478312253952,7.07,2.68,1.1937562497507435,1.145,38,False,base
2025-08-18 08:30:00,19.833333333333332,8.29,8.226212191581727,9.3,1.932,2.1064207742551786,2.68,39,False,base
2025-08-18 14:40:00,6.166666666666667,9.19,8.843551077842712,8.29,2.93,3.252425932816103,1.932,40,False,base
2025-08-19 12:30:00,21.833333333333332,9.61,8.69157767534256,9.19,1.752,1.7007835531881605,2.93,42,False,base
2025-08-19 17:30:00,5.0,9.08,9.712066189050674,9.61,1.354,1.764711212186908,1.752,43,False,base
2025-08-20 12:00:00,18.5,9.21,9.15968633621931,9.08,0.9119,1.5738494350719445,1.354,44,False,base
2025-08-20 12:20:00,0.3333333333333333,8.37,9.542939058542252,9.21,0.8451,0.8628970453247876,0.9119,46,False,base
2025-08-21 13:00:00,24.666666666666668,8.14,8.657521362304687,8.37,0.738,1.273312929223311,0.8451,49,False,base
2025-08-21 15:00:00,2.0,7.54,8.160888293161989,8.14,0.82782,0.6186340700111269,0.738,50,False,base
2025-08-25 09:00:00,90.0,9.07,7.299451895952225,7.54,0.327,0.6665132522698134,0.82782,51,False,base
2025-08-25 16:00:00,7.0,9.86,9.435626394748688,9.07,0.327,0.3962208080123646,0.327,52,False,base
2025-08-26 12:00:00,20.0,7.37,10.379780933856964,9.86,0.266,0.28889683375381003,0.327,53,False,base
2025-08-26 16:30:00,4.5,7.36,8.411129708290101,7.37,0.314,0.3213598767416514,0.266,54,False,base
2025-08-27 11:40:00,19.166666666666668,7.76,7.9954756951332095,7.36,0.181,0.31445816537471644,0.314,56,False,base
2025-08-27 14:10:00,2.5,8.93,7.65785810559988,7.76,0.294,0.22932180136436656,0.181,57,False,base
2025-08-28 13:30:00,23.333333333333332,7.62,8.23310332775116,8.93,0.358,0.2618399712099068,0.294,59,False,base
2025-08-28 15:00:00,1.5,10.29,8.23899757385254,7.62,0.174,0.5712153172901607,0.358,61,False,base
2025-08-31 08:20:00,65.33333333333333,7.73,9.089406886100768,10.29,0.18,0.15305213229714035,0.174,63,False,base
2025-08-31 12:30:00,4.166666666666667,10.49,8.830498795509339,7.73,0.167,0.21233191339463364,0.18,64,False,base
2025-09-01 08:30:00,20.0,9.76,8.516405453681946,10.49,0.292,0.1694342645291547,0.167,65,False,base
2025-09-01 12:30:00,4.0,10.38,10.332757184505462,9.76,0.306,0.27789542618745067,0.292,67,False,base
2025-09-02 08:30:00,20.0,8.0,9.055699591636658,10.38,0.168,0.3422089555765389,0.306,68,False,base
2025-09-02 15:00:00,6.5,10.34,9.833625316619873,8.0,0.299,0.21783788437648013,0.168,70,False,base
2025-09-03 09:00:00,18.0,8.87,8.737225141525268,10.34,0.301,0.23767623629356102,0.299,71,False,base
2025-09-03 15:20:00,6.333333333333333,10.32,9.938173766136169,8.87,0.308,0.3212746814345328,0.301,73,False,base
2025-09-07 08:50:00,89.5,8.25,8.41866487979889,10.32,0.334,0.24431381219388737,0.308,75,False,base
2025-09-07 15:30:00,6.666666666666667,10.01,9.816691398620605,8.25,0.1548,0.46096280111797105,0.334,76,False,base
