feature_set,xgb_set,warmup,max_rows,train_mode,pred_mode,shock_weight,blend,n_spec_final,n_shock_final,wf_active,wf_ph_r2,wf_ec_r2,wf_min_r2,wf_ph_mae,wf_ec_mae,ho_active,ho_ph_r2,ho_ec_r2,ho_ph_mae,ho_ec_mae
current_union,ph_like,51,4,concentrated_chem,salt_shock_strict,8.0,1.0,178,12,2,0.9484599871952489,0.9602582607488683,0.9484599871952489,0.2710968658746297,0.13286028400067768,4,0.8983803676738967,0.6867997439660525,0.3814684396879822,0.3144688573124249
current_union,ph_like,51,4,chem_event,salt_shock_strict,8.0,1.0,178,12,2,0.9484599871952489,0.9602582607488683,0.9484599871952489,0.2710968658746297,0.13286028400067768,4,0.8983803676738967,0.6867997439660525,0.3814684396879822,0.3144688573124249
current_union,ph_like,51,4,concentrated_chem,salt_shock_strict,8.0,1.2,178,12,2,0.9480364511695195,0.981590617753649,0.9480364511695195,0.27264290875814884,0.11613450802950144,4,0.8941146501966175,0.722733009601832,0.3857879790699199,0.28691324334890644
current_union,ph_like,51,4,chem_event,salt_shock_strict,8.0,1.2,178,12,2,0.9480364511695195,0.981590617753649,0.9480364511695195,0.27264290875814884,0.11613450802950144,4,0.8941146501966175,0.722733009601832,0.3857879790699199,0.28691324334890644
current_union,ph_like,51,4,concentrated_chem,salt_shock_strict,0.0,1.0,178,12,2,0.9454379450212831,0.9507051246591276,0.9454379450212831,0.28135965862397794,0.1375595917844447,4,0.8913555444691722,0.6853190881511372,0.3870750213039897,0.3224894679971995
current_union,ph_like,51,4,chem_event,salt_shock_strict,0.0,1.0,178,12,2,0.9454379450212831,0.9507051246591276,0.9454379450212831,0.28135965862397794,0.1375595917844447,4,0.8913555444691722,0.6853190881511372,0.3870750213039897,0.3224894679971995
current_union,ph_like,51,4,concentrated_chem,salt_shock_strict,0.0,1.2,178,12,2,0.9415266049127176,0.9751468189849207,0.9415266049127176,0.2849582600573667,0.12374965155947687,4,0.885328015967389,0.7310306274588643,0.392515877009129,0.29810892841687187
current_union,ph_like,51,4,chem_event,salt_shock_strict,0.0,1.2,178,12,2,0.9415266049127176,0.9751468189849207,0.9415266049127176,0.2849582600573667,0.12374965155947687,4,0.885328015967389,0.7310306274588643,0.392515877009129,0.29810892841687187
current_union,ph_like,51,4,salt_shock_no_ec,salt_shock_strict,0.0,1.0,18,12,1,0.888157647893241,0.8140971978382675,0.8140971978382675,0.3351410983686306,0.18188001081533955,4,0.9025961756621075,0.7653959632809423,0.364945406722706,0.2797085107305911
current_union,ph_like,51,4,salt_shock_no_ec,salt_shock_strict,8.0,1.0,18,12,1,0.8884937217840848,0.8124695388297154,0.8124695388297154,0.3349830117268688,0.1822072040382816,4,0.9032052477764613,0.8310230164508202,0.36438372900741856,0.25294687343054656
current_union,ph_like,51,4,salt_shock_no_ec,salt_shock_strict,0.0,1.2,18,12,1,0.875713496509697,0.8111190815173714,0.8111190815173714,0.3406600510872853,0.18247748302720118,4,0.8638746072902829,-0.020069190136090542,0.39629631345200556,0.4621912214538555
current_union,ph_like,51,4,salt_shock_no_ec,salt_shock_strict,8.0,1.2,18,12,1,0.8761641997531158,0.8093490526178491,0.8093490526178491,0.34047034711717095,0.18283012167848386,4,0.864855724770487,0.2243970151555883,0.3956223001936608,0.4169934877417007
current_union,ph_like,51,4,salt_shock_strict,salt_shock_strict,0.0,1.0,12,12,1,0.8748004721246814,0.8034184167295777,0.8034184167295777,0.3410422597310145,0.18399867537965064,4,0.913485578791688,0.910919268002909,0.35339341851295575,0.20944179758798054
current_union,ph_like,51,4,salt_shock_strict,salt_shock_strict,8.0,1.0,12,12,1,0.8748265063235453,0.8033845923945934,0.8033845923945934,0.34103139967873153,0.18400528387995724,4,0.9133511382649034,0.9217489821919918,0.35352408091811116,0.20204572822418648
current_union,ph_like,51,4,salt_shock_strict,salt_shock_strict,0.0,1.2,12,12,1,0.8577200857580001,0.7998849583139032,0.7998849583139032,0.3477414447221458,0.18468568165989446,4,0.8815349975910578,0.5408654653544407,0.38243392760030537,0.34466692245581393
current_union,ph_like,51,4,salt_shock_strict,salt_shock_strict,8.0,1.2,12,12,1,0.8577552913044573,0.7998509429531464,0.7998509429531464,0.3477284126594063,0.18469226266834474,4,0.8813123608194429,0.5865545632218446,0.3825907224864918,0.3324944252673327
