evaluation,regime,n,mae,rmse,r2,naive_mae,gain_vs_naive,mean_true,max_true
pH warmup52,all,57,0.2905894505347997,0.38708424469348934,0.9407730541616349,0.8768421052631579,0.5862526547283582,8.488771929824562,10.38
pH warmup52,mid_ph_6.5_to_9.5,29,0.30488460478949325,0.40303051738403617,0.7850752988504579,1.043448275862069,0.7385636710725756,8.214827586206898,9.45
pH warmup52,acidic_ph_le_6.5,7,0.2766890218903093,0.34104101096370854,0.42573309820456395,0.38571428571428573,0.10902526382397643,5.2628571428571425,6.19
pH warmup52,alkaline_ph_ge_9.5,21,0.27548199944552915,0.37895928751487723,-1.0504841108985974,0.8104761904761906,0.5349941910306615,9.942380952380953,10.38
pH warmup52,jump_abs_delta_ge_0.75,25,0.34768072897145286,0.44777355125841894,0.8664454483974185,1.5632,1.2155192710285472,8.680399999999999,10.34
pH warmup52,jump_abs_delta_ge_1.0,21,0.34780767456570444,0.4474095574093639,0.8679884879421307,1.6976190476190471,1.3498113730533428,8.63047619047619,10.34
