Target,Warmup,MAE,RMSE,Naive MAE,Gain,Gain %,R2,N test,Holdout MAE,Holdout R2
pH,52,0.30283034203424025,0.3977199829030557,0.8768421052631579,0.5740117632289177,65.46352641866407,0.9374736363001753,57,0.3080147256004751,0.9392020183869675
EC,52,0.12689546409770086,0.1708934457723635,0.19607719298245616,0.0691817288847553,35.282904570622485,0.9817720327995785,57,0.20949417769743678,0.9204844326565398
