shock_kind,union_blend,shock_blend,gmin,wf_union,wf_shock,ho_union,ho_shock,wf_ph_r2,wf_ec_r2,wf_ph_mae,wf_ec_mae,ho_ph_r2,ho_ec_r2,ho_ph_mae,ho_ec_mae,sep21_ec_mae,min_wf,min_ho,ok_hold
ridge,1.0,0.85,2.0,2,0,0,4,0.9505558835155431,0.9481007862944115,0.2621242018448865,0.15014216129319985,0.953340315885784,0.9554562969145782,0.282954845117373,0.16681657249800597,0.6519421239249142,0.9481007862944115,0.953340315885784,True
ridge,1.0,0.85,2.25,2,0,1,3,0.9505558835155431,0.9481007862944115,0.2621242018448865,0.15014216129319985,0.9520349380351926,0.9529578628567649,0.2872028140359096,0.16871665471776304,0.6709429461224851,0.9481007862944115,0.9520349380351926,True
ridge,1.0,0.85,2.5,2,0,1,3,0.9505558835155431,0.9481007862944115,0.2621242018448865,0.15014216129319985,0.9520349380351926,0.9529578628567649,0.2872028140359096,0.16871665471776304,0.6709429461224851,0.9481007862944115,0.9520349380351926,True
ridge,1.0,0.85,3.0,2,0,1,3,0.9505558835155431,0.9481007862944115,0.2621242018448865,0.15014216129319985,0.9520349380351926,0.9529578628567649,0.2872028140359096,0.16871665471776304,0.6709429461224851,0.9481007862944115,0.9520349380351926,True
ridge,1.0,0.85,3.5,2,0,1,3,0.9505558835155431,0.9481007862944115,0.2621242018448865,0.15014216129319985,0.9520349380351926,0.9529578628567649,0.2872028140359096,0.16871665471776304,0.6709429461224851,0.9481007862944115,0.9520349380351926,True
ridge,1.0,0.85,4.0,2,0,1,3,0.9505558835155431,0.9481007862944115,0.2621242018448865,0.15014216129319985,0.9520349380351926,0.9529578628567649,0.2872028140359096,0.16871665471776304,0.6709429461224851,0.9481007862944115,0.9520349380351926,True
ridge,1.0,0.85,5.0,2,0,1,3,0.9505558835155431,0.9481007862944115,0.2621242018448865,0.15014216129319985,0.9520349380351926,0.9529578628567649,0.2872028140359096,0.16871665471776304,0.6709429461224851,0.9481007862944115,0.9520349380351926,True
ridge,1.0,0.9,2.0,2,0,0,4,0.9505558835155431,0.9481007862944115,0.2621242018448865,0.15014216129319985,0.9518459124171343,0.9675628692679347,0.28550026413836027,0.14646629273713868,0.4484393263162413,0.9481007862944115,0.9518459124171343,True
ridge,1.0,0.9,2.25,2,0,1,3,0.9505558835155431,0.9481007862944115,0.2621242018448865,0.15014216129319985,0.9504677336835635,0.9608032612639525,0.29006438674878277,0.15194051179693355,0.5031815169141901,0.9481007862944115,0.9504677336835635,True
ridge,1.0,0.9,2.5,2,0,1,3,0.9505558835155431,0.9481007862944115,0.2621242018448865,0.15014216129319985,0.9504677336835635,0.9608032612639525,0.29006438674878277,0.15194051179693355,0.5031815169141901,0.9481007862944115,0.9504677336835635,True
ridge,1.0,0.9,3.0,2,0,1,3,0.9505558835155431,0.9481007862944115,0.2621242018448865,0.15014216129319985,0.9504677336835635,0.9608032612639525,0.29006438674878277,0.15194051179693355,0.5031815169141901,0.9481007862944115,0.9504677336835635,True
ridge,1.0,0.9,3.5,2,0,1,3,0.9505558835155431,0.9481007862944115,0.2621242018448865,0.15014216129319985,0.9504677336835635,0.9608032612639525,0.29006438674878277,0.15194051179693355,0.5031815169141901,0.9481007862944115,0.9504677336835635,True
