timestamp,gap_hours,ph_true,ph_pred,ph_naive,ec_true,ec_pred,ec_naive,specialist_active,specialist_type,n_train
2025-09-01 08:30:00,0.0,9.76,9.76,9.76,0.292,0.292,0.292,False,base,67
2025-09-01 12:30:00,4.0,10.38,10.769863018989563,9.76,0.306,0.2720108178779043,0.292,False,base,67
2025-09-02 08:30:00,20.0,8.0,9.21324682712555,10.38,0.168,0.3550669273093876,0.306,False,base,68
2025-09-02 15:00:00,6.5,10.34,9.64054548740387,8.0,0.299,0.2271638304265392,0.168,False,base,70
2025-09-03 09:00:00,18.0,8.87,8.690296378135681,10.34,0.301,0.23487856370838428,0.299,False,base,71
2025-09-03 15:20:00,6.333333333333333,10.32,10.17947208404541,8.87,0.308,0.35611383455306234,0.301,False,base,73
2025-09-07 08:50:00,89.5,8.25,8.706204838752747,10.32,0.334,0.2497857959192757,0.308,False,base,75
2025-09-07 15:30:00,6.666666666666667,10.01,9.877185106277466,8.25,0.1548,0.46609828324529573,0.334,False,base,76
2025-09-08 09:30:00,18.0,8.8,8.802317152023315,10.01,0.326,0.18291087513555318,0.1548,False,base,77
2025-09-08 13:50:00,4.333333333333333,9.76,8.993865776062012,8.8,0.156,0.20069030918521932,0.326,False,base,79
2025-09-09 08:30:00,18.666666666666668,7.9,8.186016330718994,9.76,0.348,0.1838927790731677,0.156,False,base,80
2025-09-09 14:10:00,5.666666666666667,9.9,9.48928942680359,7.9,0.3,0.2612027280237255,0.348,False,base,82
2025-09-09 15:40:00,1.5,9.88,10.250279152393341,9.9,0.347,0.3031996115052544,0.3,False,base,83
2025-09-09 18:40:00,3.0,9.33,9.242735450267793,9.88,0.161,0.25692169186549246,0.347,False,base,85
2025-09-10 07:50:00,13.166666666666666,7.87,7.7974822092056275,9.33,0.342,0.26354591056805654,0.161,False,base,88
2025-09-10 11:30:00,3.6666666666666665,9.5,9.01273738861084,7.87,0.292,0.24386524951707925,0.342,False,base,92
