Target,Warmup,MAE,RMSE,Naive MAE,Gain,Gain %,R2,N test,Holdout MAE,Holdout R2
pH,52,0.346261721421921,0.4905281002859074,0.8768421052631579,0.5305803838412368,60.51036790506303,0.9048878210893452,57,0.29823783277191773,0.9314567307774774
EC,52,0.15938765939681948,0.2872452810156569,0.19607719298245616,0.036689533585636674,18.711780308339808,0.9485016599758271,57,0.16868663440691625,0.9214702661984107
