Target,Warmup,MAE,RMSE,Naive MAE,Gain,R2,N test,Holdout MAE,Holdout R2
pH,52,0.27928224334834373,0.3922166702691195,0.8768421052631579,0.5975598619148141,0.9391920384169278,57,0.31439762862926307,0.934836922304256
EC,52,0.12904086078110996,0.24064739091181567,0.19607719298245616,0.0670363322013462,0.963854874252649,57,0.1978317937270459,0.920805953504546
EC stress,30,0.17574683949844225,0.3090626068683366,0.24673468354430375,0.0709878440458615,0.9316072721525261,79,,
