,importance
log_ec_drive,0.1448014
prev_ec_slope,0.08069819
stage_x_salt_conc,0.076116055
hist48_irr_prevday,0.07591316
ec0,0.06642125
ec_log_anchor,0.05747285
irr_to_et0,0.04364543
rad_t1_log,0.040678628
soil_temp_mean,0.040042985
salt_conc_t0_t1,0.03379492
hrs_since_last_salt_event,0.033032212
hist_irr_recent,0.030418294
hist_irr_prior,0.030084638
hrs_since_irr,0.028724993
hist_hrs_since_irr,0.027112639
timing_balance,0.026937662
hrs_since_fert,0.024512667
temp_trend,0.02287415
hour_cos_b,0.021653315
hist_salt_buildup,0.019088197
rad_morning,0.017074142
irr_total_t0_t1,0.016424587
hour_sin_b,0.015924355
irr_after_last_salt,0.014062295
salt_event_pos,0.012490976
