dataset,feature,r_with_ec_delta,r_with_ec1,sep21_value,p90,p99,max
consecutive,salt_per_hour,0.37163456468135847,0.17049656016691567,1171.9799999999998,91.34045454545452,931.0729999999951,1171.9799999999998
consecutive,last_salt_release_fast,0.32826984135290055,0.11267337454308705,699.8003044718912,119.76315207336303,260.68006151956683,699.8003044718912
consecutive,last_salt_event_mass,0.24821009810117722,0.09026051626775265,976.6499999999999,325.54999999999995,635.2414999999983,976.6499999999999
consecutive,mass_shortgap_no_flush,0.24074023000930755,0.10782274090503118,4.538971767338477,0.3243327092867587,4.447360039681632,4.899929787140237
consecutive,last_salt_mass_per_ec0,0.23527024584031772,-0.13835810867348175,1625.0415973377703,819.0210615370913,1273.2636630427135,1625.0415973377703
consecutive,salt_conc_t0_t1,0.1909184076603808,0.1156747941315979,3.2446843853820595,0.8854487762258293,3.223267326732673,3.2446843853820595
consecutive,short_salt_shock_pressure,0.14965530651012846,-0.0559223867827481,8.110418233474569,1.7409055272276737,11.22314556968514,11.332848359715447
consecutive,fert_salt_total_t0_t1,0.13336817427253977,-0.02420920237711721,976.6499999999999,424.54999999999995,1321.664999999998,2023.1
consecutive,salt_mass_per_ec0,0.12485629753961384,-0.16023531845841402,1625.0415973377703,1038.4162846737502,3388.88461538461,4388.503253796095
consecutive,prev_ec_slope,0.031913490106038805,0.35346543209724196,-0.002826315789473685,0.09440769230769219,0.5400277777777758,4.4748
consecutive,irr_after_last_salt,0.012743730472932958,-0.07436443651035175,0.0,666.6666667,1581.333332965998,1599.9999996
consecutive,event_conc_x_logmass,-0.031568859865827706,-0.05592786886434203,22.340144318312458,18.658150698072355,1754.1239051722046,1884.473220505308
consecutive,last_salt_event_conc_mass,-0.032281101435754626,-0.056266668260754604,3.2446843853820595,3.223267326732673,302.9940247524728,325.54999999999995
consecutive,event_mass_x_conc_fast,-0.036101116063037474,-0.02307414703887218,2270.6311208055563,386.0286550245874,2170.5038491010246,75939.99637360805
consecutive,concentrated_large_event_per_ec0,-0.04479393357787366,-0.030582884670550207,14.321585182918364,4.133544441243939,23.233353727016915,1244.5023286136902
consecutive,event_conc_x_logmass_fast,-0.04566402924061482,-0.027881348973664104,16.007412886808016,6.863950052099415,15.932713524055789,1350.2840664298778
consecutive,concentrated_large_event_pressure,-0.04777534278861748,-0.02798390146547868,8.607272694933936,3.6696989911469915,9.878709713545831,1344.0625149027856
consecutive,gap_h,-0.05631267654914198,-0.12451854410982612,0.8333333333333334,64.28333333333333,217.02833333333314,408.3333333333333
consecutive,event_to_target_h,-0.08409479388394078,-0.07396891374868228,0.5,31.73333333333329,88.7983333333332,119.5
consecutive,ec0_x_p48_salt,-0.24298686947086873,0.7205198457309764,0.0,1624.1181642000001,4423.5408449999995,4853.950499999999
consecutive,ec0,-0.24916085933003698,0.8293323548450457,0.501,2.5559999999999996,4.5293,4.97
pre_sep_skip26,salt_mass_per_ec0,0.19296182168811996,-0.16147657214309924,1625.0415973377703,1424.664429530201,3042.5233644859813,4283.5526315789475
pre_sep_skip26,last_salt_mass_per_ec0,0.1459496737054757,-0.24894344483541025,1625.0415973377703,1104.0304029217168,1427.8508771929821,1427.8508771929821
pre_sep_skip26,short_salt_shock_pressure,0.09904540007098618,-0.07400290691670486,8.110418233474569,4.9551591192159545,14.8112597624584,18.191671131848096
pre_sep_skip26,fert_salt_total_t0_t1,0.09462926040683164,0.0794303367593697,976.6499999999999,651.0999999999999,976.65,1302.1999999999998
pre_sep_skip26,concentrated_large_event_per_ec0,0.09161687222039246,0.018232211903008066,14.321585182918364,19.084198408628353,2671.352157774848,5895.011030275375
pre_sep_skip26,gap_h,0.05955979636923762,0.05371641193608434,0.8333333333333334,24.5,25.90333333333333,26.0
pre_sep_skip26,last_salt_event_mass,0.05482439107421434,0.0905681440049255,976.6499999999999,325.54999999999995,325.54999999999995,651.0999999999999
pre_sep_skip26,last_salt_event_conc_mass,0.01718325705786606,0.023171046343605565,3.2446843853820595,3.223267326732673,325.54999999999995,325.54999999999995
pre_sep_skip26,event_conc_x_logmass,0.017182986045870242,0.023170849267801653,22.340144318312458,18.658150698072355,1884.473220505308,1884.473220505308
pre_sep_skip26,concentrated_large_event_pressure,0.015895743257575715,0.023368017994891393,8.607272694933936,7.987576664519461,1344.0625149027856,1344.0625149027856
pre_sep_skip26,event_mass_x_conc_fast,0.01554585888563334,0.023229445228453095,2270.6311208055563,840.2415250266828,75939.99637360805,75939.99637360805
pre_sep_skip26,event_conc_x_logmass_fast,0.015544671360710648,0.023223241912456796,16.007412886808016,14.940279133204887,1350.2840664298778,1350.2840664298778
pre_sep_skip26,salt_conc_t0_t1,0.0068375536721718335,0.13502367037482005,3.2446843853820595,1.1705753095349123,3.241563461760962,3.24468438538206
pre_sep_skip26,event_to_target_h,0.00496887303945959,0.1420337527475578,0.5,18.666666666666668,24.0,25.0
pre_sep_skip26,irr_after_last_salt,-0.022892875734765103,-0.07018452571821089,0.0,766.6666667,2280.0000001139915,2666.6666668
pre_sep_skip26,last_salt_release_fast,-0.03389279283980193,-0.004697215026271168,699.8003044718912,167.1429431010603,260.68006151956683,260.68006151956683
pre_sep_skip26,salt_per_hour,-0.04294187544800697,0.06540420406228485,1171.9799999999998,85.69814229249018,258.8122499999995,976.6499999999999
pre_sep_skip26,mass_shortgap_no_flush,-0.08332674150846095,0.0674154877943503,4.538971767338477,0.19111092984545952,2.5311001967153257,4.899929787140237
pre_sep_skip26,prev_ec_slope,-0.21537271397060512,0.2273245898516458,-0.002826315789473685,0.123,0.27838702702702683,0.34111111111111114
pre_sep_skip26,ec0,-0.27540031333383036,0.7761187609857952,0.501,1.145,2.796599999999997,4.18
pre_sep_skip26,ec0_x_p48_salt,-0.41437191303216414,0.5122135001669308,0.0,794.8628800000014,1758.19428,1951.6729999999998
skip26,last_salt_event_mass,0.5010596414341079,0.11361002845208543,976.6499999999999,325.54999999999995,976.6499999999999,976.6499999999999
skip26,last_salt_mass_per_ec0,0.3794459486635893,-0.1306073688309559,1625.0415973377703,1163.9377900979882,1625.0415973377703,1625.0415973377703
skip26,salt_per_hour,0.37409383991224787,0.19157867966686917,1171.9799999999998,98.17902631578943,351.84442307692046,1171.9799999999998
skip26,fert_salt_total_t0_t1,0.37278166694708587,0.04295573013011635,976.6499999999999,651.0999999999999,976.65,1302.1999999999998
skip26,salt_conc_t0_t1,0.36209290818533535,0.16617856909967718,3.2446843853820595,1.3892603131421422,3.2446843853820595,3.24468438538206
skip26,salt_mass_per_ec0,0.2985335469695455,-0.13363973422585984,1625.0415973377703,1424.9830742964791,3042.5233644859813,4283.5526315789475
skip26,mass_shortgap_no_flush,0.22145542949231323,0.13863599144383862,4.538971767338477,0.24778977439863478,2.8384719842641033,4.899929787140237
skip26,last_salt_release_fast,0.18912217860442285,0.030186512895267432,699.8003044718912,167.1429431010603,260.68006151956683,699.8003044718912
skip26,short_salt_shock_pressure,0.09345850896139189,-0.1024977899207999,8.110418233474569,4.919153919815606,14.542284353517681,18.191671131848096
skip26,concentrated_large_event_per_ec0,0.03540519428443914,-0.037822011957370956,14.321585182918364,18.413075153638154,2514.6782849424885,5895.011030275375
skip26,event_mass_x_conc_fast,-0.008997206129835367,-0.0430671333848515,2270.6311208055563,840.2415250266828,75939.99637360805,75939.99637360805
skip26,prev_ec_slope,-0.011613110017887037,0.43777237018693066,-0.002826315789473685,0.13000000000000003,4.4748,4.4748
skip26,event_conc_x_logmass_fast,-0.012180474949435024,-0.04486059922932719,16.007412886808016,14.940279133204887,1350.2840664298778,1350.2840664298778
skip26,concentrated_large_event_pressure,-0.012607449170304819,-0.044499236563781575,8.607272694933936,7.987576664519461,1344.0625149027856,1344.0625149027856
skip26,event_conc_x_logmass,-0.013892194682111465,-0.05752297289823076,22.340144318312458,18.658150698072355,1884.473220505308,1884.473220505308
skip26,last_salt_event_conc_mass,-0.014711616551326755,-0.05798171416519161,3.2446843853820595,3.223267326732673,325.54999999999995,325.54999999999995
skip26,event_to_target_h,-0.02725917931738199,-0.008501965087980953,0.5,18.049999999999997,24.0,25.0
skip26,gap_h,-0.060630399326127675,-0.22245658735982737,0.8333333333333334,24.5,25.86833333333333,26.0
skip26,irr_after_last_salt,-0.06261153496677496,-0.1612924170567871,0.0,766.6666667,2140.000000106986,2666.6666668
skip26,ec0,-0.19833041466093604,0.8042441425849722,0.501,2.187,4.97,4.97
skip26,ec0_x_p48_salt,-0.23399138611113837,0.7212790459509887,0.0,1140.7271999999998,4853.950499999999,4853.950499999999
