name,spec_cols,mask,raw_blend,ec_value_blend,shock_weight,base_features,spec_features,wf_ph_r2,wf_ec_r2,wf_ph_mae,wf_ec_mae,sep21_ec_pred,sep21_ec_err,sep21_type,n_train,n_spec,n_shock,base_ec,spec_ec,type
base_shared_spec_ecspec_salt_raw1,ecspec,salt,1.0,,0.0,44,26,0.7474496154929943,0.9788351707040217,0.3869825808800248,0.12223579049564216,4.866886757714355,0.6368867577143549,huber,229,64,10,0.54504406,4.866886757714355,huber
base_shared_spec_ecspec_salt_val085,ecspec,salt,1.0,0.85,0.0,44,26,0.7474496154929943,0.9831267232283292,0.3869825808800248,0.11171646782197032,4.218610358205819,0.01138964179418167,huber,229,64,10,0.54504406,4.866886757714355,huber
base_shared_spec_ecspec_salt_raw085,ecspec,salt,0.85,,0.0,44,26,0.8077068069537938,0.977768742547141,0.36842648307399456,0.12383180337612426,3.5319461357947373,0.6980538642052632,huber,229,64,10,0.54504406,4.866886757714355,huber
base_shared_spec_ecspec_salt_sw8,ecspec,salt,1.0,,8.0,44,26,0.8387878103153662,0.8800707493697716,0.35865758216474947,0.1649229557321995,1.1599448238018788,3.070055176198122,huber,229,64,10,0.54504406,1.1599448238018788,huber
base_shared_spec_ecspec_chem,ecspec,chem,1.0,,8.0,44,26,0.8821696097422717,0.887219465736683,0.3353976694873348,0.1660410364563816,1.2910627108362847,2.9389372891637158,huber,229,161,10,0.54504406,1.2910627108362847,huber
base_shared_spec_shared_chem,shared,chem,1.0,,8.0,44,44,0.9494931266714745,0.9602639441099875,0.26544670403599546,0.13303107238978717,2.7593759898483836,1.4706240101516168,huber,229,161,10,0.54504406,2.7593759898483836,huber
