weight_mode,strength,blend,wf_active,wf_ph_r2,wf_ec_r2,wf_min_r2,wf_ph_mae,wf_ec_mae,ho_active,ho_ph_r2,ho_ec_r2,ho_ph_mae,ho_ec_mae
none,0.0,1.0,2,0.9284128342851815,0.9603929342148392,0.9284128342851815,0.29592719659027217,0.131182045383087,4,0.8983803676738967,0.6867997439660525,0.3814684396879822,0.3144688573124249
none,0.0,1.2,2,0.9279910596008513,0.9816463213420585,0.9279910596008513,0.2974470353571215,0.11473975714023582,4,0.8941146501966175,0.722733009601832,0.3857879790699199,0.28691324334890644
up_ph,2.0,1.0,2,0.9253918717129981,0.9574546248785026,0.9253918717129981,0.29931223308201366,0.13739309545455497,4,0.8991015125581755,0.6814452666697939,0.3693607522146851,0.3266660517933209
up_ph,2.0,1.2,2,0.9249068405469731,0.9775619028570602,0.9249068405469731,0.30116388464278865,0.12288939716036658,4,0.89544267835899,0.7245371477163245,0.3733128966039777,0.29590467239736773
combined,0.5,1.0,2,0.9229496250091602,0.9597785264233585,0.9229496250091602,0.3154977927982789,0.1368178061743475,4,0.8954118186787797,0.681591481049973,0.3859254132406861,0.3224084284814437
combined,0.5,1.2,2,0.9224800036045138,0.9819685320113632,0.9224800036045138,0.3168582900641508,0.11840665515377119,4,0.8872714507249237,0.6978023576972066,0.3941075385794366,0.31086526909852324
up_ph,1.0,1.0,2,0.921633224169438,0.9607292985846161,0.921633224169438,0.3136848458080201,0.1318427050552596,4,0.9013755930368661,0.6849331332204487,0.3613875862257629,0.3191808802010853
up_ph,1.0,1.2,2,0.9211470196298407,0.9813898227227302,0.9211470196298407,0.3153645514554318,0.11648302423928303,4,0.8965705626808408,0.7267748032374733,0.36617028349992775,0.2904049521708492
big_change,1.0,1.0,2,0.9195968548755884,0.9622230206492485,0.9195968548755884,0.320784814949458,0.12550503282732728,4,0.8932574811904463,0.679660547090564,0.37969169389177876,0.32811043547116114
big_change,1.0,1.2,2,0.9190671351943147,0.9842845960952643,0.9190671351943147,0.32265923210020564,0.10720462968726945,4,0.8882584230640077,0.7062728848869233,0.38488559024577007,0.3111627221319456
combined,1.0,1.0,2,0.9136886674335021,0.9501880087243153,0.9136886674335021,0.32205332789324914,0.14650088775104966,4,0.8958226451340765,0.6775216856890116,0.37377362929750974,0.33380333976171805
combined,1.0,1.2,2,0.9130815990936304,0.9720509355182472,0.9130815990936304,0.32397286540650483,0.12891740162799342,4,0.8898769138975382,0.6764126385546239,0.38004801096842583,0.33027292303395667
