regime,n,mae,rmse,r2,naive_mae,gain_vs_naive,mean_true,max_true
pH Sep 18-21 transition,14,0.2982665317995202,0.35230883662996165,0.869314048264986,0.512142857142857,0.21387632534333684,6.1485714285714295,7.76
pH Sep 21,7,0.2160756213066261,0.2302232827805742,0.7383028116342933,0.38571428571428573,0.16963866440765962,5.2628571428571425,6.19
