model,Target,Warmup,MAE,RMSE,Naive MAE,Gain,R2,N test,Holdout MAE,Holdout R2
Optimized,pH,52,0.2930162849486802,0.3863153286143063,0.8768421052631579,0.5838258203144777,0.9410081209204728,57,0.3919571845750514,0.8907039479732916
Optimized,EC,52,0.131655788868489,0.1804568666658721,0.1960771929824561,0.064421404113967,0.9796748270532696,57,0.2968614819279104,0.7066334815471368
Optimized,EC stress,30,0.1707584941238932,0.2715632426186104,0.2467346835443037,0.0759761894204104,0.947196954662352,79,,
Blend1,pH,52,0.2751006004264568,0.3753581693789309,0.8768421052631579,0.601741504836701,0.9443070666131548,57,0.2897132550622262,0.9392940555994284
Blend1,EC,52,0.1268957472005381,0.2187553413964443,0.1960771929824561,0.0691814457819179,0.9701320952775644,57,0.1818340684461954,0.9367980679454476
Blend1,EC stress,30,0.1743646196027364,0.2982654229128886,0.2467346835443037,0.0723700639415673,0.9363024367853696,79,,
BestOfBoth_ShortMorning,pH,52,0.2905907846657491,0.387079374837087,0.8768421052631579,0.5862513205974087,0.940774544405224,57,0.3638573993738522,0.9231317094686762
BestOfBoth_ShortMorning,EC,52,0.1273625202978634,0.1747451253834546,0.1960771929824561,0.0687146726845927,0.9809411117120136,57,0.178957444801926,0.9347927617526502
BestOfBoth_ShortMorning,EC stress,30,0.1661542057149791,0.2658093878211749,0.2467346835443037,0.0805804778293246,0.9494108212208778,79,,
