Target,Warmup,MAE,RMSE,Naive MAE,Gain,R2,N test,Holdout MAE,Holdout R2
pH,52,0.27892363646461016,0.3778180718384994,0.8768421052631579,0.5979184687985477,0.9435747095964471,57,0.3849698114634112,0.8985289385113846
EC,52,0.1353509285862153,0.247693926169937,0.19607719298245616,0.06072626439624085,0.9617071104209461,57,0.3111487557053127,0.6870593832237936
