regime,n,mae,rmse,r2,naive_mae,gain_vs_naive,mean_true,max_true
EC warmup30 Aug 14-22,12,0.37843088308904616,0.5411182885004826,0.5073664899590553,0.588985,0.21055411691095383,1.668818333333333,2.93
EC warmup30 Sep 21,7,0.25576510294332344,0.27817756696755674,0.9608275857695666,0.8582857142857142,0.6025206113423908,3.8601428571428578,4.97
EC warmup52 Sep 21,7,0.25576510294332344,0.27817756696755674,0.9608275857695666,0.8582857142857142,0.6025206113423908,3.8601428571428578,4.97
