experiment,n_features,mae,rmse,naive_mae,r2,aug22_mae,aug22_rmse,aug22_n,aug22_gain_vs_naive,sep21_pred,sep21_err,runtime_s,err_20250817_124000,err_20250819_173000,err_20250821_130000,err_20250820_120000,err_20250814_162000,err_20250821_150000
current25|base|base,25,0.18674144925586775,0.4727576118417183,0.24989794871794865,0.8384750808851812,0.36295661185933753,0.5603021753831167,11,0.2795724790497533,0.6754707576336924,3.554529242366308,14.068933010101318,1.5129862417172506,0.7735610687505114,0.5176151270634555,0.40139063126955976,0.2513683551498489,0.2090837388756599
aug_washout25|base|base,25,0.18594369858011583,0.47577193906890397,0.24989794871794865,0.836408731601541,0.36894647993888036,0.5701974205215624,11,0.27358261097021047,0.6408089161827281,3.5891910838172723,15.146615028381348,1.5295725484296399,0.6966503576150687,0.4910247506931482,0.6378080628438106,0.19448646403950853,0.17974647085310425
aug_competition25|base|aug_regime,25,0.18731144783658665,0.4736398494877369,0.24989794871794865,0.8378716582122419,0.37307615965132457,0.5758463014393563,11,0.26945293125776626,0.6818756570936745,3.548124342906326,16.94783592224121,1.5305485558226162,0.6614215926128315,0.5755766625255072,0.6438769903070752,0.012768436123223204,0.19748769837498525
current25|base|aug_regime,25,0.18969764384502746,0.47926256176825305,0.24989794871794865,0.8339994673236565,0.38465541159994726,0.5806975970372301,11,0.25787367930914357,0.6586680545819406,3.57133194541806,15.882570266723633,1.5951503868033918,0.7769507435241447,0.4750767625168686,0.3863014503944394,0.25746095949014114,0.17113442340803708
aug_washout25|base|aug_regime,25,0.19026205517216938,0.47897178866769796,0.24989794871794865,0.834200834386124,0.38748066887500277,0.602186408473226,11,0.25504842203408806,0.6877966805827279,3.5422033194172724,14.737796068191528,1.6148168621441068,0.7153305226083448,0.5749104068642439,0.6503635697109494,0.03544716932269587,0.19732440031891008
aug_competition25|base|base,25,0.19024084777432557,0.47332658206646727,0.24989794871794865,0.8380860520450081,0.38808223814283704,0.568172479227653,11,0.2544468527662538,0.664319571763184,3.565680428236816,15.44275689125061,1.4980976178016117,0.7141755916641408,0.5176063333510474,0.6051245426299928,0.19441541494668346,0.21585457023526688
current25|shallow|aug_regime,25,0.19382778991736507,0.4773863014759275,0.24989794871794865,0.8352966708463571,0.3914389515936701,0.5941298897020545,11,0.25109013931542074,0.6892691488285586,3.5407308511714417,15.009014129638672,1.597759846428053,0.8062636819226818,0.466150600363735,0.508948125978535,0.0683069287855198,0.28405673691246736
aug_event25|base|aug_regime,25,0.19539876243731455,0.48433103618408263,0.24989794871794865,0.8304698011205437,0.39883773315991883,0.6091745530913019,11,0.243691357749172,0.6611076281739686,3.5688923718260317,16.153642416000366,1.6273249131098628,0.7203236487383395,0.6123038865227373,0.6360255343766187,0.09149961275792773,0.18799242659255377
aug_delayed_flush25|base|base,25,0.1869582620893928,0.47868958289938107,0.24989794871794865,0.8343961515136015,0.3992723821486967,0.5894423906825232,11,0.24325670876039412,0.634790018062717,3.5952099819372836,14.775291442871094,1.5548942470849874,0.6997440631086103,0.5060253988115726,0.6807465091162616,0.3355081323974396,0.1971903644322638
aug_delayed_flush25|base|aug_regime,25,0.19110459828571025,0.4772306001392592,0.24989794871794865,0.8354040905456404,0.3997639414729132,0.601561389071075,11,0.2427651494361776,0.6966659414192695,3.533334058580731,17.541973114013672,1.6042632509931658,0.6977156199818504,0.5760945264279702,0.6726099474595321,0.07489478241477077,0.20376557726589717
aug_event25|base|base,25,0.1884102223019116,0.4783863910279738,0.24989794871794865,0.8346058650383295,0.40145561530756013,0.588686146597569,11,0.2410734756015307,0.6394415179826357,3.590558482017365,15.547319173812866,1.5307328232154662,0.6980557610181974,0.5051710813861221,0.7279214446090051,0.3482853785303148,0.16886763125632676
aug_competition25|shallow|base,25,0.19379808801166046,0.482089601691902,0.24989794871794865,0.8320353070557565,0.40393493563374355,0.5987530404498149,11,0.23859415527534727,0.6537465754226359,3.5762534245773647,14.24589228630066,1.5626319852047685,0.621895328456392,0.5695772595479429,0.750887370249191,0.0027737424049281145,0.21974552653374713
aug_washout25|shallow|aug_regime,25,0.18746371358157488,0.4789531142938748,0.24989794871794865,0.8342137626433348,0.40618674774383123,0.6196889052834176,11,0.2363423431652596,0.703815530895072,3.5261844691049284,14.428015232086182,1.6800133205552952,0.6442345512205623,0.4259484331426331,0.7439502704298083,0.025319740711101435,0.2296425961812445
aug_competition25|shallow|aug_regime,25,0.1917418651930836,0.4785159748025829,0.24989794871794865,0.834516250034734,0.40790617700972015,0.6053972273142334,11,0.23462291389937068,0.6777899052997828,3.5522100947002175,14.187895774841309,1.5956880411167182,0.7001884084837471,0.5391748174851307,0.7033869800507307,0.09304798704027517,0.20068537916590123
aug_delayed_flush25|shallow|aug_regime,25,0.18906630687207335,0.47584280150931313,0.24989794871794865,0.8363599967398988,0.4102868688303429,0.6201367649253541,11,0.23224222207874795,0.7323891707117666,3.497610829288234,14.295097827911377,1.67952827578829,0.6381180616148836,0.45822403317000915,0.7282543609880209,0.034674502183851263,0.2309468732230665
current25|shallow|base,25,0.19565311829490636,0.4853019215538853,0.24989794871794865,0.8297894426479547,0.41030719066466576,0.5967135265023724,11,0.23222190024442507,0.6076833533922928,3.6223166466077075,13.517546892166138,1.627416915435546,0.7302610040931823,0.3937584646456451,0.5247734345539127,0.3617216729676893,0.20079114534072973
current25|shallow|large_delta,25,0.18997545055556958,0.4845392255111606,0.24989794871794865,0.8303240249426097,0.4125302442507868,0.5967327637245019,11,0.229998846658304,0.5982784565551755,3.631721543444825,13.929091930389404,1.5755896565094005,0.691388372457681,0.49012788408701846,0.6994178404720234,0.1365853894538933,0.2307576866731671
