kind,anchor_pos,target_pos,t0,t1,gap_h,ec0,ec1,ec_delta,ec_ratio,fert_salt_total_t0_t1,irr_total_t0_t1,salt_conc_t0_t1,salt_per_hour,irr_per_hour,ET0_sum_t0_t1,irr_to_et0,soil_temp_mean,temp_rh_balance,g_soil_minus_air,canopy,days_after_planting_t1,last_salt_event_mass,last_core_salt_event_mass,last_salt_event_irr,last_salt_event_conc_mass,event_to_target_h,event_to_t0_h,hrs_since_last_salt_event,irr_after_last_salt,no_flush_after_salt,post_salt_flush_ratio,salt_mass_last_2h,salt_conc_last_2h,salt_mass_per_ec0,last_salt_mass_per_ec0,last_salt_release_fast,last_salt_release_med,short_salt_shock_pressure,mass_shortgap_no_flush,event_conc_x_logmass,event_conc_x_logmass_fast,event_mass_x_conc_fast,concentrated_large_event_pressure,concentrated_large_event_per_ec0,short_high_mass_no_flush_flag,event_high_mass_conc_short_flag,low_ec_high_mass_flag,ec0_x_p48_salt,n24_salt_minus_p24_salt,prev_ec_slope,salt_event_pos,timing_balance
consecutive,102,103,2025-09-21 06:30:00,2025-09-21 07:20:00,0.8333333333333334,0.501,4.23,3.7290000000000005,7.7676950998185115,976.6499999999999,300.0,3.2446843853820595,1171.9799999999998,360.0,0.213032966,958.3655160460002,21.479583401999996,47.52926843098744,-9.623901653980637,0.9840366709999999,115.0,976.6499999999999,976.6499999999999,300.0,3.2446843853820595,0.5,0.3333333333333333,0.5,0.0,1.0,0.0,976.6499999999999,3.2446843853820595,1625.0415973377703,1625.0415973377703,699.8003044718912,861.890599909245,8.110418233474569,4.538971767338477,22.340144318312458,16.007412886808016,2270.6311208055563,8.607272694933936,14.321585182918364,1.0,1.0,1.0,0.0,976.6499999999999,-0.002826315789473685,0.4,0.0
consecutive,25,26,2025-08-10 08:20:00,2025-08-10 15:20:00,7.0,2.18,4.18,1.9999999999999996,1.896860986547085,325.54999999999995,366.6666666,0.8854487762258293,46.50714285714285,52.38095237142857,3.9209264210000008,91.189598666869,36.84030952714286,69.77061766635329,0.9251415336432672,0.554138201,73.0,325.54999999999995,325.54999999999995,100.0,3.223267326732673,6.833333333333333,0.16666666666666666,6.833333333333333,266.6666666,0.3600000000576,0.8166181797580769,0.0,0.0,142.78508771929822,142.78508771929822,1.231593989421331,21.232467138602573,0.006392974614980777,0.06292802255630855,18.658150698072355,0.07058598142670351,3.9697566659021217,0.03773764419388034,0.016551598330649273,0.0,0.0,0.0,0.0,325.54999999999995,-0.0017821782178217773,0.023809523809523836,-0.6428571428571429
consecutive,12,13,2025-07-30 08:30:00,2025-07-31 09:00:00,24.5,0.9185,2.7,1.7815000000000003,2.839442436757873,325.54999999999995,633.3333332,0.5132159748845435,13.287755102040814,25.850340130612242,5.904312532999999,105.47974138907138,30.43982160972789,43.11827516706954,0.39836398041323773,0.3497280330204082,63.0,325.54999999999995,325.54999999999995,100.0,3.223267326732673,21.0,3.5,21.0,399.9999999,0.27272727277685954,1.2249272696371154,0.0,0.0,319.6367206676485,319.6367206676485,7.382841124183239e-05,0.4659080768629377,6.602950570044699e-07,7.554286243487956e-06,18.658150698072355,4.231305860080996e-06,0.0002379687057403815,2.2621986943544687e-06,2.221108192787893e-06,0.0,0.0,0.0,598.0353499999999,0.0,-0.02839805825242718,0.1428571428571429,-0.761904761904762
consecutive,17,18,2025-08-04 09:20:00,2025-08-04 15:30:00,6.166666666666667,0.956,2.64,1.6840000000000002,2.673956262425447,15.0,366.6666666,0.04079782412344476,2.4324324324324325,59.459459448648644,3.3448824279999996,106.43807858861418,35.75158379972973,51.10472604945121,1.9158367334929485,0.44016464799999994,67.0,0.0,0.0,0.0,0.0,6.166666666666667,,6.166666666666667,0.0,1.0,0.0,0.0,0.0,14.204545454545453,0.0,0.0,0.0,0.0,0.12700207008238254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,622.4515999999999,15.0,0.004419130434782609,0.0,-0.5945945945945946
consecutive,32,33,2025-08-17 08:10:00,2025-08-17 12:40:00,4.5,1.145,2.68,1.5350000000000001,2.284518828451883,340.54999999999995,466.6666667,0.7281895936758239,75.67777777777776,103.70370371111112,3.0833966100000003,146.59394472999705,34.08678935333334,61.21226386417646,0.08066045592917889,0.6737640149999999,80.0,325.54999999999995,325.54999999999995,100.0,3.223267326732673,4.166666666666667,0.3333333333333333,4.166666666666667,366.6666667,0.2903225806264308,1.1228499975501456,0.0,0.0,273.5341365461847,261.48594377510034,5.876584082156336,33.350966945279104,0.06339323135894626,0.17850360559433343,18.658150698072355,0.3368029224228725,18.94180146481183,0.1800661915149776,0.14463147912849605,0.0,0.0,0.0,0.0,340.54999999999995,-0.02154046997389034,0.07407407407407396,-0.44444444444444453
consecutive,21,22,2025-08-06 10:00:00,2025-08-06 16:30:00,6.5,1.045,2.25,1.205,2.1004566210045663,0.0,399.9999999,0.0,0.0,61.53846152307692,3.0878844720000003,125.47506141245131,35.63275961051282,51.89372965379827,1.8543679161397568,0.4789493920000001,69.0,0.0,0.0,0.0,0.0,6.5,,6.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,696.0744999999998,0.0,-0.07184873949579834,0.0,-0.9230769230769231
consecutive,34,35,2025-08-18 08:30:00,2025-08-18 14:40:00,6.166666666666667,1.932,2.93,0.9980000000000002,1.503531786074672,325.54999999999995,633.3333334,0.5132159747227307,52.79189189189188,102.70270271351352,3.771135958,163.60400158283463,34.88578694189189,58.238359931562506,1.3857109505486889,0.6894470900000003,81.0,325.54999999999995,325.54999999999995,100.0,3.223267326732673,6.166666666666667,0.0,6.166666666666667,533.3333334,0.2195121951005354,1.6332363601286177,0.0,0.0,160.21161417322833,160.21161417322833,1.1712334908036919,15.294631791802038,0.007861728103299858,0.05820446085007567,18.658150698072355,0.06712655805266357,3.7751986428825925,0.03588811988654921,0.017661476322120676,0.0,0.0,0.0,657.9425999999999,-15.0,-0.03771428571428573,0.0,-0.7297297297297297
consecutive,10,11,2025-07-28 09:00:00,2025-07-29 15:20:00,30.333333333333332,0.5411,1.406,0.8648999999999999,2.4632041955675854,325.54999999999995,899.9999998,0.3613207547971855,10.73241758241758,29.670329663736265,9.503288650000002,93.71789525455947,32.096463674450554,45.272435783284244,0.577582613218072,0.3140935654395604,61.0,325.54999999999995,325.54999999999995,100.0,3.223267326732673,27.333333333333332,3.0,27.333333333333332,666.6666665,0.1836734694252395,2.0415454493951923,0.0,0.0,507.79909530494456,507.79909530494456,7.292116024170029e-07,0.06441472684992218,9.820517335353561e-09,2.753081435182251e-07,18.658150698072355,4.179308852305104e-08,2.3504439323451016e-06,2.2343993418636253e-08,3.485258683299993e-08,0.0,0.0,0.0,184.271605,-340.54999999999995,0.008707964601769914,0.09890109890109888,-0.8241758241758242
consecutive,103,104,2025-09-21 07:20:00,2025-09-21 08:40:00,1.3333333333333333,4.23,4.97,0.7399999999999993,1.172897196261682,0.0,0.0,0.0,0.0,0.0,0.523077631,0.0,23.962815578750003,54.557097294262235,-8.439668115207871,0.984036671,115.0,0.0,0.0,0.0,0.0,1.3333333333333333,,1.3333333333333333,0.0,1.0,0.0,976.6499999999999,3.2446843853820595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4131.2294999999995,0.0,4.4748,0.0,0.0
consecutive,28,29,2025-08-12 08:30:00,2025-08-13 11:20:00,26.833333333333332,1.473,2.13,0.6569999999999998,1.4313854235062373,0.0,666.6666665,0.0,0.0,24.844720490683233,6.657096866,98.661700390074,33.44643053981366,46.80022651453326,0.5295053879453697,0.5974086249130434,76.0,0.0,0.0,0.0,0.0,26.833333333333332,,26.833333333333332,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,981.1652999999999,-340.54999999999995,-0.07467123287671233,0.0,-0.9503105590062112
