name,features,blend,wf_ph_r2,wf_ec_r2,wf_ph_mae,wf_ec_mae,sep21_ec_pred,sep21_ec_err,sep21_ph_pred,sep21_ph_err,wf_huber
safe6_A,40,0.75,0.9339892956662106,0.9639487326349752,0.29908579031205196,0.13425304750497144,2.814034243141375,1.4159657568586255,5.067955878215692,0.3179558782156917,2
safe6_A,40,0.8,0.9343974297563132,0.9726445478800139,0.29779860455063034,0.12864478902337356,3.1280725645999916,1.1019274354000088,5.006603959666529,0.2566039596665286,2
safe6_A,40,0.85,0.934751354816234,0.9797614432171786,0.2965114187892088,0.12243139136745727,3.4765448554082115,0.753455144591789,4.9452520411173655,0.1952520411173655,2
safe6_A,40,0.9,0.9350510708459728,0.9845415336166925,0.29522423302778716,0.11554660426463358,3.863226763836166,0.3667732361638345,4.883900122568203,0.13390012256820327,2
safe6_A,40,0.95,0.9352965778455299,0.9860085637963223,0.29393704726636555,0.11010315754196351,4.292307933988005,0.06230793398800483,4.82254820401904,0.07254820401904016,2
safe6_A,40,1.0,0.935487875814905,0.9829126733334753,0.292649861504944,0.11835328859740127,4.768437400006657,0.5384374000066563,4.761196285469877,0.011196285469877054,2
safe6_B,40,0.75,0.9215650269351116,0.9576012857810053,0.32284273905483024,0.1422323905335269,2.7096998932157854,1.520300106784215,5.249685130403526,0.4996851304035257,2
safe6_B,40,0.8,0.9220695675247632,0.9667130235149699,0.32180766736746,0.1367695025237669,3.0117680690785367,1.2182319309214638,5.205781836494961,0.4557818364949613,2
safe6_B,40,0.85,0.9225442138568325,0.9744768297330855,0.3207725956800899,0.13072391627291663,3.3468996889387164,0.8831003110612841,5.161878542586398,0.4118785425863978,2
safe6_B,40,0.9,0.9229889659313194,0.9802052965181975,0.31973752399271976,0.12403209759842367,3.718713774647431,0.5112862253525696,5.117975248677834,0.36797524867783427,2
safe6_B,40,0.95,0.9234038237482238,0.9830111187421415,0.3187024523053496,0.11662356203617416,4.1312254749432284,0.09877452505677198,5.07407195476927,0.32407195476926987,2
safe6_B,40,1.0,0.9237887873075459,0.9817564305979689,0.31766738061797944,0.12101272552629093,4.5888894242704215,0.35888942427042103,5.030168660860706,0.28016866086070635,2
