Target,Warmup,MAE,RMSE,Naive MAE,Gain,R2,N test,Holdout MAE,Holdout R2
pH,52,0.2930162849486802,0.38631532861430634,0.8768421052631579,0.5838258203144777,0.9410081209204729,57,0.39195718457505146,0.8907039479732916
EC,52,0.13165578886848908,0.18045686666587218,0.19607719298245616,0.06442140411396707,0.9796748270532696,57,0.29686148192791045,0.7066334815471368
