feature_set,features,params,mask,gate,max_rows,scale,ph_blend,ec_blend,wf_active,ho_active,n_train,n_spec,wf_ph_r2,wf_ec_r2,wf_ph_mae,wf_ec_mae,ho_ph_r2,ho_ec_r2,ho_ph_mae,ho_ec_mae,sep21_ec_mae,min_wf,min_ho,ok_hold,score
union44,44,reg500,shock,shock_gap2,4,False,0.5,0.85,0,4,246,12,0.9334524914088068,0.8294806347423107,0.2914536938498969,0.19173415884497763,0.954914428664568,0.9587937319720483,0.275261964898466,0.15538305545557635,0.521026223486599,0.8294806347423107,0.954914428664568,True,2.5618081160041064
union44,44,reg500,shock,shock_gap2,4,False,0.5,0.9,0,4,246,12,0.9334524914088068,0.8294806347423107,0.2914536938498969,0.19173415884497763,0.954914428664568,0.9564980079169294,0.275261964898466,0.1605366796896986,0.5725624658278214,0.8294806347423107,0.954914428664568,True,2.5610350723689876
union44,44,reg500,shock,shock_gap2,4,False,0.2,0.85,0,4,246,12,0.9334524914088068,0.8294806347423107,0.2914536938498969,0.19173415884497763,0.9467234479866884,0.9587937319720483,0.2994684955466191,0.15538305545557635,0.521026223486599,0.8294806347423107,0.9467234479866884,True,2.553617135326227
union44,44,reg500,shock,shock_gap2,4,False,0.2,0.9,0,4,246,12,0.9334524914088068,0.8294806347423107,0.2914536938498969,0.19173415884497763,0.9467234479866884,0.9564980079169294,0.2994684955466191,0.1605366796896986,0.5725624658278214,0.8294806347423107,0.9467234479866884,True,2.5528440916911084
union44,44,reg500,shock,shock_gap2,4,False,0.8,0.85,0,4,246,12,0.9334524914088068,0.8294806347423107,0.2914536938498969,0.19173415884497763,0.9418875611622595,0.9587937319720483,0.29970407658540144,0.15538305545557635,0.521026223486599,0.8294806347423107,0.9418875611622595,True,2.548781248501798
union44,44,reg500,shock,shock_gap2,4,False,0.8,0.9,0,4,246,12,0.9334524914088068,0.8294806347423107,0.2914536938498969,0.19173415884497763,0.9418875611622595,0.9564980079169294,0.29970407658540144,0.1605366796896986,0.5725624658278214,0.8294806347423107,0.9418875611622595,True,2.5480082048666794
union44,44,reg500,shock,shock_gap2,4,False,0.2,0.75,0,4,246,12,0.9334524914088068,0.8294806347423107,0.2914536938498969,0.19173415884497763,0.9467234479866884,0.934859551533489,0.2994684955466191,0.18543073205352817,0.8215029894661174,0.8294806347423107,0.934859551533489,True,2.5372460873833345
union44,44,reg500,shock,shock_gap2,4,False,0.5,0.75,0,4,246,12,0.9334524914088068,0.8294806347423107,0.2914536938498969,0.19173415884497763,0.954914428664568,0.934859551533489,0.275261964898466,0.18543073205352817,0.8215029894661174,0.8294806347423107,0.934859551533489,True,2.5372460873833345
union44,44,reg500,shock,shock_gap2,4,False,0.8,0.75,0,4,246,12,0.9334524914088068,0.8294806347423107,0.2914536938498969,0.19173415884497763,0.9418875611622595,0.934859551533489,0.29970407658540144,0.18543073205352817,0.8215029894661174,0.8294806347423107,0.934859551533489,True,2.5372460873833345
union44,44,reg500,shock,shock_gap2,4,False,0.0,0.85,0,4,246,12,0.9334524914088068,0.8294806347423107,0.2914536938498969,0.19173415884497763,0.9294751007679976,0.9587937319720483,0.32774987118877463,0.15538305545557635,0.521026223486599,0.8294806347423107,0.9294751007679976,True,2.536368788107536
union44,44,reg500,shock,shock_gap2,4,False,0.0,0.9,0,4,246,12,0.9334524914088068,0.8294806347423107,0.2914536938498969,0.19173415884497763,0.9294751007679976,0.9564980079169294,0.32774987118877463,0.1605366796896986,0.5725624658278214,0.8294806347423107,0.9294751007679976,True,2.5355957444724178
union44,44,reg500,shock,shock_gap2,4,False,0.0,0.75,0,4,246,12,0.9334524914088068,0.8294806347423107,0.2914536938498969,0.19173415884497763,0.9294751007679976,0.934859551533489,0.32774987118877463,0.18543073205352817,0.8215029894661174,0.8294806347423107,0.9294751007679976,True,2.531861636617843
union44,44,reg500,shock,shock_gap2,4,False,1.0,0.85,0,4,246,12,0.9334524914088068,0.8294806347423107,0.2914536938498969,0.19173415884497763,0.9214152893939492,0.9587937319720483,0.32586672292994007,0.15538305545557635,0.521026223486599,0.8294806347423107,0.9214152893939492,True,2.528308976733488
union44,44,reg500,shock,shock_gap2,4,False,1.0,0.9,0,4,246,12,0.9334524914088068,0.8294806347423107,0.2914536938498969,0.19173415884497763,0.9214152893939492,0.9564980079169294,0.32586672292994007,0.1605366796896986,0.5725624658278214,0.8294806347423107,0.9214152893939492,True,2.5275359330983695
union44,44,reg500,shock,shock_gap2,4,False,1.0,0.75,0,4,246,12,0.9334524914088068,0.8294806347423107,0.2914536938498969,0.19173415884497763,0.9214152893939492,0.934859551533489,0.32586672292994007,0.18543073205352817,0.8215029894661174,0.8294806347423107,0.9214152893939492,True,2.523801825243795
union44,44,reg500,shock,shock_gap2,4,False,0.0,1.0,0,4,246,12,0.9334524914088068,0.8294806347423107,0.2914536938498969,0.19173415884497763,0.9294751007679976,0.9104533615335579,0.32774987118877463,0.21273583970666632,1.0945540659974986,0.8294806347423107,0.9104533615335579,True,2.5087441312354324
union44,44,reg500,shock,shock_gap2,4,False,0.2,1.0,0,4,246,12,0.9334524914088068,0.8294806347423107,0.2914536938498969,0.19173415884497763,0.9467234479866884,0.9104533615335579,0.2994684955466191,0.21273583970666632,1.0945540659974986,0.8294806347423107,0.9104533615335579,True,2.5087441312354324
union44,44,reg500,shock,shock_gap2,4,False,0.5,1.0,0,4,246,12,0.9334524914088068,0.8294806347423107,0.2914536938498969,0.19173415884497763,0.954914428664568,0.9104533615335579,0.275261964898466,0.21273583970666632,1.0945540659974986,0.8294806347423107,0.9104533615335579,True,2.5087441312354324
union44,44,reg500,shock,shock_gap2,4,False,0.8,1.0,0,4,246,12,0.9334524914088068,0.8294806347423107,0.2914536938498969,0.19173415884497763,0.9418875611622595,0.9104533615335579,0.29970407658540144,0.21273583970666632,1.0945540659974986,0.8294806347423107,0.9104533615335579,True,2.5087441312354324
union44,44,reg500,shock,shock_gap2,4,False,1.0,1.0,0,4,246,12,0.9334524914088068,0.8294806347423107,0.2914536938498969,0.19173415884497763,0.9214152893939492,0.9104533615335579,0.32586672292994007,0.21273583970666632,1.0945540659974986,0.8294806347423107,0.9104533615335579,True,2.5087441312354324
top36,36,reg500,shock,shock_gap2,8,False,0.5,0.75,0,4,256,12,0.928156395793215,0.8259798979158118,0.30273449375673567,0.19095587036192316,0.9540836751476071,0.9444953935566756,0.28265166244677953,0.17538505335809357,0.700968406645739,0.8259798979158118,0.9444953935566756,True,2.541504050830297
top36,36,reg500,shock,shock_gap2,8,False,0.2,0.75,0,4,256,12,0.928156395793215,0.8259798979158118,0.30273449375673567,0.19095587036192316,0.9443640580264395,0.9444953935566756,0.3135423956645729,0.17538505335809357,0.700968406645739,0.8259798979158118,0.9443640580264395,True,2.541372715300061
top36,36,reg500,shock,shock_gap2,8,False,0.8,0.75,0,4,256,12,0.928156395793215,0.8259798979158118,0.30273449375673567,0.19095587036192316,0.9416299003184821,0.9444953935566756,0.30814348927231705,0.17538505335809357,0.700968406645739,0.8259798979158118,0.9416299003184821,True,2.5386385575921033
top36,36,reg500,shock,shock_gap2,8,False,0.2,0.85,0,4,256,12,0.928156395793215,0.8259798979158118,0.30273449375673567,0.19095587036192316,0.9443640580264395,0.9391144165250634,0.3135423956645729,0.1771705416342423,0.7188232894072266,0.8259798979158118,0.9391144165250634,True,2.5358552505572622
top36,36,reg500,shock,shock_gap2,8,False,0.5,0.85,0,4,256,12,0.928156395793215,0.8259798979158118,0.30273449375673567,0.19095587036192316,0.9540836751476071,0.9391144165250634,0.28265166244677953,0.1771705416342423,0.7188232894072266,0.8259798979158118,0.9391144165250634,True,2.5358552505572622
top36,36,reg500,shock,shock_gap2,8,False,0.8,0.85,0,4,256,12,0.928156395793215,0.8259798979158118,0.30273449375673567,0.19095587036192316,0.9416299003184821,0.9391144165250634,0.30814348927231705,0.1771705416342423,0.7188232894072266,0.8259798979158118,0.9391144165250634,True,2.5358552505572622
top36,36,reg500,shock,shock_gap2,8,False,0.0,0.75,0,4,256,12,0.928156395793215,0.8259798979158118,0.30273449375673567,0.19095587036192316,0.9255657621954988,0.9444953935566756,0.3418795959968121,0.17538505335809357,0.700968406645739,0.8259798979158118,0.9255657621954988,True,2.52257441946912
top36,36,reg500,shock,shock_gap2,8,False,0.0,0.85,0,4,256,12,0.928156395793215,0.8259798979158118,0.30273449375673567,0.19095587036192316,0.9255657621954988,0.9391144165250634,0.3418795959968121,0.1771705416342423,0.7188232894072266,0.8259798979158118,0.9255657621954988,True,2.5223065962276974
top36,36,reg500,shock,shock_gap2,8,False,1.0,0.75,0,4,256,12,0.928156395793215,0.8259798979158118,0.30273449375673567,0.19095587036192316,0.9210088326822364,0.9444953935566756,0.335595085652279,0.17538505335809357,0.700968406645739,0.8259798979158118,0.9210088326822364,True,2.5180174899558576
top36,36,reg500,shock,shock_gap2,8,False,1.0,0.85,0,4,256,12,0.928156395793215,0.8259798979158118,0.30273449375673567,0.19095587036192316,0.9210088326822364,0.9391144165250634,0.335595085652279,0.1771705416342423,0.7188232894072266,0.8259798979158118,0.9210088326822364,True,2.517749666714435
top36,36,reg500,shock,shock_gap2,8,False,0.0,0.9,0,4,256,12,0.928156395793215,0.8259798979158118,0.30273449375673567,0.19095587036192316,0.9255657621954988,0.9147494504304801,0.3418795959968121,0.204258558499055,0.9897034580553533,0.8259798979158118,0.9147494504304801,True,2.5074270819329567
top36,36,reg500,shock,shock_gap2,8,False,0.2,0.9,0,4,256,12,0.928156395793215,0.8259798979158118,0.30273449375673567,0.19095587036192316,0.9443640580264395,0.9147494504304801,0.3135423956645729,0.204258558499055,0.9897034580553533,0.8259798979158118,0.9147494504304801,True,2.5074270819329567
top36,36,reg500,shock,shock_gap2,8,False,0.5,0.9,0,4,256,12,0.928156395793215,0.8259798979158118,0.30273449375673567,0.19095587036192316,0.9540836751476071,0.9147494504304801,0.28265166244677953,0.204258558499055,0.9897034580553533,0.8259798979158118,0.9147494504304801,True,2.5074270819329567
top36,36,reg500,shock,shock_gap2,8,False,0.8,0.9,0,4,256,12,0.928156395793215,0.8259798979158118,0.30273449375673567,0.19095587036192316,0.9416299003184821,0.9147494504304801,0.30814348927231705,0.204258558499055,0.9897034580553533,0.8259798979158118,0.9147494504304801,True,2.5074270819329567
top36,36,reg500,shock,shock_gap2,8,False,1.0,0.9,0,4,256,12,0.928156395793215,0.8259798979158118,0.30273449375673567,0.19095587036192316,0.9210088326822364,0.9147494504304801,0.335595085652279,0.204258558499055,0.9897034580553533,0.8259798979158118,0.9147494504304801,True,2.5074270819329567
union44,44,reg500,shock,shock_gap2,8,False,0.5,0.85,0,4,256,12,0.9273841381061635,0.8259552664970335,0.29642882501913437,0.19300214561284723,0.954680893050911,0.960959032331429,0.2795975194656318,0.15048034380401604,0.48857998051761686,0.8259552664970335,0.954680893050911,True,2.555069052632448
union44,44,reg500,shock,shock_gap2,8,False,0.5,0.9,0,4,256,12,0.9273841381061635,0.8259552664970335,0.29642882501913437,0.19300214561284723,0.954680893050911,0.957897734773301,0.2795975194656318,0.15959469227312387,0.5797234652086952,0.8259552664970335,0.954680893050911,True,2.553701900362082
union44,44,reg500,shock,shock_gap2,8,False,0.2,0.85,0,4,256,12,0.9273841381061635,0.8259552664970335,0.29642882501913437,0.19300214561284723,0.9472013520086624,0.960959032331429,0.3020459962661963,0.15048034380401604,0.48857998051761686,0.8259552664970335,0.9472013520086624,True,2.5475895115902
union44,44,reg500,shock,shock_gap2,8,False,0.2,0.9,0,4,256,12,0.9273841381061635,0.8259552664970335,0.29642882501913437,0.19300214561284723,0.9472013520086624,0.957897734773301,0.3020459962661963,0.15959469227312387,0.5797234652086952,0.8259552664970335,0.9472013520086624,True,2.5462223593198337
union44,44,reg500,shock,shock_gap2,8,False,0.8,0.85,0,4,256,12,0.9273841381061635,0.8259552664970335,0.29642882501913437,0.19300214561284723,0.9415683832398051,0.960959032331429,0.3035463949172243,0.15048034380401604,0.48857998051761686,0.8259552664970335,0.9415683832398051,True,2.5419565428213424
union44,44,reg500,shock,shock_gap2,8,False,0.8,0.9,0,4,256,12,0.9273841381061635,0.8259552664970335,0.29642882501913437,0.19300214561284723,0.9415683832398051,0.957897734773301,0.3035463949172243,0.15959469227312387,0.5797234652086952,0.8259552664970335,0.9415683832398051,True,2.540589390550976
union44,44,reg500,shock,shock_gap2,8,False,0.2,0.75,0,4,256,12,0.9273841381061635,0.8259552664970335,0.29642882501913437,0.19300214561284723,0.9472013520086624,0.9390914907585286,0.3020459962661963,0.18115230198696392,0.7952995623470956,0.8259552664970335,0.9390914907585286,True,2.5348788566126244
union44,44,reg500,shock,shock_gap2,8,False,0.5,0.75,0,4,256,12,0.9273841381061635,0.8259552664970335,0.29642882501913437,0.19300214561284723,0.954680893050911,0.9390914907585286,0.2795975194656318,0.18115230198696392,0.7952995623470956,0.8259552664970335,0.9390914907585286,True,2.5348788566126244
union44,44,reg500,shock,shock_gap2,8,False,0.8,0.75,0,4,256,12,0.9273841381061635,0.8259552664970335,0.29642882501913437,0.19300214561284723,0.9415683832398051,0.9390914907585286,0.3035463949172243,0.18115230198696392,0.7952995623470956,0.8259552664970335,0.9390914907585286,True,2.5348788566126244
union44,44,reg500,shock,shock_gap2,8,False,0.0,0.85,0,4,256,12,0.9273841381061635,0.8259552664970335,0.29642882501913437,0.19300214561284723,0.9307749630619664,0.960959032331429,0.3300933735445143,0.15048034380401604,0.48857998051761686,0.8259552664970335,0.9307749630619664,True,2.5311631226435036
union44,44,reg500,shock,shock_gap2,8,False,0.0,0.9,0,4,256,12,0.9273841381061635,0.8259552664970335,0.29642882501913437,0.19300214561284723,0.9307749630619664,0.957897734773301,0.3300933735445143,0.15959469227312387,0.5797234652086952,0.8259552664970335,0.9307749630619664,True,2.5297959703731374
union44,44,reg500,shock,shock_gap2,8,False,0.0,0.75,0,4,256,12,0.9273841381061635,0.8259552664970335,0.29642882501913437,0.19300214561284723,0.9307749630619664,0.9390914907585286,0.3300933735445143,0.18115230198696392,0.7952995623470956,0.8259552664970335,0.9307749630619664,True,2.5265623289160617
union44,44,reg500,shock,shock_gap2,8,False,1.0,0.85,0,4,256,12,0.9273841381061635,0.8259552664970335,0.29642882501913437,0.19300214561284723,0.9213866817805375,0.960959032331429,0.3293802171048677,0.15048034380401604,0.48857998051761686,0.8259552664970335,0.9213866817805375,True,2.521774841362075
union44,44,reg500,shock,shock_gap2,8,False,1.0,0.9,0,4,256,12,0.9273841381061635,0.8259552664970335,0.29642882501913437,0.19300214561284723,0.9213866817805375,0.957897734773301,0.3293802171048677,0.15959469227312387,0.5797234652086952,0.8259552664970335,0.9213866817805375,True,2.5204076890917086
union44,44,reg500,shock,shock_gap2,8,False,1.0,0.75,0,4,256,12,0.9273841381061635,0.8259552664970335,0.29642882501913437,0.19300214561284723,0.9213866817805375,0.9390914907585286,0.3293802171048677,0.18115230198696392,0.7952995623470956,0.8259552664970335,0.9213866817805375,True,2.517174047634633
union44,44,reg500,shock,shock_gap2,8,False,0.0,1.0,0,4,256,12,0.9273841381061635,0.8259552664970335,0.29642882501913437,0.19300214561284723,0.9307749630619664,0.9113183268459174,0.3300933735445143,0.2110777523520042,1.0945540659974986,0.8259552664970335,0.9113183268459174,True,2.502616875145257
union44,44,reg500,shock,shock_gap2,8,False,0.2,1.0,0,4,256,12,0.9273841381061635,0.8259552664970335,0.29642882501913437,0.19300214561284723,0.9472013520086624,0.9113183268459174,0.3020459962661963,0.2110777523520042,1.0945540659974986,0.8259552664970335,0.9113183268459174,True,2.502616875145257
union44,44,reg500,shock,shock_gap2,8,False,0.5,1.0,0,4,256,12,0.9273841381061635,0.8259552664970335,0.29642882501913437,0.19300214561284723,0.954680893050911,0.9113183268459174,0.2795975194656318,0.2110777523520042,1.0945540659974986,0.8259552664970335,0.9113183268459174,True,2.502616875145257
union44,44,reg500,shock,shock_gap2,8,False,0.8,1.0,0,4,256,12,0.9273841381061635,0.8259552664970335,0.29642882501913437,0.19300214561284723,0.9415683832398051,0.9113183268459174,0.3035463949172243,0.2110777523520042,1.0945540659974986,0.8259552664970335,0.9113183268459174,True,2.502616875145257
union44,44,reg500,shock,shock_gap2,8,False,1.0,1.0,0,4,256,12,0.9273841381061635,0.8259552664970335,0.29642882501913437,0.19300214561284723,0.9213866817805375,0.9113183268459174,0.3293802171048677,0.2110777523520042,1.0945540659974986,0.8259552664970335,0.9113183268459174,True,2.502616875145257
all52,52,balanced350,shock,shock_gap2,8,False,0.5,0.85,0,4,256,12,0.933984065861343,0.8228438972131279,0.2913762270783384,0.19689879112220632,0.9480056607342986,0.9456629499758765,0.29771510529136347,0.16920747259693722,0.6426285870727776,0.8228438972131279,0.9456629499758765,True,2.536434804844261
all52,52,balanced350,shock,shock_gap2,8,False,0.2,0.85,0,4,256,12,0.933984065861343,0.8228438972131279,0.2913762270783384,0.19689879112220632,0.9439782840602278,0.9456629499758765,0.31065534355037194,0.16920747259693722,0.6426285870727776,0.8228438972131279,0.9439782840602278,True,2.534750138928612
all52,52,balanced350,shock,shock_gap2,8,False,0.2,0.75,0,4,256,12,0.933984065861343,0.8228438972131279,0.2913762270783384,0.19689879112220632,0.9439782840602278,0.9428194698792383,0.31065534355037194,0.1763869368309123,0.7144232294125286,0.8228438972131279,0.9428194698792383,True,2.532514405112526
all52,52,balanced350,shock,shock_gap2,8,False,0.5,0.75,0,4,256,12,0.933984065861343,0.8228438972131279,0.2913762270783384,0.19689879112220632,0.9480056607342986,0.9428194698792383,0.29771510529136347,0.1763869368309123,0.7144232294125286,0.8228438972131279,0.9428194698792383,True,2.532514405112526
all52,52,balanced350,shock,shock_gap2,8,False,0.8,0.85,0,4,256,12,0.933984065861343,0.8228438972131279,0.2913762270783384,0.19689879112220632,0.9282325049247347,0.9456629499758765,0.3283250661206565,0.16920747259693722,0.6426285870727776,0.8228438972131279,0.9282325049247347,True,2.519004359793119
all52,52,balanced350,shock,shock_gap2,8,False,0.8,0.75,0,4,256,12,0.933984065861343,0.8228438972131279,0.2913762270783384,0.19689879112220632,0.9282325049247347,0.9428194698792383,0.3283250661206565,0.1763869368309123,0.7144232294125286,0.8228438972131279,0.9282325049247347,True,2.5179274401580227
