warmup,first_eval,n,mae,rmse,naive_mae,r2,aug_n,aug_mae,aug_rmse,sep21_pred,sep21_err,runtime_s
30,2025-08-14 16:20:00,78,0.1821590037879184,0.47035425176632084,0.24989794871794865,0.8401131963953181,21,0.23868045933129678,0.42555421571661317,0.6798783732118225,3.5501216267881777,12.183037996292114
35,2025-08-19 12:30:00,73,0.18086508864456236,0.4694903868899699,0.201452602739726,0.8310221872687273,16,0.18939755408247044,0.28266821933413344,0.5815958402867089,3.6484041597132917,11.709068536758423
40,2025-08-21 15:00:00,68,0.15375826511695145,0.4560922639742377,0.18403000000000003,0.8490292142585119,11,0.11592695145042194,0.1670681100917114,0.6217819028948134,3.608218097105187,11.56886911392212
45,2025-08-27 11:40:00,63,0.1695726557343491,0.4805498573195866,0.1875301587301587,0.8435993814783138,6,0.10458236973462699,0.16118464017412445,0.6021785836767629,3.6278214163232376,11.586352825164795
50,2025-08-31 12:30:00,58,0.1764830644326585,0.49490315343747415,0.1950758620689655,0.8450710397686423,1,0.0019576692855984013,0.0019576692855984013,0.6444316488868052,3.5855683511131953,10.908888816833496
55,2025-09-03 09:00:00,53,0.19080202401526156,0.5290649501899711,0.20553584905660377,0.8354921797928938,0,,,0.5916768337538582,3.6383231662461424,9.996545791625977
