Target,Warmup,MAE,RMSE,Naive MAE,Gain,R2,N test,Holdout MAE,Holdout R2
pH,52,0.2911382706225289,0.3878062953364159,0.8768421052631579,0.5857038346406289,0.9405518891786278,57,0.36366209658673376,0.9232556175277923
EC,52,0.12905330097136847,0.17680035445192605,0.19607719298245616,0.06702389201108769,0.9804901608960608,57,0.17711995462672603,0.9367409273829549
EC stress,30,0.16737413607434348,0.26678817965605817,0.24673468354430375,0.07936054746996027,0.9490375654634463,79,,
