target,evaluation,global_mae,balanced_mae,balanced_minus_global
EC,warmup52,0.12738353642744188,0.22614685751160865,0.09876332108416677
EC,warmup30,0.1661693692515104,0.29115777223342426,0.12498840298191385
EC,holdout,0.17895545962802276,0.42330062372006383,0.24434516409204107
pH,warmup52,0.2905894505347997,0.3011840887741961,0.010594638239396437
pH,holdout,0.3638445863400648,0.4369433421261867,0.0730987557861219
