salt_blend,ph_reb_blend,salt_active,rebound_active,wf_ph_r2,wf_ec_r2,wf_ph_mae,wf_ec_mae,sep2_morning_pred,sep2_morning_err,sep2_afternoon_pred,sep2_afternoon_err
1.0,0.5,2,6,0.945482220192993,0.9602639440913019,0.278104196055725,0.13303107349232982,9.261104946136475,1.2611049461364754,9.940819961290236,0.3991800387097637
1.2,0.5,2,6,0.9450471240062377,0.9816823547966882,0.2796773624986041,0.11601186285499263,9.261104946136475,1.2611049461364754,9.940819961290236,0.3991800387097637
1.0,0.8,2,6,0.9353174410144445,0.9602639440913019,0.29357151642896956,0.13303107349232982,9.261104946136475,1.2611049461364754,10.204268451469224,0.13573154853077618
1.2,0.8,2,6,0.9348823448276892,0.9816823547966882,0.29514468287184864,0.11601186285499263,9.261104946136475,1.2611049461364754,10.204268451469224,0.13573154853077618
1.0,1.0,2,6,0.9253083186499875,0.9602639440913019,0.3052830906516665,0.13303107349232982,9.261104946136475,1.2611049461364754,10.379900778255216,0.039900778255216096
1.2,1.0,2,6,0.9248732224632322,0.9816823547966882,0.3068562570945456,0.11601186285499263,9.261104946136475,1.2611049461364754,10.379900778255216,0.039900778255216096
