regime,n,mae,rmse,r2,naive_mae,gain_vs_naive,mean_true,max_true
EC warmup30 Aug 14-22,12,0.3782300183647822,0.5410988290831064,0.5074019209874245,0.588985,0.21075498163521778,1.668818333333333,2.93
EC warmup30 Sep 21,7,0.29635152919294266,0.3310397145923009,0.944525125620363,0.8582857142857142,0.5619341850927715,3.8601428571428578,4.97
EC warmup52 Sep 21,7,0.29635152919294266,0.3310397145923009,0.944525125620363,0.8582857142857142,0.5619341850927715,3.8601428571428578,4.97
