timestamp,ec_true,ec_pred,ec_naive,gap_hours
2025-08-14 12:30:00,2.39,2.39,2.39,0.0
2025-08-14 16:20:00,2.52,2.6893624043309057,2.39,3.8333333333333335
2025-08-17 08:10:00,1.145,1.1869523866941147,2.52,63.833333333333336
2025-08-17 12:40:00,2.68,1.1428629231391954,1.145,4.5
2025-08-18 08:30:00,1.932,2.044706295632293,2.68,19.833333333333332
2025-08-18 14:40:00,2.93,2.9621417942738755,1.932,6.166666666666667
2025-08-19 12:30:00,1.752,1.5017621874147744,2.93,21.833333333333332
2025-08-19 17:30:00,1.354,2.129017612419018,1.752,5.0
2025-08-20 12:00:00,0.9119,1.3919463492122648,1.354,18.5
2025-08-20 12:20:00,0.8451,0.8935891878657284,0.9119,0.3333333333333333
2025-08-21 13:00:00,0.738,1.2393770606807215,0.8451,24.666666666666668
2025-08-21 15:00:00,0.82782,0.6578320807063763,0.738,2.0
2025-08-25 09:00:00,0.327,0.619625360022778,0.82782,90.0
2025-08-25 16:00:00,0.327,0.3733135057594266,0.327,7.0
2025-08-26 12:00:00,0.266,0.24115900213139768,0.327,20.0
2025-08-26 16:30:00,0.314,0.26412923456752374,0.266,4.5
2025-08-27 11:40:00,0.181,0.25497498997935747,0.314,19.166666666666668
2025-08-27 14:10:00,0.294,0.19620134228847608,0.181,2.5
2025-08-28 13:30:00,0.358,0.2554105161676243,0.294,23.333333333333332
2025-08-28 15:00:00,0.174,0.5451732878582056,0.358,1.5
2025-08-31 08:20:00,0.18,0.16792028658274222,0.174,65.33333333333333
2025-08-31 12:30:00,0.167,0.1817399630649283,0.18,4.166666666666667
2025-09-01 08:30:00,0.292,0.1908975622326902,0.167,20.0
2025-09-01 12:30:00,0.306,0.3033174061150902,0.292,4.0
2025-09-02 08:30:00,0.168,0.3184407409951702,0.306,20.0
2025-09-02 15:00:00,0.299,0.21050158573377173,0.168,6.5
2025-09-03 09:00:00,0.301,0.23254611938803763,0.299,18.0
2025-09-03 15:20:00,0.308,0.34913264326576915,0.301,6.333333333333333
2025-09-07 08:50:00,0.334,0.23844488624628027,0.308,89.5
2025-09-07 15:30:00,0.1548,0.3848508703192002,0.334,6.666666666666667
2025-09-08 09:30:00,0.326,0.2041694578621213,0.1548,18.0
2025-09-08 13:50:00,0.156,0.26429169336323094,0.326,4.333333333333333
2025-09-09 08:30:00,0.348,0.20044038424748195,0.156,18.666666666666668
2025-09-09 14:10:00,0.3,0.2627311882661369,0.348,5.666666666666667
2025-09-09 15:40:00,0.347,0.316002255980188,0.3,1.5
2025-09-09 18:40:00,0.161,0.2175317028874023,0.347,3.0
2025-09-10 07:50:00,0.342,0.2804094403070247,0.161,13.166666666666666
2025-09-10 11:30:00,0.292,0.30084539473986,0.342,3.6666666666666665
2025-09-10 13:50:00,0.303,0.3006665237112702,0.292,2.3333333333333335
2025-09-10 15:50:00,0.306,0.20946669363373038,0.303,2.0
2025-09-11 07:50:00,0.336,0.26117947185918094,0.306,16.0
2025-09-11 11:20:00,0.17,0.30738342470875213,0.336,3.5
2025-09-11 13:30:00,0.348,0.20767340611426194,0.17,2.1666666666666665
2025-09-11 14:10:00,0.325,0.21820270603130235,0.348,0.6666666666666666
2025-09-11 17:20:00,0.288,0.2046914150128107,0.325,3.1666666666666665
2025-09-11 18:10:00,0.349,0.3227200548925843,0.288,0.8333333333333334
2025-09-14 08:30:00,0.177,0.25926199546261636,0.349,62.333333333333336
2025-09-14 11:30:00,0.286,0.20964693903022857,0.177,3.0
2025-09-14 12:20:00,0.316,0.23119300024461736,0.286,0.8333333333333334
2025-09-14 15:10:00,0.156,0.24721992573482954,0.316,2.8333333333333335
2025-09-14 18:00:00,0.307,0.286995855921206,0.156,2.8333333333333335
2025-09-15 08:10:00,0.198,0.2534342217720889,0.307,14.166666666666666
2025-09-15 12:00:00,0.321,0.26483904138803355,0.198,3.8333333333333335
2025-09-15 14:10:00,0.332,0.2015945556653176,0.321,2.1666666666666665
2025-09-15 15:30:00,0.334,0.30550874848493786,0.332,1.3333333333333333
2025-09-15 17:40:00,0.383,0.2327210433626393,0.334,2.1666666666666665
2025-09-16 06:40:00,0.358,0.3824591422409581,0.383,13.0
2025-09-16 08:50:00,0.183,0.4180485943748761,0.358,2.1666666666666665
2025-09-16 10:00:00,0.414,0.3340354363485967,0.183,1.1666666666666667
2025-09-16 12:10:00,0.302,0.37033263406786315,0.414,2.1666666666666665
2025-09-16 13:50:00,0.309,0.33762058314892024,0.302,1.6666666666666667
2025-09-17 08:50:00,0.215,0.21317708365801666,0.309,19.0
2025-09-17 11:50:00,0.128,0.321389564711671,0.215,3.0
2025-09-17 13:30:00,0.333,0.25753019991200404,0.128,1.6666666666666667
2025-09-17 15:20:00,0.221,0.278688980455937,0.333,1.8333333333333333
2025-09-18 07:10:00,0.47,0.2706687085787125,0.221,15.833333333333334
