feature_set,xgb_set,warmup,max_rows,train_mode,pred_mode,shock_weight,blend,feature_count,n_spec_final,n_shock_final,wf_active,wf_ph_r2,wf_ec_r2,wf_min_r2,wf_ph_mae,wf_ec_mae,ho_active,ho_ph_r2,ho_ec_r2,ho_ph_mae,ho_ec_mae
current_union,current,50,4,chem_event,chem_event,0.0,0.0,44,178,12,36,0.8994790393345444,0.8319600810030297,0.8319600810030297,0.34447463101123355,0.18193929826200841,34,0.9294751002116305,0.44055064995499393,0.3277498740050942,0.41422133772368375
current_union,current,50,4,chem_event,chem_event,3.0,0.0,44,178,12,36,0.8994790393345444,0.8319600810030297,0.8319600810030297,0.34447463101123355,0.18193929826200841,34,0.9294751002116305,0.44055064995499393,0.3277498740050942,0.41422133772368375
current_union,current,50,4,concentrated_chem,concentrated_chem,0.0,0.0,44,178,12,36,0.8994790393345444,0.8319600810030297,0.8319600810030297,0.34447463101123355,0.18193929826200841,34,0.9294751002116305,0.44055064995499393,0.3277498740050942,0.41422133772368375
current_union,current,50,4,concentrated_chem,concentrated_chem,3.0,0.0,44,178,12,36,0.8994790393345444,0.8319600810030297,0.8319600810030297,0.34447463101123355,0.18193929826200841,34,0.9294751002116305,0.44055064995499393,0.3277498740050942,0.41422133772368375
current_union,current,50,4,shock_or_acid,shock_or_acid,0.0,0.0,44,178,12,36,0.8994790393345444,0.8319600810030297,0.8319600810030297,0.34447463101123355,0.18193929826200841,34,0.9294751002116305,0.44055064995499393,0.3277498740050942,0.41422133772368375
current_union,current,50,4,shock_or_acid,shock_or_acid,3.0,0.0,44,178,12,36,0.8994790393345444,0.8319600810030297,0.8319600810030297,0.34447463101123355,0.18193929826200841,34,0.9294751002116305,0.44055064995499393,0.3277498740050942,0.41422133772368375
current_union,current,45,4,chem_event,chem_event,0.0,0.0,44,178,12,39,0.8394001074117458,0.8318607184192923,0.8318607184192923,0.4096129817108157,0.17930789024439608,34,0.9294751002116305,0.44055064995499393,0.3277498740050942,0.41422133772368375
current_union,current,45,4,chem_event,chem_event,3.0,0.0,44,178,12,39,0.8394001074117458,0.8318607184192923,0.8318607184192923,0.4096129817108157,0.17930789024439608,34,0.9294751002116305,0.44055064995499393,0.3277498740050942,0.41422133772368375
current_union,current,45,4,concentrated_chem,concentrated_chem,0.0,0.0,44,178,12,39,0.8394001074117458,0.8318607184192923,0.8318607184192923,0.4096129817108157,0.17930789024439608,34,0.9294751002116305,0.44055064995499393,0.3277498740050942,0.41422133772368375
current_union,current,45,4,concentrated_chem,concentrated_chem,3.0,0.0,44,178,12,39,0.8394001074117458,0.8318607184192923,0.8318607184192923,0.4096129817108157,0.17930789024439608,34,0.9294751002116305,0.44055064995499393,0.3277498740050942,0.41422133772368375
current_union,current,45,4,shock_or_acid,shock_or_acid,0.0,0.0,44,178,12,39,0.8394001074117458,0.8318607184192923,0.8318607184192923,0.4096129817108157,0.17930789024439608,34,0.9294751002116305,0.44055064995499393,0.3277498740050942,0.41422133772368375
current_union,current,45,4,shock_or_acid,shock_or_acid,3.0,0.0,44,178,12,39,0.8394001074117458,0.8318607184192923,0.8318607184192923,0.4096129817108157,0.17930789024439608,34,0.9294751002116305,0.44055064995499393,0.3277498740050942,0.41422133772368375
current_union,current,55,4,chem_event,chem_event,0.0,0.0,44,178,12,33,0.9334524914088068,0.8294806347423107,0.8294806347423107,0.2914536938498969,0.19173415884497763,34,0.9294751002116305,0.44055064995499393,0.3277498740050942,0.41422133772368375
current_union,current,55,4,chem_event,chem_event,3.0,0.0,44,178,12,33,0.9334524914088068,0.8294806347423107,0.8294806347423107,0.2914536938498969,0.19173415884497763,34,0.9294751002116305,0.44055064995499393,0.3277498740050942,0.41422133772368375
current_union,current,55,4,concentrated_chem,concentrated_chem,0.0,0.0,44,178,12,33,0.9334524914088068,0.8294806347423107,0.8294806347423107,0.2914536938498969,0.19173415884497763,34,0.9294751002116305,0.44055064995499393,0.3277498740050942,0.41422133772368375
current_union,current,50,4,chem_event,chem_event,3.0,0.25,44,178,12,36,0.8910003142057497,0.8026939580081436,0.8026939580081436,0.38287617376239796,0.24301846497092802,34,0.9300319192569165,0.49830747251678076,0.31575108537887725,0.4075541353417676
current_union,current,50,4,concentrated_chem,concentrated_chem,3.0,0.25,44,178,12,36,0.8910003142057497,0.8026939580081436,0.8026939580081436,0.38287617376239796,0.24301846497092802,34,0.9300319192569165,0.49830747251678076,0.31575108537887725,0.4075541353417676
current_union,current,50,4,shock_or_acid,shock_or_acid,3.0,0.25,44,178,12,36,0.8910003142057497,0.8026939580081436,0.8026939580081436,0.38287617376239796,0.24301846497092802,34,0.9300319192569165,0.49830747251678076,0.31575108537887725,0.4075541353417676
current_union,current,45,4,chem_event,chem_event,3.0,0.25,44,178,12,39,0.8358735137972548,0.8026386595703466,0.8026386595703466,0.4387082319065184,0.23727197949333528,34,0.9300319192569165,0.49830747251678076,0.31575108537887725,0.4075541353417676
current_union,current,45,4,concentrated_chem,concentrated_chem,3.0,0.25,44,178,12,39,0.8358735137972548,0.8026386595703466,0.8026386595703466,0.4387082319065184,0.23727197949333528,34,0.9300319192569165,0.49830747251678076,0.31575108537887725,0.4075541353417676
current_union,current,45,4,shock_or_acid,shock_or_acid,3.0,0.25,44,178,12,39,0.8358735137972548,0.8026386595703466,0.8026386595703466,0.4387082319065184,0.23727197949333528,34,0.9300319192569165,0.49830747251678076,0.31575108537887725,0.4075541353417676
current_union,current,55,4,chem_event,chem_event,3.0,0.25,44,178,12,33,0.9253146913353371,0.7997157843369687,0.7997157843369687,0.3317971445527524,0.25803950510262247,34,0.9300319192569165,0.49830747251678076,0.31575108537887725,0.4075541353417676
current_union,current,45,4,chem_event,chem_event,0.0,0.25,44,178,12,39,0.8363491966734709,0.790227424813284,0.790227424813284,0.43796804281197715,0.24132892906598896,34,0.9278363349786167,0.4939893580836495,0.32049980901116343,0.4095887005706619
current_union,current,45,4,concentrated_chem,concentrated_chem,0.0,0.25,44,178,12,39,0.8363491966734709,0.790227424813284,0.790227424813284,0.43796804281197715,0.24132892906598896,34,0.9278363349786167,0.4939893580836495,0.32049980901116343,0.4095887005706619
current_union,current,45,4,shock_or_acid,shock_or_acid,0.0,0.25,44,178,12,39,0.8363491966734709,0.790227424813284,0.790227424813284,0.43796804281197715,0.24132892906598896,34,0.9278363349786167,0.4939893580836495,0.32049980901116343,0.4095887005706619
current_union,current,50,4,chem_event,chem_event,0.0,0.25,44,178,12,36,0.8914952357076174,0.7901270363779764,0.7901270363779764,0.38207325677848886,0.24741922382939982,34,0.9278363349786167,0.4939893580836495,0.32049980901116343,0.4095887005706619
current_union,current,50,4,concentrated_chem,concentrated_chem,0.0,0.25,44,178,12,36,0.8914952357076174,0.7901270363779764,0.7901270363779764,0.38207325677848886,0.24741922382939982,34,0.9278363349786167,0.4939893580836495,0.32049980901116343,0.4095887005706619
current_union,current,50,4,shock_or_acid,shock_or_acid,0.0,0.25,44,178,12,36,0.8914952357076174,0.7901270363779764,0.7901270363779764,0.38207325677848886,0.24741922382939982,34,0.9278363349786167,0.4939893580836495,0.32049980901116343,0.4095887005706619
current_union,current,55,4,chem_event,chem_event,0.0,0.25,44,178,12,33,0.9258457352272296,0.7869279528665697,0.7869279528665697,0.3309198834036665,0.2628477416331749,34,0.9278363349786167,0.4939893580836495,0.32049980901116343,0.4095887005706619
current_union,current,55,4,concentrated_chem,concentrated_chem,0.0,0.25,44,178,12,33,0.9258457352272296,0.7869279528665697,0.7869279528665697,0.3309198834036665,0.2628477416331749,34,0.9278363349786167,0.4939893580836495,0.32049980901116343,0.4095887005706619
current_union,current,40,4,chem_event,chem_event,0.0,0.25,44,178,12,42,0.7722858078715604,0.7884592861311338,0.7722858078715604,0.4975444022498746,0.23589374374867883,34,0.9278363349786167,0.4939893580836495,0.32049980901116343,0.4095887005706619
current_union,current,40,4,concentrated_chem,concentrated_chem,0.0,0.25,44,178,12,42,0.7722858078715604,0.7884592861311338,0.7722858078715604,0.4975444022498746,0.23589374374867883,34,0.9278363349786167,0.4939893580836495,0.32049980901116343,0.4095887005706619
