Target,Warmup,MAE,RMSE,Naive MAE,Gain,Gain %,R2,N test,Holdout MAE,Holdout R2
pH,52,0.3346129778051954,0.44990727776692285,0.8768421052631579,0.5422291274579625,61.83885607263678,0.9199881365341418,57,0.2792591562187669,0.936613064673531
EC,52,0.13141140399904386,0.17323076434301715,0.19607719298245616,0.0646657889834123,32.979760674765586,0.981270013327899,57,0.1139593964654,0.9696276305934627
EC stress,30,0.17755249924113176,0.28760433075484854,0.24673468354430375,0.069182184303172,28.03909985794503,0.9407746219244228,79,,
