variant,family,n_features,ph_mae,ph_rmse,ph_r2,ph_naive_mae,ec_mae,ec_rmse,ec_r2,ec_naive_mae,w52_ec_low_mae,w52_ec_high_mae,w52_ec_shock_mae,w52_ph_mid_mae,w52_ph_acidic_mae,w52_ph_alkaline_mae,w52_ph_jump_mae,w52_ec_balanced_mae,w52_ph_balanced_mae,w30_ec_mae,w30_ec_rmse,w30_ec_r2,w30_ec_naive_mae,w30_ec_low_mae,w30_ec_high_mae,w30_ec_shock_mae,w30_ec_balanced_mae,ho_ec_mae,ho_ec_rmse,ho_ec_r2,ho_ec_naive_mae,ho_ec_low_mae,ho_ec_high_mae,ho_ec_shock_mae,ho_ph_mid_mae,ho_ph_acidic_mae,ho_ph_alkaline_mae,ho_ph_jump_mae,ho_ec_balanced_mae,ho_ph_balanced_mae,aug17_drop_abs_err,aug17_spike_abs_err,sep21_0720_abs_err,score
option4_strict_flush_weight_light,strict_features_weight,40,0.3124470642278372,0.40317445284454134,0.9357468596098779,0.8768421052631579,0.17166289619354702,0.31746688738095014,0.9370951265478941,0.19607719298245616,0.11546490654435086,0.6493458082117141,0.8521307481952486,0.319560757014301,0.2937487285103812,0.30885617180949165,0.3467554469871057,0.5389804876504378,0.31723027608031984,0.20562219217136138,0.35749203733280305,0.9084939634672786,0.24673468354430375,0.1312289246204557,0.5510195058005662,0.6307378557648243,0.43766209539528206,0.18135199117745768,0.3301288302274793,0.9389378832463471,0.5569225,0.08340316297908676,0.5731473039709414,0.602361527663712,0.34004940942302325,0.6558875383408216,0.20921699801459903,0.3388739163920505,0.4196373315379134,0.3860069655426236,0.6234372802679435,1.4580327267881894,1.7745904206042042,3.3958237320705256
option4_strict_flush_weight_medium,strict_features_weight,40,0.3164092892873502,0.41571319286094666,0.9316881632214612,0.8768421052631579,0.17940425805532492,0.33323312523712284,0.9306919376422473,0.19607719298245616,0.11366231926200976,0.7382107377985037,1.0018897919173175,0.3240383209008028,0.22836050676965858,0.3352235540889558,0.3784044855641855,0.6179209496592769,0.3165067168309007,0.21640932683611447,0.37708876906918976,0.8981867748579779,0.24673468354430375,0.13355085715983597,0.6011093646188362,0.7086178577414037,0.4810926931733586,0.1775493832627023,0.3307167234990924,0.938720210823475,0.5569225,0.0796431054269254,0.5691744946058099,0.6040798445056034,0.41015264561772324,0.6567441835627597,0.19791847436223176,0.37675191064055813,0.4176324815127796,0.41039180354581817,0.8330055881744884,1.4676673870738415,1.7826179842871417,3.6693869508961034
option4_strict_flush_weight_strong,strict_features_weight,40,0.33198582047550423,0.43053933125866595,0.9267286805723967,0.8768421052631579,0.16494709263769897,0.3246644606819978,0.9342104482068795,0.19607719298245616,0.11330283062264197,0.6039233197656838,0.657745276644452,0.3325477708629761,0.2561779396500601,0.35647908735842926,0.39299189402337203,0.458323809010926,0.33454917297370934,0.2097432698895911,0.37647397366317686,0.8985184913246728,0.24673468354430375,0.13614091565309813,0.5514684859875941,0.6039256468844675,0.4305116828417199,0.18329192433776995,0.3309669403219254,0.9386274484468293,0.5569225,0.0839438923392287,0.580684052331935,0.5863226363075702,0.39081794168800094,0.6604670830135639,0.20874149480281634,0.3812416554749854,0.41698352699291136,0.4103170437448416,0.571167699883486,1.585783948246538,1.7766976793505438,3.529746256547806
