,importance
ET0_per_hour,0.15504187
t0_morning,0.10939993
ph0,0.104923174
photo_temp_interaction,0.10459228
t1_morning,0.087761074
hist_hrs_since_fert,0.057585396
transpiration_pull,0.055499956
hist_salt_buildup,0.040928487
overnight_h,0.03945117
hist48_irr_prevday,0.03840825
ec0,0.0346966
hist_irr_mid,0.033616763
soil_delta,0.032071106
hist_acid_decay,0.031747576
rad_morning,0.016598677
hist_irr_prior,0.015291818
hist_hrs_since_irr,0.012591288
temp_x_canopy,0.009811467
gap_hours,0.008947772
rad_t1_log,0.0064484924
hist_irr_recent,0.0045869392
