name,blend,ph_min,irr_min,gap_max,dyn_weight,active,ph_r2,ec_r2,ph_mae,ec_mae,sep2_m_pred,sep2_m_err,sep2_m_type,sep2_a_pred,sep2_a_err,sep2_a_type
salt_only,1.0,9.5,300,26,0.0,2,0.9494931071755421,0.9602639440913019,0.2654467537431321,0.13303107349232982,9.261104946136475,1.2611049461364754,base,9.501739144325256,0.8382608556747435,base
rebound,0.4,9.5,300,26,0.0,8,0.9402740861515365,0.8729704048973335,0.2941011119307881,0.16603921832918578,9.261104946136475,1.2611049461364754,base,9.853003797897241,0.48699620210275896,huber
rebound,0.5,9.5,300,26,0.0,8,0.9402928264784769,0.8856913465229019,0.2952728244048874,0.1627043347146847,9.261104946136475,1.2611049461364754,base,9.940819961290236,0.3991800387097637,huber
rebound,0.6,9.5,300,26,0.0,8,0.9393063528412047,0.8994941747990722,0.29644453687898664,0.15884927024322526,9.261104946136475,1.2611049461364754,base,10.028636124683231,0.31136387531676846,huber
rebound,0.7,9.5,300,26,0.0,8,0.9373146652397195,0.9142096156545889,0.29761624935308584,0.15478018214496705,9.261104946136475,1.2611049461364754,base,10.116452288076228,0.22354771192377143,huber
rebound,0.8,9.5,300,26,0.0,8,0.9343177636740216,0.9295124425762556,0.29878796182718514,0.1500798782930787,9.261104946136475,1.2611049461364754,base,10.204268451469224,0.13573154853077618,huber
rebound,0.9,9.5,300,26,0.0,8,0.930315648144111,0.9448491094256546,0.29995967430128445,0.1445426625340385,9.261104946136475,1.2611049461364754,base,10.292084614862219,0.04791538513778093,huber
rebound,1.0,9.5,300,26,0.0,8,0.9253083186499875,0.959336412095541,0.3052830906516665,0.13831621326066537,9.261104946136475,1.2611049461364754,base,10.379900778255216,0.039900778255216096,huber
overnight,0.4,8.5,300,26,0.0,5,0.938542111243087,0.86802427796752,0.2912310124719175,0.17362325554065983,9.273452987685687,1.2734529876856868,huber,9.501739144325256,0.8382608556747435,base
overnight_weighted,0.4,8.5,300,26,4.0,5,0.9296264582748107,0.876336623954578,0.30773013211085837,0.17047153681108487,9.2638387727417,1.2638387727416998,huber,9.501739144325256,0.8382608556747435,base
overnight,0.5,8.5,300,26,0.0,5,0.9401700449193207,0.8785561232636585,0.28840484383726206,0.17201975159802513,9.27653999807299,1.2765399980729892,huber,9.501739144325256,0.8382608556747435,base
overnight_weighted,0.5,8.5,300,26,4.0,5,0.9288174634713497,0.8903016389956422,0.30902874338593805,0.16740950214981332,9.264522229393005,1.2645222293930054,huber,9.501739144325256,0.8382608556747435,base
overnight,0.6,8.5,300,26,0.0,5,0.9416096394619039,0.8896044018317102,0.28557867520260666,0.17021630804829316,9.279627008460292,1.2796270084602916,huber,9.501739144325256,0.8382608556747435,base
overnight_weighted,0.6,8.5,300,26,4.0,5,0.9277369234391879,0.9053766557258859,0.31032735466101796,0.16374770450655435,9.265205686044313,1.2652056860443128,huber,9.501739144325256,0.8382608556747435,base
overnight,0.7,8.5,300,26,0.0,5,0.9428608948708366,0.900883184564383,0.28275250656795126,0.16818620675594906,9.282714018847594,1.282714018847594,huber,9.501739144325256,0.8382608556747435,base
overnight_weighted,0.7,8.5,300,26,4.0,5,0.9263848381783253,0.9212050645909893,0.31162596593609765,0.15936865249121104,9.265889142695618,1.2658891426956185,huber,9.501739144325256,0.8382608556747435,base
overnight,0.8,8.5,300,26,0.0,5,0.9439238111461188,0.9119377123829567,0.27992633793329585,0.16589899915862075,9.285801029234896,1.2858010292348965,huber,9.501739144325256,0.8382608556747435,base
overnight_weighted,0.8,8.5,300,26,4.0,5,0.9247612076887619,0.9371393712867374,0.3129245772111775,0.15413217751210026,9.266572599346926,1.266572599346926,huber,9.501739144325256,0.8382608556747435,base
overnight,0.9,8.5,300,26,0.0,5,0.9447983882877504,0.9220757264445706,0.27710016929864045,0.1633199735200675,9.288888039622199,1.2888880396221989,huber,9.501739144325256,0.8382608556747435,base
overnight_weighted,0.9,8.5,300,26,4.0,5,0.9228660319704977,0.9520966858145675,0.31422318848625724,0.14787111435833408,9.267256055998232,1.2672560559982315,huber,9.501739144325256,0.8382608556747435,base
overnight,1.0,8.5,300,26,0.0,5,0.9454846262957317,0.9302736543321769,0.275535761984172,0.16040954545095834,9.291975050009501,1.2919750500095013,huber,9.501739144325256,0.8382608556747435,base
overnight_weighted,1.0,8.5,300,26,4.0,5,0.9206993110235328,0.9643508232754073,0.31552179976133704,0.1403861667648124,9.267939512649537,1.2679395126495372,huber,9.501739144325256,0.8382608556747435,base
overnight,0.4,8.5,1000,26,0.0,5,0.9395010103753663,0.8728091292491397,0.29109397730484515,0.1727751915569124,9.280682329342044,1.280682329342044,huber,9.501739144325256,0.8382608556747435,base
overnight_weighted,0.4,8.5,1000,26,4.0,5,0.9325166524871487,0.876493987426565,0.3031939335733331,0.17008101303596712,9.357854386374832,1.3578543863748322,huber,9.501739144325256,0.8382608556747435,base
overnight,0.5,8.5,1000,26,0.0,5,0.9410459124861071,0.8852269528024264,0.2882335498784216,0.17068365381898223,9.285576675143435,1.2855766751434352,huber,9.501739144325256,0.8382608556747435,base
overnight_weighted,0.5,8.5,1000,26,4.0,5,0.9321187614405044,0.890596102701825,0.3033584952140316,0.16686909298923658,9.382041746434423,1.3820417464344228,huber,9.501739144325256,0.8382608556747435,base
overnight,0.6,8.5,1000,26,0.0,5,0.9422733729237722,0.89843005370008,0.2853731224519982,0.1682220980138576,9.290471020944828,1.2904710209448282,huber,9.501739144325256,0.8382608556747435,base
overnight_weighted,0.6,8.5,1000,26,4.0,5,0.9313247472466524,0.9058688272410218,0.3035230568547301,0.16302847274506854,9.406229106494012,1.4062291064940116,huber,9.501739144325256,0.8382608556747435,base
overnight,0.7,8.5,1000,26,0.0,5,0.9431833916883617,0.9120656270059795,0.28251269502557463,0.1653222378201937,9.295365366746221,1.2953653667462213,huber,9.501739144325256,0.8382608556747435,base
