Target,Warmup,MAE,RMSE,Naive MAE,Gain,R2,N test,Holdout MAE,Holdout R2
pH,52,0.2909769159859985,0.39521863650619954,0.8768421052631579,0.5858651892771594,0.9382576465805618,57,0.31772794959105355,0.9261331610167075
EC,52,0.10369731014406387,0.1346565871962218,0.19607719298245616,0.09237988283839228,0.9886827051248867,57,0.30786421420641086,0.7140619301118916
EC stress,30,0.15796472588488328,0.26089840021709415,0.24673468354430375,0.08876995765942047,0.951262883459002,79,,
