feature,r_ec_delta_all_24h_pairs,r_ec1_all_24h_pairs,r_ec_delta_consecutive,r_ec1_consecutive
g_salt_intensity,0.4600409943274698,0.15430171052880587,0.4710005448220461,0.14143313824264303
g_salt_per_h,0.4044668255405987,0.19751946004250706,0.4230301439918956,0.17474914200899241
ec0_x_p48_salt,-0.23399138611113834,0.721279045950989,-0.22821307431289686,0.7293978494181771
g_salt_x_dap,0.41461759748561583,0.013032547354027115,0.31748988533797584,0.06163674904781547
n24_salt_minus_p24_salt,0.4806693917462451,0.25265091385652305,0.2894084097448978,0.15896392637571133
temp_rh_balance,0.12827149417688294,0.46931936581973566,0.16514629731422084,0.3559558293562783
g_soil_minus_air,-0.39610707759270786,-0.34325138215621137,-0.2490706049759044,-0.2713775565535528
ec0_x_g_irr,-0.1988598886607842,0.038712878903872316,-0.2542001663207346,0.15966162592358327
