feature_set,xgb_set,warmup,max_rows,train_mode,pred_mode,shock_weight,blend,feature_count,n_spec_final,n_shock_final,wf_active,wf_ph_r2,wf_ec_r2,wf_min_r2,wf_ph_mae,wf_ec_mae,ho_active,ho_ph_r2,ho_ec_r2,ho_ph_mae,ho_ec_mae
current_union,current,55,4,chem_event,salt_shock_strict,8.0,1.0,44,178,12,2,0.9554130414912333,0.9605950867941424,0.9554130414912333,0.2503017132419658,0.14364375229738696,4,0.906310092889867,0.6863338401670874,0.35394168387819835,0.31776289756320314
current_union,current,55,4,chem_event,salt_shock_strict,8.0,1.2,44,178,12,2,0.9548195982292541,0.9827688752933412,0.9548195982292541,0.2523627880301385,0.1242783320787784,4,0.9008553969893623,0.72195926876141,0.35918005853361423,0.29042047150251826
current_union,current,55,4,chem_event,salt_shock_strict,3.0,1.0,44,178,12,2,0.954527151687812,0.9530632676870868,0.9530632676870868,0.25549979711169407,0.14763958157733548,4,0.9055984608781236,0.6942799476703166,0.35389795865221874,0.3177811418617275
current_union,current,55,4,chem_event,salt_shock_strict,3.0,1.2,44,178,12,2,0.9523104732916536,0.9782846755499988,0.9523104732916536,0.2586004886738124,0.13086099291695263,4,0.8999385716617769,0.7354874994727038,0.3591275882624386,0.29077397605602623
current_union,current,55,4,chem_event,salt_shock_no_ec,8.0,1.0,44,178,12,4,0.951816244560407,0.9557323575202717,0.951816244560407,0.25939046032057816,0.15270084008624954,6,0.9110745979542424,0.6863147268419045,0.3340777664151417,0.318427333653139
current_union,current,55,4,chem_event,salt_shock_no_ec,8.0,1.2,44,178,12,4,0.9489258326006527,0.9774907908719649,0.9489258326006527,0.26459395181929346,0.13403864636259052,6,0.9054983730373733,0.7219246747484425,0.3401196669688479,0.2914241330624196
current_union,current,55,4,chem_event,salt_shock_no_ec,3.0,1.0,44,178,12,4,0.9506922720956864,0.9479694728689618,0.9479694728689618,0.2665687223271714,0.1570945121113731,6,0.9099960824860774,0.694281831954296,0.3355107776062168,0.3176695939878022
current_union,current,55,4,chem_event,salt_shock_no_ec,3.0,1.2,44,178,12,4,0.9462995924753013,0.9727285868938378,0.9462995924753013,0.27320786622720533,0.14106427370698574,6,0.9044756357538435,0.7354860378328074,0.341523184840188,0.29085660272004593
current_union,current,55,4,chem_event,salt_shock_strict,3.0,1.5,44,178,12,2,0.9449656991649413,0.9643426478740098,0.9449656991649413,0.27337687226398627,0.14465262446731467,4,0.8908958889776554,0.7735789826582473,0.3669720324973248,0.2863388159276107
current_union,current,55,4,chem_event,salt_shock_strict,8.0,1.5,44,178,12,2,0.950813462537245,0.9376391862000305,0.9376391862000305,0.2655797464593939,0.157888381346531,4,0.8921597961119034,0.7444474456615844,0.36703762033629433,0.3038405232686971
current_union,current,55,4,chem_event,salt_shock_no_ec,3.0,1.5,44,178,12,4,0.9348101756961228,0.9581000871081695,0.9348101756961228,0.29329192832425266,0.1558733793651874,6,0.8951795655741006,0.7735703188185652,0.35093691493631063,0.2867100008657456
current_union,current,55,4,chem_event,salt_shock_no_ec,8.0,1.5,44,178,12,4,0.9404882380422246,0.9317388525520688,0.9317388525520688,0.2825245353143628,0.16861425334980515,6,0.8959489597903675,0.7443831798175518,0.3526575878546812,0.30534426891478433
current_union,current,55,4,chem_event,salt_shock_strict,8.0,0.8,44,178,12,2,0.954344633660391,0.9284176466669511,0.9284176466669511,0.2562084713718826,0.1596228329126442,4,0.9114908916650644,0.6416837502949719,0.3487033092227825,0.3419485596581291
current_union,current,55,4,chem_event,salt_shock_no_ec,8.0,0.8,44,178,12,4,0.9525189356568033,0.9239653253104048,0.9239653253104048,0.2621548017399523,0.16792497985166938,6,0.916018782362744,0.6416764770928842,0.33055881275932714,0.342269016173506
current_union,current,55,4,chem_event,salt_shock_strict,3.0,0.8,44,178,12,2,0.9545999599333173,0.9219875304781111,0.9219875304781111,0.2532893517225205,0.16195142193576217,4,0.9109634973313319,0.6462702627820017,0.3486683290419988,0.34178775239635667
current_union,current,50,4,chem_event,salt_shock_strict,8.0,1.0,44,178,12,2,0.9199458003585764,0.9608095303668054,0.9199458003585764,0.3068101063870254,0.13792434989641694,4,0.906310092889867,0.6863338401670874,0.35394168387819835,0.31776289756320314
current_union,current,50,4,chem_event,salt_shock_strict,8.0,1.2,44,178,12,2,0.9193927239839563,0.9826002665802409,0.9193927239839563,0.30869651382026814,0.12020006698447015,4,0.9008553969893623,0.72195926876141,0.35918005853361423,0.29042047150251826
current_union,current,50,4,chem_event,salt_shock_strict,3.0,0.8,44,178,12,2,0.9191880258093755,0.9228689197418601,0.9191880258093755,0.30954455516583806,0.15468052210781122,4,0.9109634973313319,0.6462702627820017,0.3486683290419988,0.34178775239635667
