feature_set,feature_count,blend,wf_active,wf_ph_r2,wf_ec_r2,wf_min_r2,wf_ph_mae,wf_ec_mae,ho_active,ho_ph_r2,ho_ec_r2,ho_ph_mae,ho_ec_mae,sep2_morning_ph_pred,sep2_morning_ph_err,sep2_morning_ec_pred,sep2_morning_ec_err,sep2_afternoon_ph_pred,sep2_afternoon_ph_err,sep2_afternoon_ec_pred,sep2_afternoon_ec_err
current_union,44,1.0,2,0.9494931071755421,0.9602639440913019,0.9494931071755421,0.2654467537431321,0.13303107349232982,4,0.8983803676738967,0.6867997439660525,0.3814684396879822,0.3144688573124249,9.261104946136475,1.2611049461364754,0.30986686228007904,0.14186686228007903,9.501739144325256,0.8382608556747435,0.21244384221201468,0.08655615778798531
current_union,44,1.2,2,0.9490580109887868,0.9816823547966882,0.9490580109887868,0.2670199201860112,0.11601186285499263,4,0.8941146501966175,0.722733009601832,0.3857879790699199,0.28691324334890644,9.261104946136475,1.2611049461364754,0.30986686228007904,0.14186686228007903,9.501739144325256,0.8382608556747435,0.21244384221201468,0.08655615778798531
current_diurnal_pressure,50,1.2,2,0.9480457936071691,0.9708180678846916,0.9480457936071691,0.26997293213361373,0.12038347351978955,4,0.8993829368833746,0.7890837787071154,0.36887007005958344,0.27039541963731484,9.328599815368653,1.3285998153686531,0.3282794201441486,0.16027942014414862,9.625762581825256,0.7142374181747435,0.2161480756063598,0.0828519243936402
current_diurnal_pressure,50,1.0,2,0.9480430833991464,0.9882821655548165,0.9480430833991464,0.27007311977191234,0.10193098510915367,4,0.9020354817236685,0.7396884522605272,0.36622792513543195,0.29967439079377967,9.328599815368653,1.3285998153686531,0.3282794201441486,0.16027942014414862,9.625762581825256,0.7142374181747435,0.2161480756063598,0.0828519243936402
current_diurnal_pressure,50,0.8,2,0.9469969058958679,0.962327492368733,0.9469969058958679,0.27687093575624294,0.12369821860169933,4,0.9046098125932132,0.6788119340149624,0.36358578021128035,0.33165087231374224,9.328599815368653,1.3285998153686531,0.3282794201441486,0.16027942014414862,9.625762581825256,0.7142374181747435,0.2161480756063598,0.0828519243936402
current_diurnal_flags,47,1.0,2,0.9412867591639041,0.9821223682265855,0.9412867591639041,0.28207981028606144,0.10948221741838685,4,0.9052282986430245,0.7266251824717673,0.35087956504496337,0.29565582351136255,9.267695074081422,1.2676950740814217,0.3264124773449754,0.1584124773449754,9.607205629348755,0.732794370651245,0.21173997081813933,0.08726002918186065
current_diurnal_flags,47,0.8,2,0.9401765133631388,0.959130337742715,0.9401765133631388,0.2883736838062785,0.133959706334958,4,0.9090428033607018,0.6653236997604051,0.3469844175444585,0.32615692802662977,9.267695074081422,1.2676950740814217,0.3264124773449754,0.1584124773449754,9.607205629348755,0.732794370651245,0.21173997081813933,0.08726002918186065
current_diurnal_plus,53,1.2,2,0.9397494130000933,0.9805192573863517,0.9397494130000933,0.29712607629573484,0.11487212651982985,4,0.8899517438366986,0.7548755616892249,0.3704414080078962,0.27769503399323653,9.193416361808778,1.1934163618087776,0.3153655933201737,0.1473655933201737,9.486981987953186,0.8530180120468138,0.20523189003720338,0.09376810996279661
current_diurnal_plus,53,1.0,2,0.9390485886612956,0.9563322400272786,0.9390485886612956,0.2954413929058997,0.13070466533311328,4,0.8945545629129872,0.7063618760778452,0.3663655168745719,0.3036663598782564,9.193416361808778,1.1934163618087776,0.3153655933201737,0.1473655933201737,9.486981987953186,0.8530180120468138,0.20523189003720338,0.09376810996279661
current_diurnal_flags,47,1.2,2,0.9415020436135356,0.9363436007952057,0.9363436007952057,0.2791279960720935,0.14675779387972804,4,0.9012730169663263,0.7790718505683043,0.3547747125454682,0.260734861359586,9.267695074081422,1.2676950740814217,0.3264124773449754,0.1584124773449754,9.607205629348755,0.732794370651245,0.21173997081813933,0.08726002918186065
current_union,44,0.8,2,0.9484934298351193,0.9297876302682948,0.9297876302682948,0.2706631991413477,0.14793622762221015,4,0.9024522682368196,0.6417772061624857,0.37714890030604453,0.3388344964853059,9.261104946136475,1.2611049461364754,0.30986686228007904,0.14186686228007903,9.501739144325256,0.8382608556747435,0.21244384221201468,0.08655615778798531
current_diurnal_plus,53,0.8,2,0.9373912590581751,0.9276886273907382,0.9276886273907382,0.3016011135524412,0.1427619799095245,4,0.8989824608732367,0.6450989725554799,0.3622896257412475,0.33536699104175005,9.193416361808778,1.1934163618087776,0.3153655933201737,0.1473655933201737,9.486981987953186,0.8530180120468138,0.20523189003720338,0.09376810996279661
