variant,params_variant,weight_strength,feature_count,ph_mae,ph_rmse,ph_r2,ph_naive_mae,ec_mae,ec_rmse,ec_r2,ec_naive_mae,w30_ec_mae,w30_ec_rmse,w30_ec_r2,w30_ec_naive_mae,w30_ec_low_mae,w30_ec_high_mae,w30_ec_shock_mae,w30_ec_balanced_mae,ho_ec_mae,ho_ec_rmse,ho_ec_r2,ho_ec_naive_mae,ho_ec_low_mae,ho_ec_high_mae,ho_ec_shock_mae,ho_ec_balanced_mae,aug17_drop_abs_err,aug17_spike_abs_err,sep21_0720_abs_err,walkforward_score
t1_medium_smooth_blend099,secondpass,,36,0.28440777651080074,0.38306056738697825,0.9419979633323774,0.8768421052631579,0.12938384732513705,0.17786483711484397,0.9802545232993952,0.19607719298245616,0.17786269097089769,0.283325257997699,0.9425238612043463,0.24673468354430375,0.13161241536169013,0.39259611344221856,0.43163638977200913,0.31861497285863927,0.3214312190204509,0.7334658207780044,0.6985851045645902,0.5569225,0.08658810697624666,1.2608036671972678,1.282730826015847,0.8767075333964538,0.4063340610761692,1.454583673650511,0.12812755589165192,1.5021018837348523
t1_strong_smooth,secondpass,,36,0.28766871220722395,0.3951160802266601,0.9382896857806905,0.8768421052631579,0.12747582623727988,0.17502031515782626,0.9808810363200642,0.19607719298245616,0.17094100155070116,0.27915107368391384,0.9442049585921805,0.24673468354430375,0.12752087250983335,0.3725344578118728,0.4171444287331162,0.3057332530182741,0.3156112229903897,0.7335305247883499,0.6985319225015811,0.5569225,0.08453434091943564,1.2399187512742058,1.2628197216996013,0.8624242712977477,0.33019801944740634,1.4803177723646885,0.45041745844179104,1.764592287739096
t1_medium_smooth_eps135,secondpass,,36,0.28936286020797086,0.38928273306582095,0.9400983714589036,0.8768421052631579,0.13520788646197113,0.18744514195427558,0.9780701428077885,0.19607719298245616,0.18206484579114504,0.2877470420941036,0.9407158312239804,0.24673468354430375,0.1314528498476937,0.417049112671455,0.46967438857304344,0.33939211703073074,0.3296930343011645,0.7782726192628865,0.6606339039585747,0.5569225,0.08658810697624666,1.302112743600836,1.3240399024194152,0.9042469176654993,0.4063340610761692,1.454583673650511,0.4704695451009613,1.8257999574188113
t1_medium_smooth_eps2,secondpass,,36,0.2781904197878245,0.3807522318831723,0.9426949014391993,0.8768421052631579,0.14179313748506844,0.20565716089287248,0.9736017524463586,0.19607719298245616,0.1868162294407216,0.29658700121274817,0.937017307194634,0.24673468354430375,0.13276697721025543,0.4377591862250289,0.5018900585452695,0.35747207399351794,0.33086840424820996,0.7756276990623874,0.6629366215484034,0.5569225,0.08658810697624666,1.307989593336063,1.3299167521546422,0.9081648174889839,0.4063340610761692,1.454583673650511,0.7604105748509955,2.101939086334757
t1_medium_smooth_blend085,secondpass,,36,0.2771838546789648,0.3804981936822986,0.9427713439468002,0.8768421052631579,0.14807283311171923,0.23593812188966878,0.9652556924098455,0.19607719298245616,0.19134714907007724,0.31242911251157385,0.9301092035826808,0.24673468354430375,0.13193559185229187,0.46718652186693804,0.5476659139882393,0.3822626759024897,0.3248187264324779,0.740606279705355,0.6926878510065212,0.5569225,0.08658810697624666,1.2777412042574026,1.2996683630759818,0.887999224769877,0.4063340610761692,1.454583673650511,1.1723932738377236,2.490608099380533
t1_medium_smooth_derived,secondpass,,38,0.3176081208054953,0.4345757629232679,0.9253483603768291,0.8768421052631579,0.17822273921405216,0.32427142937762643,0.9343696384190963,0.19607719298245616,0.20402941905041125,0.35394435211843844,0.910301129904625,0.24673468354430375,0.1358482749425148,0.5205847309799303,0.6061565573796631,0.4208631877673694,0.3258426206857206,0.7957670454675341,0.6452055240617438,0.5569225,0.0832667846686909,1.2961459647538394,1.3688905931842366,0.9161011142022556,0.42794458777301125,1.3785148310023159,1.0798435762090874,2.799427824384848
