Model,Target,Warmup,MAE,RMSE,R2,Holdout MAE,Holdout R2
Blend1,pH,52,0.2751006004264568,0.3753581693789309,0.9443070666131548,0.2897132550622262,0.9392940555994284
Blend1,EC,52,0.1268957472005381,0.2187553413964443,0.9701320952775644,0.1818340684461954,0.9367980679454476
Blend1,EC stress,30,0.1743646196027364,0.2982654229128886,0.9363024367853696,,
BestOfBoth,pH,52,0.2905894505347997,0.3870842446934893,0.9407730541616348,0.3638445863400648,0.9231375556188358
BestOfBoth,EC,52,0.1273835364274418,0.1747655134406817,0.9809366641330348,0.1789554596280227,0.9347933152849164
BestOfBoth,EC stress,30,0.1661693692515104,0.2658190589194559,0.9494071399226036,,
