mae,rmse,naive_mae,r2,aug22_mae,aug22_rmse,aug22_n,sep21_pred,sep21_err,err_20250817_124000,pred_20250817_124000,err_20250819_173000,pred_20250819_173000,err_20250821_130000,pred_20250821_130000,err_20250820_120000,pred_20250820_120000,err_20250814_162000,pred_20250814_162000,err_20250821_150000,pred_20250821_150000,experiment,runtime_s,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda
0.19014296938636435,0.47825531491514883,0.24989794871794865,0.834696487391674,0.3216343825959559,0.5191573879775396,11,0.6256002729583312,3.6043997270416694,1.4183867451609737,1.2616132548390264,0.7342945966741157,2.0882945966741158,0.45564137182914366,1.1936413718291436,0.1967115882986118,1.1086115882986118,0.04322283938784377,2.4767771606121562,0.22608445200534955,0.6017355479946505,cfg39,17.363262176513672,600,0.02,5,3,0.72,0.9,1.0,2.0
0.1940087624054197,0.4753191284768202,0.24989794871794865,0.8367199757191123,0.33033821517543993,0.5278907692359588,11,0.6377550350144274,3.592244964985573,1.3873889216831339,1.2926110783168663,0.753219603768934,2.107219603768934,0.5649412739883886,1.3029412739883885,0.4496712389500609,1.361571238950061,0.08152154768382935,2.6015215476838294,0.13193032846309594,0.6958896715369041,cfg28,15.91078495979309,450,0.03,5,1,0.72,0.75,1.0,2.0
0.18893356212432771,0.46949126139721703,0.24989794871794865,0.8406993681578565,0.3446819208719821,0.5482921788404209,11,0.6920464993991284,3.5379535006008718,1.44480931204962,1.2351906879503802,0.8050672616908923,2.1590672616908924,0.5436916345265366,1.2816916345265366,0.43649097500285794,1.348390975002858,0.14355235121200316,2.663552351212003,0.2351988407264577,0.5926211592735423,cfg35,13.614832639694214,320,0.045,5,4,0.72,0.75,1.0,2.0
0.18782429401472522,0.4820620367058686,0.24989794871794865,0.8320545143235882,0.35174774305876044,0.5693931790162826,11,0.5881964092900056,3.641803590709995,1.52909588188752,1.1509041181124802,0.8225274908261331,2.176527490826133,0.592425053727919,1.330425053727919,0.3507631621893973,1.2626631621893973,0.010315767310014046,2.509684232689986,0.14555768647215073,0.6822623135278493,cfg27,18.95715570449829,650,0.02,5,1,0.72,0.75,1.0,2.0
0.1821590037879184,0.47035425176632084,0.24989794871794865,0.8401131963953181,0.3567832324359701,0.5674073077246633,11,0.6798783732118225,3.5501216267881777,1.4664924784544744,1.2135075215455258,0.8969373192154007,2.2509373192154007,0.5439834490197142,1.2819834490197142,0.46777738648952505,1.379677386489525,0.15450561815571584,2.674505618155716,0.18736433674095954,0.6404556632590405,base,14.43877649307251,450,0.03,4,2,0.72,0.75,1.0,2.0
0.1821590037879184,0.47035425176632084,0.24989794871794865,0.8401131963953181,0.3567832324359701,0.5674073077246633,11,0.6798783732118225,3.5501216267881777,1.4664924784544744,1.2135075215455258,0.8969373192154007,2.2509373192154007,0.5439834490197142,1.2819834490197142,0.46777738648952505,1.379677386489525,0.15450561815571584,2.674505618155716,0.18736433674095954,0.6404556632590405,cfg22,14.367244958877563,450,0.03,4,2,0.72,0.75,1.0,2.0
0.18170961582682596,0.47015197642282297,0.24989794871794865,0.8402506851236893,0.35737779200176667,0.5623730617929276,11,0.6724995351548595,3.557500464845141,1.4308819492819393,1.2491180507180608,0.8587153596926433,2.2127153596926434,0.5916339961664014,1.3296339961664014,0.5132452151480701,1.4251452151480701,0.08078372783458354,2.6007837278345836,0.19161491473603742,0.6362050852639626,cfg19,14.401127338409424,450,0.03,4,1,0.72,0.75,1.0,2.0
0.1817404533381959,0.47683489038299515,0.24989794871794865,0.835676936436297,0.3586216912975733,0.579190710212385,11,0.6337642377655872,3.5962357622344134,1.5403829686150186,1.1396170313849816,0.8666447453920161,2.220644745392016,0.5665394447047498,1.3045394447047498,0.42295033995127806,1.334850339951278,0.03880199288233621,2.481198007117664,0.18496209233469774,0.6428579076653023,cfg21,18.250749826431274,650,0.02,4,2,0.72,0.75,1.0,2.0
0.19034936888570292,0.4740474352729545,0.24989794871794865,0.8375925024768925,0.36144089508345073,0.5554286606112088,11,0.6676544723027215,3.562345527697279,1.4725294026297964,1.2074705973702038,0.7702049456990796,2.1242049456990797,0.5687241674167387,1.3067241674167387,0.3774611549020245,1.2893611549020245,0.08468684393574222,2.6046868439357422,0.17263200509531385,0.6551879949046862,cfg31,15.98621940612793,450,0.03,5,2,0.72,0.75,1.0,2.0
0.18770595299605813,0.4780978108722952,0.24989794871794865,0.8348053484267849,0.3630004930024732,0.5692748322275426,11,0.6223211855410776,3.607678814458923,1.539869994313491,1.1401300056865091,0.7607064891302215,2.1147064891302216,0.5713717067244295,1.3093717067244295,0.31796181792554246,1.2298618179255425,0.031082331859266787,2.4889176681407332,0.1726860252709671,0.6551339747290329,cfg30,20.005903720855713,650,0.02,5,2,0.72,0.75,1.0,2.0
