regime,n,mae,rmse,r2,naive_mae,gain_vs_naive,mean_true,max_true
pH Sep 18-21 transition,14,0.33007552740739127,0.3993857517251747,0.8320550433215139,0.512142857142857,0.18206732973546574,6.1485714285714295,7.76
pH Sep 21,7,0.2766890218903093,0.34104101096370854,0.42573309820456395,0.38571428571428573,0.10902526382397643,5.2628571428571425,6.19
