feature_set,xgb_set,warmup,max_rows,train_mode,pred_mode,shock_weight,blend,wf_active,wf_ph_r2,wf_ec_r2,wf_min_r2,wf_ph_mae,wf_ec_mae,ho_active,ho_ph_r2,ho_ec_r2,ho_ph_mae,ho_ec_mae
current_union,ph_like,51,4,chem_event,salt_shock_strict,8.0,1.0,2,0.9484599871952489,0.9602582607488683,0.9484599871952489,0.2710968658746297,0.13286028400067768,4,0.8983803676738967,0.6867997439660525,0.3814684396879822,0.3144688573124249
current_union,ph_like,51,4,chem_event,salt_shock_strict,8.0,1.2,2,0.9480364511695195,0.981590617753649,0.9480364511695195,0.27264290875814884,0.11613450802950144,4,0.8941146501966175,0.722733009601832,0.3857879790699199,0.28691324334890644
current_union,ph_like,51,4,chem_event,salt_shock_strict,3.0,1.0,2,0.9476309090727547,0.9528290517891593,0.9476309090727547,0.2759364612016181,0.1365805388475263,4,0.8976687356621533,0.6947458514692817,0.3814247144620026,0.31448710161094934
current_union,ph_like,51,4,chem_event,salt_shock_strict,1.0,1.0,2,0.9466657157386088,0.9512003124819866,0.9466657157386088,0.2787358733012155,0.13733420102140267,4,0.893899683625983,0.6935182267765876,0.384672818785664,0.31743331456859103
current_union,ph_like,51,4,chem_event,salt_shock_strict,3.0,1.2,2,0.9458248871270476,0.976827183252349,0.9458248871270476,0.27845042315053486,0.12217602851229276,4,0.8932583209355841,0.7362756599115042,0.3857355087987443,0.28726160419298996
current_union,ph_like,51,4,chem_event,salt_shock_strict,0.0,1.0,2,0.9454379450212831,0.9507051246591276,0.9454379450212831,0.28135965862397794,0.1375595917844447,4,0.8913555444691722,0.6853190881511372,0.3870750213039897,0.3224894679971995
current_union,ph_like,51,4,chem_event,salt_shock_strict,1.0,1.2,2,0.9438463359474184,0.9755490810898874,0.9438463359474184,0.2818097176700518,0.12338800131791569,4,0.8885396756284519,0.738301589502339,0.3896332339871382,0.29132570727444496
current_union,ph_like,51,4,chem_event,salt_shock_strict,0.0,1.2,2,0.9415266049127176,0.9751468189849207,0.9415266049127176,0.2849582600573667,0.12374965155947687,4,0.885328015967389,0.7310306274588643,0.392515877009129,0.29810892841687187
current_union,ph_like,51,4,chem_event,salt_shock_strict,8.0,0.8,2,0.9474868704898789,0.9299043929663898,0.9299043929663898,0.2762233725590829,0.1475084527145256,4,0.9024522682368196,0.6417772061624857,0.37714890030604453,0.3388344964853059
current_union,ph_like,51,4,chem_event,salt_shock_strict,3.0,0.8,2,0.9476347215222028,0.9235493496985178,0.9235493496985178,0.27454174132293635,0.1497077280588811,4,0.9018845431920525,0.6463580503003583,0.3771139201252608,0.33867669686242996
current_union,ph_like,51,4,chem_event,salt_shock_strict,1.0,0.8,2,0.9474094463073222,0.9222055379519958,0.9222055379519958,0.2767812710026143,0.15015764486233163,4,0.8989998234722679,0.6438673597128093,0.37971240358419,0.3407302542022668
current_union,ph_like,51,4,chem_event,salt_shock_strict,0.0,0.8,2,0.9469915005160682,0.9217998713200921,0.9217998713200921,0.27888029926082425,0.15029249603872327,4,0.8970703072620794,0.6362649884539447,0.38163416559885055,0.3443523374735018
