,importance
photo_temp_interaction,0.26202467
ph0,0.08380549
ET0_per_hour,0.069441415
hist_irr_mid,0.06859008
gap_hours,0.059503645
soil_delta,0.051506586
hist48_irr_prevday,0.050683934
transpiration_pull,0.045249816
h3po4_total,0.037130494
hist_salt_buildup,0.035873592
hist_hrs_since_fert,0.035607222
ec0,0.032753956
hist_irr_prior,0.02365374
temp_x_canopy,0.022831032
t1_morning,0.019859273
hist_dark_recent_6h,0.019119978
rad_morning,0.018925635
t0_morning,0.01769663
hist_irr_recent,0.016790044
hist_hrs_since_irr,0.01553038
rad_t1_log,0.011259371
hist48_acid_prevday,0.0021630726
