threshold,sensor_count_le,sensor_pct_le,prediction_ec0_count_le,prediction_ec0_pct_le
0.5,62,56.88073394495413,128,72.72727272727273
0.6,67,61.46788990825688,134,76.13636363636364
0.7,69,63.30275229357798,138,78.4090909090909
0.8,72,66.05504587155964,143,81.25
0.9,75,68.80733944954129,145,82.38636363636364
1.0,81,74.31192660550458,153,86.93181818181817
1.2,83,76.14678899082568,155,88.06818181818183
1.5,86,78.89908256880734,156,88.63636363636364
2.0,89,81.65137614678899,158,89.77272727272727
