kind,blend,gmin,gmax,wf_active,ho_active,wf_ph_r2,wf_ec_r2,wf_ph_mae,wf_ec_mae,ho_ph_r2,ho_ec_r2,ho_ph_mae,ho_ec_mae,sep21_ec_mae,min_wf,min_ho,ok_hold
ridge,0.85,1.0,10,0,4,0.9273841388412758,0.825955273855608,0.2964287980397542,0.19300213098437696,0.953340315885784,0.9554562969145782,0.282954845117373,0.16681657249800597,0.6519421239249142,0.825955273855608,0.953340315885784,True
ridge,0.85,1.0,26,0,4,0.9273841388412758,0.825955273855608,0.2964287980397542,0.19300213098437696,0.953340315885784,0.9554562969145782,0.282954845117373,0.16681657249800597,0.6519421239249142,0.825955273855608,0.953340315885784,True
ridge,0.85,1.5,10,0,4,0.9273841388412758,0.825955273855608,0.2964287980397542,0.19300213098437696,0.953340315885784,0.9554562969145782,0.282954845117373,0.16681657249800597,0.6519421239249142,0.825955273855608,0.953340315885784,True
ridge,0.85,1.5,26,0,4,0.9273841388412758,0.825955273855608,0.2964287980397542,0.19300213098437696,0.953340315885784,0.9554562969145782,0.282954845117373,0.16681657249800597,0.6519421239249142,0.825955273855608,0.953340315885784,True
ridge,0.85,2.0,10,0,4,0.9273841388412758,0.825955273855608,0.2964287980397542,0.19300213098437696,0.953340315885784,0.9554562969145782,0.282954845117373,0.16681657249800597,0.6519421239249142,0.825955273855608,0.953340315885784,True
ridge,0.85,2.0,26,0,4,0.9273841388412758,0.825955273855608,0.2964287980397542,0.19300213098437696,0.953340315885784,0.9554562969145782,0.282954845117373,0.16681657249800597,0.6519421239249142,0.825955273855608,0.953340315885784,True
ridge,0.9,1.0,10,0,4,0.9273841388412758,0.825955273855608,0.2964287980397542,0.19300213098437696,0.9518459124171343,0.9675628692679347,0.28550026413836027,0.14646629273713868,0.4484393263162413,0.825955273855608,0.9518459124171343,True
ridge,0.9,1.0,26,0,4,0.9273841388412758,0.825955273855608,0.2964287980397542,0.19300213098437696,0.9518459124171343,0.9675628692679347,0.28550026413836027,0.14646629273713868,0.4484393263162413,0.825955273855608,0.9518459124171343,True
ridge,0.9,1.5,10,0,4,0.9273841388412758,0.825955273855608,0.2964287980397542,0.19300213098437696,0.9518459124171343,0.9675628692679347,0.28550026413836027,0.14646629273713868,0.4484393263162413,0.825955273855608,0.9518459124171343,True
ridge,0.9,1.5,26,0,4,0.9273841388412758,0.825955273855608,0.2964287980397542,0.19300213098437696,0.9518459124171343,0.9675628692679347,0.28550026413836027,0.14646629273713868,0.4484393263162413,0.825955273855608,0.9518459124171343,True
ridge,0.9,2.0,10,0,4,0.9273841388412758,0.825955273855608,0.2964287980397542,0.19300213098437696,0.9518459124171343,0.9675628692679347,0.28550026413836027,0.14646629273713868,0.4484393263162413,0.825955273855608,0.9518459124171343,True
ridge,0.9,2.0,26,0,4,0.9273841388412758,0.825955273855608,0.2964287980397542,0.19300213098437696,0.9518459124171343,0.9675628692679347,0.28550026413836027,0.14646629273713868,0.4484393263162413,0.825955273855608,0.9518459124171343,True
ridge,1.0,1.0,10,0,4,0.9273841388412758,0.825955273855608,0.2964287980397542,0.19300213098437696,0.9479165132770204,0.9699967928484102,0.29190769745315776,0.14738858427587953,0.45766224170365,0.825955273855608,0.9479165132770204,True
ridge,1.0,1.0,26,0,4,0.9273841388412758,0.825955273855608,0.2964287980397542,0.19300213098437696,0.9479165132770204,0.9699967928484102,0.29190769745315776,0.14738858427587953,0.45766224170365,0.825955273855608,0.9479165132770204,True
ridge,1.0,1.5,10,0,4,0.9273841388412758,0.825955273855608,0.2964287980397542,0.19300213098437696,0.9479165132770204,0.9699967928484102,0.29190769745315776,0.14738858427587953,0.45766224170365,0.825955273855608,0.9479165132770204,True
ridge,1.0,1.5,26,0,4,0.9273841388412758,0.825955273855608,0.2964287980397542,0.19300213098437696,0.9479165132770204,0.9699967928484102,0.29190769745315776,0.14738858427587953,0.45766224170365,0.825955273855608,0.9479165132770204,True
ridge,1.0,2.0,10,0,4,0.9273841388412758,0.825955273855608,0.2964287980397542,0.19300213098437696,0.9479165132770204,0.9699967928484102,0.29190769745315776,0.14738858427587953,0.45766224170365,0.825955273855608,0.9479165132770204,True
ridge,1.0,2.0,26,0,4,0.9273841388412758,0.825955273855608,0.2964287980397542,0.19300213098437696,0.9479165132770204,0.9699967928484102,0.29190769745315776,0.14738858427587953,0.45766224170365,0.825955273855608,0.9479165132770204,True
huber,0.8,1.0,10,0,4,0.9273841388412758,0.825955273855608,0.2964287980397542,0.19300213098437696,0.9415683889486022,0.9539994874612614,0.30354639214840223,0.16017886361186273,0.5855650350634821,0.825955273855608,0.9415683889486022,True
huber,0.8,1.0,26,0,4,0.9273841388412758,0.825955273855608,0.2964287980397542,0.19300213098437696,0.9415683889486022,0.9539994874612614,0.30354639214840223,0.16017886361186273,0.5855650350634821,0.825955273855608,0.9415683889486022,True
huber,0.8,1.5,10,0,4,0.9273841388412758,0.825955273855608,0.2964287980397542,0.19300213098437696,0.9415683889486022,0.9539994874612614,0.30354639214840223,0.16017886361186273,0.5855650350634821,0.825955273855608,0.9415683889486022,True
huber,0.8,1.5,26,0,4,0.9273841388412758,0.825955273855608,0.2964287980397542,0.19300213098437696,0.9415683889486022,0.9539994874612614,0.30354639214840223,0.16017886361186273,0.5855650350634821,0.825955273855608,0.9415683889486022,True
huber,0.8,2.0,10,0,4,0.9273841388412758,0.825955273855608,0.2964287980397542,0.19300213098437696,0.9415683889486022,0.9539994874612614,0.30354639214840223,0.16017886361186273,0.5855650350634821,0.825955273855608,0.9415683889486022,True
