gap_bin,n,model_mae,naive_mae,gain
Short (0-2h),24,0.25554971965654466,0.31123416666666665,0.055684447010121985
Medium (2-8h),30,0.17658732817837966,0.19047333333333336,0.013886005154953696
Long (8h+),24,0.1224303239502596,0.26284250000000003,0.14041217604974043
