removed,features,wf_ph_r2,wf_ec_r2,wf_ph_mae,wf_ec_mae,sep21_ec_pred,sep21_ec_err,sep21_ph_pred,sep21_ph_err,type
NONE,46,0.9362936013170925,0.9873042123267181,0.3007064874704592,0.10826949795422523,4.12993231608288,0.1000676839171204,4.990634893353199,0.24063489335319943,huber
last_event_salt_conc,45,0.9401779081771119,0.9480643186565625,0.29585275023376173,0.14342620361960776,2.415807750506903,1.8141922494930975,5.378481239613302,0.6284812396133024,huber
recent_salt_conc_2h,45,0.9450618038188723,0.9414921328547248,0.2715547114588842,0.14352219333011904,6.220658322453008,1.9906583224530072,4.800873307023739,0.050873307023739045,huber
hist48_acid_prevday,45,0.9369021055593543,0.9810068897901618,0.2897451017207109,0.12112128852025023,4.691174925397445,0.46117492539744465,4.417480716475388,0.33251928352461224,huber
hour_cos_b,45,0.9373954852851908,0.9627096955161464,0.2917797349737404,0.13561460881834483,2.9688862721414226,1.2611137278585778,5.02327531192135,0.27327531192135,huber
salt_event_pos,45,0.935647608152121,0.9864586165536832,0.3007607064660935,0.10786345920113129,4.226948452095176,0.0030515479048247585,5.285404764381658,0.5354047643816582,huber
timing_balance,45,0.9446542808233477,0.9839599088523939,0.2697373596829776,0.11360562567423878,3.818979423945705,0.41102057605429554,4.867191210258966,0.11719121025896584,huber
irr_total_t0_t1,45,0.9407309536603465,0.9737915273144678,0.2818522478202758,0.1272629897763865,5.08599310441115,0.8559931044111497,4.8655712718464255,0.11557127184642546,huber
h3po4_total,45,0.9339948250529931,0.9817817936837635,0.29262602215057465,0.119052902705365,3.9787291202238526,0.2512708797761478,4.931056227973183,0.18105622797318333,huber
temp_trend,45,0.9332252326951895,0.9863721605953485,0.30450295241229836,0.10670417421971572,4.267603071622838,0.03760307162283727,4.9236467788627465,0.1736467788627465,huber
hrs_since_irr,45,0.9440871622547755,0.9808783980537977,0.2832783484146642,0.12385321054822597,4.735291328619512,0.5052913286195118,4.977965792027063,0.2279657920270628,huber
hrs_since_fert,45,0.9426090318575483,0.9629038912994834,0.28667085049753505,0.13208429275837233,2.766653454063482,1.4633465459365183,5.182539966389342,0.4325399663893421,huber
hour_sin_b,45,0.9371607605935164,0.9013660869728273,0.28925062041216437,0.16429257672568273,1.5478991073359099,2.6821008926640904,5.789268492157493,1.0392684921574933,huber
rad_t1_log,45,0.9327163782188328,0.9846216884538443,0.3041290370286443,0.11038127165962085,4.155255889314837,0.07474411068516318,4.90298410458096,0.1529841045809599,huber
hist_hrs_since_irr,45,0.9401427806008626,0.9828330980925314,0.28904899376262944,0.11908796569191922,4.791057299203309,0.5610572992033083,4.762776168389327,0.012776168389327047,huber
rad_morning,45,0.9293516097886487,0.9828638792024742,0.3093846087790638,0.11609708458786977,4.180796652108832,0.04920334789116865,5.056403188818219,0.30640318881821926,huber
hist48_irr_prevday,45,0.9301569913569445,0.9806581330180676,0.31295193644848424,0.12025156223186276,4.6601983627410535,0.43019836274105305,4.8325260035163815,0.08252600351638151,huber
