evaluation,regime,n,mae,rmse,r2,naive_mae,gain_vs_naive,mean_true,max_true
EC warmup30,all,79,0.17751471002118682,0.3121993971392714,0.930211941051201,0.24673468354430375,0.06921997352311693,0.8485015189873416,4.97
EC warmup30,low_ec_true_lt_1,65,0.1257841565172718,0.1822050244961187,0.23790979791789602,0.11232369230769232,-0.01346046420957947,0.36628646153846156,0.98
EC warmup30,high_ec_true_ge_1,14,0.4176922798607922,0.629177184361778,0.7505070262654595,0.8707857142857142,0.45309343442492195,3.087357142857143,4.97
EC warmup30,very_high_ec_true_ge_2,10,0.3901055775063479,0.6578074797541773,0.4918635822785574,0.8492,0.45909442249365207,3.7039999999999993,4.97
EC warmup30,shock_abs_delta_ge_0.5,9,0.5264246115863401,0.7487852978242779,0.7261974795496453,1.2737577777777778,0.7473331661914376,2.648444444444445,4.97
EC warmup30,shock_abs_delta_ge_1.0,4,0.9901166638527217,1.1007857932934917,0.10433291168005221,1.95425,0.9641333361472784,2.45175,4.23
