ec0_max,gap_max,walk_mae,walk_r2,hold_mae,hold_r2,wf_gated_n,hold_gated_n,wf_gated_mae,sep21_mae,sep21_0720_pred,sep21_0720_err,current
0.6,6.0,0.1328277477522633,0.9606769772250363,0.2468793494981988,0.8308357974298808,2,2,0.13568754824006146,0.1392722307767371,4.240669990944981,0.010669990944980334,False
0.6,8.0,0.1328277477522633,0.9606769772250363,0.2278779082200965,0.8758247725085769,2,3,0.13568754824006146,0.1392722307767371,4.240669990944981,0.010669990944980334,False
0.6,10.0,0.1328277477522633,0.9606769772250363,0.2103284017591641,0.9088792445937698,2,4,0.13568754824006146,0.1392722307767371,4.240669990944981,0.010669990944980334,False
0.6,12.0,0.1328277477522633,0.9606769772250363,0.2103284017591641,0.9088792445937698,2,4,0.13568754824006146,0.1392722307767371,4.240669990944981,0.010669990944980334,False
0.6,15.0,0.1328277477522633,0.9606769772250363,0.2103284017591641,0.9088792445937698,2,4,0.13568754824006146,0.1392722307767371,4.240669990944981,0.010669990944980334,False
0.6,20.0,0.1328277477522633,0.9606769772250363,0.2103284017591641,0.9088792445937698,2,4,0.13568754824006146,0.1392722307767371,4.240669990944981,0.010669990944980334,False
0.6,26.0,0.1328277477522633,0.9606769772250363,0.2103284017591641,0.9088792445937698,2,4,0.13568754824006146,0.1392722307767371,4.240669990944981,0.010669990944980334,False
0.6,999.0,0.1328277477522633,0.9606769772250363,0.2103284017591641,0.9088792445937698,2,4,0.13568754824006146,0.1392722307767371,4.240669990944981,0.010669990944980334,False
0.8,6.0,0.1328277477522633,0.9606769772250363,0.2468793494981988,0.8308357974298808,2,2,0.13568754824006146,0.1392722307767371,4.240669990944981,0.010669990944980334,False
0.8,8.0,0.1328277477522633,0.9606769772250363,0.2278779082200965,0.8758247725085769,2,3,0.13568754824006146,0.1392722307767371,4.240669990944981,0.010669990944980334,False
0.8,10.0,0.1328277477522633,0.9606769772250363,0.2103284017591641,0.9088792445937698,2,4,0.13568754824006146,0.1392722307767371,4.240669990944981,0.010669990944980334,True
0.8,12.0,0.1328277477522633,0.9606769772250363,0.2103284017591641,0.9088792445937698,2,4,0.13568754824006146,0.1392722307767371,4.240669990944981,0.010669990944980334,False
0.8,15.0,0.1328277477522633,0.9606769772250363,0.2103284017591641,0.9088792445937698,2,4,0.13568754824006146,0.1392722307767371,4.240669990944981,0.010669990944980334,False
0.8,20.0,0.1328277477522633,0.9606769772250363,0.2103284017591641,0.9088792445937698,2,4,0.13568754824006146,0.1392722307767371,4.240669990944981,0.010669990944980334,False
