feature_set,features,wf_ph_r2,wf_ec_r2,wf_ph_mae,wf_ec_mae,ho_ph_r2,ho_ec_r2,ho_ph_mae,ho_ec_mae,sep21_ec_mae,n_train,n_general,n_shock
union44,44,0.9505558835155431,0.9481007862944115,0.2621242018448865,0.15014216129319985,0.9415683889486022,0.9539994874612614,0.30354639214840223,0.16017886361186273,0.5855650350634821,256,188,12
top36,36,0.9439628606071708,0.9179769995149225,0.282816536090818,0.1615391061140143,0.9416298984311007,0.9479551919559212,0.30814348044710427,0.167149478381951,0.618612616736485,256,188,12
top40,40,0.9379531792519025,0.9034930044424139,0.2871108826950244,0.1718617907749815,0.9415480552779063,0.9528903737114938,0.30799383621905746,0.16822238361210798,0.6155028883070919,256,188,12
top32,32,0.9436970259282041,0.8365714824368932,0.2855558722923637,0.19635070192479795,0.9144113450661482,0.7813577353116888,0.35374078992542923,0.2449313264981358,1.5458149329458166,256,188,12
