skip_cap,mae,rmse,naive_mae,r2,aug22_mae,aug22_rmse,aug22_n,aug_all_mae,aug_all_n,sep21_0720_pred,sep21_0720_true,sep21_0720_err,retrains
0,0.21406550091436993,0.5159688747071821,0.24673468354430375,0.8093819567226389,0.44149664699090896,0.6393223838316897,11,0.2939170682459721,21,0.4197763338915842,4.23,3.810223666108416,79
1,0.19403519113703102,0.4932925067793891,0.24673468354430375,0.8257687565860614,0.3548431742005807,0.5668046546512737,11,0.2410953911304961,21,0.5143920988325457,4.23,3.7156079011674548,79
2,0.18376733576957605,0.4807173242682989,0.24673468354430375,0.8345386564869834,0.3567832324359701,0.5674073077246633,11,0.23868045933129678,21,0.5611062056826452,4.23,3.668893794317355,79
4,0.17985319361338775,0.46736784537115417,0.24673468354430375,0.8436007526288571,0.3567832324359701,0.5674073077246633,11,0.23868045933129678,21,0.6798783732118225,4.23,3.5501216267881777,79
8,0.1893783809173992,0.4728736273188714,0.24673468354430375,0.8398941552873709,0.3567832324359701,0.5674073077246633,11,0.23868045933129678,21,0.7096250158709478,4.23,3.5203749841290524,79
all,0.1893783809173992,0.4728736273188714,0.24673468354430375,0.8398941552873709,0.3567832324359701,0.5674073077246633,11,0.23868045933129678,21,0.7096250158709478,4.23,3.5203749841290524,79
