timestamp,gap_hours,ph_true,ph_pred,ph_naive,ec_true,ec_pred,ec_naive,specialist_type_ph,specialist_type_ec,n_train
2025-09-01 08:30:00,0.0,9.76,9.76,9.76,0.292,0.292,0.292,base,base,67
2025-09-01 12:30:00,4.0,10.38,10.58674640417099,9.76,0.306,0.30766538353752143,0.292,base,base,67
2025-09-02 08:30:00,20.0,8.0,9.290447001457215,10.38,0.168,0.31197160257521467,0.306,base,base,68
2025-09-02 15:00:00,6.5,10.34,9.480428576469421,8.0,0.299,0.22315496801322862,0.168,base,base,70
2025-09-03 09:00:00,18.0,8.87,8.702910389900207,10.34,0.301,0.2396690771573924,0.299,base,base,71
2025-09-03 15:20:00,6.333333333333333,10.32,9.834999675750732,8.87,0.308,0.37599307458339976,0.301,base,base,73
2025-09-07 08:50:00,89.5,8.25,8.590037651062012,10.32,0.334,0.2225735656210188,0.308,base,base,75
2025-09-07 15:30:00,6.666666666666667,10.01,9.67219853401184,8.25,0.1548,0.4561445950545738,0.334,base,base,76
2025-09-08 09:30:00,18.0,8.8,8.902529606819153,10.01,0.326,0.17781402382493022,0.1548,base,base,77
2025-09-08 13:50:00,4.333333333333333,9.76,9.310302841663361,8.8,0.156,0.282762566930006,0.326,base,base,79
2025-09-09 08:30:00,18.666666666666668,7.9,8.123531470298767,9.76,0.348,0.1768019342436233,0.156,base,base,80
2025-09-09 14:10:00,5.666666666666667,9.9,9.6325359582901,7.9,0.3,0.31152349267938906,0.348,base,base,82
2025-09-09 15:40:00,1.5,9.88,10.336954021453858,9.9,0.347,0.27216564389921105,0.3,base,base,83
2025-09-09 18:40:00,3.0,9.33,9.071089928150178,9.88,0.161,0.3033224385273578,0.347,base,base,85
2025-09-10 07:50:00,13.166666666666666,7.87,7.654925661087036,9.33,0.342,0.21269825355006203,0.161,base,base,88
2025-09-10 11:30:00,3.6666666666666665,9.5,9.077619667053224,7.87,0.292,0.26283026664146053,0.342,base,base,92
2025-09-10 13:50:00,2.3333333333333335,10.16,10.093720853328705,9.5,0.303,0.3489564017446265,0.292,base,base,95
2025-09-10 15:50:00,2.0,10.22,10.33004418373108,10.16,0.306,0.2486210584089954,0.303,base,base,99
2025-09-11 07:50:00,16.0,7.81,8.389227600097657,10.22,0.336,0.31659292663452077,0.306,base,base,104
2025-09-11 11:20:00,3.5,9.24,9.412686405181883,7.81,0.17,0.3285417409715653,0.336,base,base,108
2025-09-11 13:30:00,2.1666666666666665,9.39,9.743284871578217,9.24,0.348,0.21000737672903247,0.17,base,base,112
2025-09-11 14:10:00,0.6666666666666666,10.06,9.849086388349534,9.39,0.325,0.28689407383354526,0.348,base,base,116
2025-09-11 17:20:00,3.1666666666666665,9.56,9.423805055618287,10.06,0.288,0.3035041515892457,0.325,base,base,120
2025-09-11 18:10:00,0.8333333333333334,9.05,9.08467280626297,9.56,0.349,0.34017744038224573,0.288,base,base,124
2025-09-14 08:30:00,62.333333333333336,8.48,8.428299593925477,9.05,0.177,0.2733066674776483,0.349,base,base,128
2025-09-14 11:30:00,3.0,9.26,9.303518872261048,8.48,0.286,0.2184692594780881,0.177,base,base,129
2025-09-14 12:20:00,0.8333333333333334,9.65,9.592278281450271,9.26,0.316,0.2710207915794307,0.286,base,base,130
2025-09-14 15:10:00,2.8333333333333335,9.95,9.947419607639313,9.65,0.156,0.2775857415082715,0.316,base,base,131
2025-09-14 18:00:00,2.8333333333333335,9.36,9.31425358057022,9.95,0.307,0.20859967644569177,0.156,base,base,133
2025-09-15 08:10:00,14.166666666666666,7.92,7.78082917690277,9.36,0.198,0.2547795626531926,0.307,base,base,136
2025-09-15 12:00:00,3.8333333333333335,9.45,9.041105790138245,7.92,0.321,0.27164832508962894,0.198,base,base,140
2025-09-15 14:10:00,2.1666666666666665,10.13,9.920658600330352,9.45,0.332,0.26254251268586043,0.321,base,base,145
2025-09-15 15:30:00,1.3333333333333333,10.2,10.19413783878088,10.13,0.334,0.325167124881434,0.332,base,base,150
2025-09-15 17:40:00,2.1666666666666665,9.09,9.388988089561462,10.2,0.383,0.3508101499598817,0.334,base,base,154
2025-09-16 06:40:00,13.0,7.66,7.9621340894699095,9.09,0.358,0.3730066400205289,0.383,base,base,158
2025-09-16 08:50:00,2.1666666666666665,8.14,8.016404781341553,7.66,0.183,0.37521438912410804,0.358,base,base,162
2025-09-16 10:00:00,1.1666666666666667,7.94,8.554369702339173,8.14,0.414,0.2705432667352869,0.183,base,base,167
2025-09-16 12:10:00,2.1666666666666665,9.5,8.361087741851808,7.94,0.302,0.37635631113592377,0.414,base,base,172
2025-09-16 13:50:00,1.6666666666666667,9.88,9.685787752270699,9.5,0.309,0.4003119831292511,0.302,base,base,177
2025-09-17 08:50:00,19.0,8.3,8.417142395973206,9.88,0.215,0.22227482716097982,0.309,base,base,182
2025-09-17 11:50:00,3.0,8.88,9.208139526844025,8.3,0.128,0.35012111388177725,0.215,base,base,186
2025-09-17 13:30:00,1.6666666666666667,9.78,9.361852233409882,8.88,0.333,0.2262232449563113,0.128,base,base,190
2025-09-17 15:20:00,1.8333333333333333,9.85,10.033807455301284,9.78,0.221,0.29465676506522015,0.333,base,base,193
2025-09-18 07:10:00,15.833333333333334,7.76,7.866332149505615,9.85,0.47,0.32442249604502854,0.221,base,base,196
2025-09-18 09:40:00,2.5,6.97,6.784121324700522,7.76,0.795,0.3061533997450879,0.47,huber,huber,199
2025-09-18 10:30:00,0.8333333333333334,6.71,7.440404207706451,6.97,0.968,0.5922643679322108,0.795,base,base,203
2025-09-18 12:00:00,1.5,7.27,6.698452147692442,6.71,0.98,0.724105417585413,0.968,base,base,208
2025-09-18 13:10:00,1.1666666666666667,7.08,7.402332786917686,7.27,0.662,1.0348491058139455,0.98,base,base,213
2025-09-18 14:10:00,1.0,6.65,7.32208177626133,7.08,0.709,0.7459846009710414,0.662,base,base,218
2025-09-18 15:10:00,1.0,6.8,6.475261995196343,6.65,0.68,0.6850070060227057,0.709,base,base,223
2025-09-21 06:30:00,63.333333333333336,6.19,6.210627126693725,6.8,0.501,0.7230444572274832,0.68,base,base,228
2025-09-21 07:20:00,0.8333333333333334,4.75,4.851884553463802,6.19,4.23,2.7779352130269017,0.501,huber,huber,229
2025-09-21 08:40:00,1.3333333333333333,4.75,4.489280790090561,4.75,4.97,4.7680995880496075,4.23,base,base,230
2025-09-21 10:30:00,1.8333333333333333,5.17,5.034196048974991,4.75,4.52,4.613583101713813,4.97,base,base,231
2025-09-21 11:40:00,1.1666666666666667,5.25,5.423757059574127,5.17,4.4,4.905189985309686,4.52,base,base,234
2025-09-21 13:40:00,2.0,5.33,5.453544303774834,5.25,4.53,4.39301559267049,4.4,base,base,237
2025-09-21 15:30:00,1.8333333333333333,5.4,5.606472628116608,5.33,3.87,3.8922004378762924,4.53,base,base,241
