Model,Target,Warmup,MAE,RMSE,Naive MAE,Gain,R2,N test,Holdout MAE,Holdout R2
Huber 0.99,pH,52,0.2905894505347997,0.3870842446934893,0.8768421052631579,0.5862526547283582,0.9407730541616348,57,0.3638445863400648,0.9231375556188358
Huber 0.99,EC,52,0.1273835364274418,0.1747655134406817,0.1960771929824561,0.0686936565550142,0.9809366641330348,57,0.1789554596280227,0.9347933152849164
Huber 0.99,EC stress,30,0.1661693692515104,0.2658190589194559,0.2467346835443037,0.0805653142927933,0.9494071399226036,79,,
Huber 1.00,pH,52,0.2911396182295485,0.3878013585984061,0.8768421052631579,0.5857024870336094,0.9405534027068188,57,0.363675039045105,0.9232497108601464
Huber 1.00,EC,52,0.1290316267416493,0.1767682248209489,0.1960771929824561,0.0670455662408068,0.9804972512322212,57,0.177121952978715,0.9367403695387972
Huber 1.00,EC stress,30,0.1673584977060651,0.2667728178212895,0.2467346835443037,0.0793761858382386,0.9490434341939163,79,,
