eval,ph_mae,ph_rmse,ph_r2,ec_mae,ec_rmse,ec_r2
warmup52,0.28713417422700216,0.3878963863092349,0.9405242652834296,0.13973749313121314,0.25059571058823804,0.9608046369912558
warmup30,,,,0.1837490173808953,0.3204867416066327,0.926457712487178
holdout,0.3263123772604423,0.40352194033078004,0.9313021236718978,0.20321415981311075,0.38108490997833144,0.9186329719660122
