feature_set,xgb_set,warmup,max_rows,train_mode,pred_mode,shock_weight,blend,feature_count,n_spec_final,n_shock_final,wf_active,wf_ph_r2,wf_ec_r2,wf_min_r2,wf_ph_mae,wf_ec_mae,ho_active,ho_ph_r2,ho_ec_r2,ho_ph_mae,ho_ec_mae
current_union,ph_like,55,4,chem_event,salt_shock_strict,8.0,1.2,44,178,12,2,0.9639229601053678,0.9818097669338516,0.9639229601053678,0.23878699033792128,0.11811073098992032,4,0.8941146501966175,0.722733009601832,0.3857879790699199,0.28691324334890644
current_union,ph_like,55,4,chem_event,salt_shock_strict,8.0,1.0,44,178,12,2,0.9643755184788133,0.9601827734062078,0.9601827734062078,0.23712642575932663,0.13607545332933182,4,0.8983803676738967,0.6867997439660525,0.3814684396879822,0.3144688573124249
current_union,current,55,4,chem_event,salt_shock_strict,8.0,1.0,44,178,12,2,0.9554130414912333,0.9605950867941424,0.9554130414912333,0.2503017132419658,0.14364375229738696,4,0.906310092889867,0.6863338401670874,0.35394168387819835,0.31776289756320314
current_union,current,55,4,chem_event,salt_shock_strict,8.0,1.2,44,178,12,2,0.9548195982292541,0.9827688752933412,0.9548195982292541,0.2523627880301385,0.1242783320787784,4,0.9008553969893623,0.72195926876141,0.35918005853361423,0.29042047150251826
current_union,ec_like,55,4,chem_event,salt_shock_strict,8.0,1.2,44,178,12,2,0.9535360459217084,0.9756446692523763,0.9535360459217084,0.25332255898418005,0.12718087638473308,4,0.8970577147401404,0.7135831566006414,0.3705428946847652,0.3023997205997838
current_union,balanced_deeper,55,4,chem_event,salt_shock_strict,8.0,1.2,44,178,12,2,0.9531972566202622,0.9711655350587712,0.9531972566202622,0.2505802651256243,0.1341273299126325,4,0.9006387503754225,0.7099935711704894,0.34428039938519683,0.30305516949041167
current_union,ec_like,55,4,chem_event,salt_shock_strict,8.0,1.0,44,178,12,2,0.9542662226221726,0.9531454891326985,0.9531454891326985,0.25073025709578073,0.14733106493685366,4,0.9025938806872882,0.682628249389688,0.3651963797705323,0.32221102354846787
current_union,balanced_deeper,55,4,chem_event,salt_shock_strict,8.0,1.0,44,178,12,2,0.953949054163499,0.9490690443350194,0.9490690443350194,0.24818923242122276,0.15340009934775617,4,0.9089219111802681,0.6824525070939468,0.33615078555513933,0.3197689662905772
current_union,ph_like,55,4,chem_event,salt_shock_strict,8.0,0.8,44,178,12,2,0.9633357200045359,0.9294096665280743,0.9294096665280743,0.24263267367966537,0.1518086715775388,4,0.9024522682368196,0.6417772061624857,0.37714890030604453,0.3388344964853059
current_union,current,55,4,chem_event,salt_shock_strict,8.0,0.8,44,178,12,2,0.954344633660391,0.9284176466669511,0.9284176466669511,0.2562084713718826,0.1596228329126442,4,0.9114908916650644,0.6416837502949719,0.3487033092227825,0.3419485596581291
