,importance
photo_temp_interaction,0.25472093
overnight_h,0.12859945
ph0,0.08660384
ET0_per_hour,0.06621107
hist_irr_mid,0.050884437
transpiration_pull,0.04627918
soil_delta,0.04260556
hist_acid_decay,0.04096887
hist_hrs_since_fert,0.030564249
ec0,0.029912502
hist48_irr_prevday,0.028922271
rad_morning,0.02568106
t1_morning,0.024660552
hist_irr_prior,0.024034573
hist_hrs_since_irr,0.022721063
gap_hours,0.021670526
temp_x_canopy,0.019248351
hist_salt_buildup,0.018622508
hist_irr_recent,0.017236914
rad_t1_log,0.00927518
hist48_acid_prevday,0.008268223
t0_morning,0.0023087945
